Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Afghanistan,AFG,12.11592072,12.11592072,12.11592072,11.98419263,11.79885427,11.72226817,11.71307784,11.77128328,11.88156726,11.72226817,11.76821983,11.76821983,11.76056122,11.90454309,11.97193885,11.95508991,11.93824097,11.93824097,11.93824097,11.93670925,11.93670925,11.9336458,11.93211408,11.92445547,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Afghanistan,AFG,1.880980627,1.378873332,1.286984723,1.195317543,1.120417771,9.019132807,9.7483162,9.505438041,8.678608142,8.474971291,8.29227792,..,2.266698627,2.334521904,0.461188353,0.441726536,0.808322104,0.78800928,1.41484677,3.749151019,4.352304586,4.652662701,4.434656972,4.142137774,..,..
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,2461666315,4128818042,4583648922,5285461999,6275076016,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20310881087,20841951232,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.934142828,1.998533202,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,119.8990371,192.1535283,203.6510409,224.9147122,257.1757947,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544,690.842629,661.969562,658.9818126,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,3.528244722,-3.212378694,7.074087797,2.269490269,10.69016181,1.068035776,18.00239303,5.505838227,2.99405152,10.90225788,-1.240896837,-1.049105959,..
Internet users (per 100 people),IT.NET.USER.P2,Afghanistan,AFG,0,..,..,..,..,..,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,6.39,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Afghanistan,AFG,15.44573728,15.22775617,14.93211156,14.70933862,14.6299173,14.43635836,14.26549051,14.10720007,13.95179554,13.8900542,13.62850388,13.60219425,13.64405238,13.71748909,13.77279231,13.9706651,14.16985478,14.50689547,14.81498094,15.14748195,15.53812459,15.75473475,15.86454434,15.93967023,..,..
"Labor force, total",SL.TLF.TOTL.IN,Afghanistan,AFG,3083498,3263534,3496545,3764690,4016359,4246528,4400760,4513206,4609034,4719780,4823765,5032416,5294043,5568592,5854441,6112379,6309366,6472005,6643829,6821411,7049139,7315166,7625167,7982593,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,18.48416199,19.58976503,21.05448335,22.70681463,24.30837699,25.6908403,26.77725699,27.62327298,28.35444046,29.16156603,30.17789419,31.44802867,32.9122308,34.47502987,35.99523634,37.37393622,38.57429617,39.63720246,40.63465521,41.67400515,42.83032656,44.1276338,45.53319701,46.99705909,48.44454554,..
