Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Albania,ALB,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59489051,22.52189781,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Albania,ALB,..,..,4.586673667,4.62609416,4.663242173,6.285834708,4.928147608,4.917688817,4.96469915,5.003313305,5.037678101,3.043510934,2.024487299,1.664215731,1.640505062,1.729752668,0.892582715,1.136441121,1.146302148,1.173833192,1.167020453,1.160795794,1.152627404,0.660440397,..,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2101624963,1139166676,709452572.3,1228071038,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373455,5652325082,7464446950,8376668352,9132558097,10701011524,12881353508,12044208086,11926957255,12890866743,12344529628,12916669736,13370191506,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,-9.575640187,-29.58899768,-7.199999987,9.600000012,8.299999997,13.29999999,9.099999996,-10.2,12.7,10.09999998,7.300000023,6.999999985,2.9,5.700000002,5.900000013,5.499911933,5.000010215,5.900103896,7.536298983,3.354239312,3.706905672,2.545359489,1.623698601,1.417423278,1.9,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,639.4638993,348.711327,218.4921623,380.5273711,619.0649227,760.5593582,951.1320914,697.5945647,871.8936539,1104.743553,1193.466223,1336.859141,1458.328047,1859.552352,2466.00508,2781.572144,3051.76764,3603.01356,4370.539925,4114.134899,4094.360204,4437.811725,4256.016702,4458.073207,4619.211258,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Albania,ALB,-11.18790532,-29.16327147,-6.635518685,10.27078609,8.966877407,14.00202421,9.780180443,-9.636603785,13.41149636,10.79953375,7.986067934,8.008890005,3.209036254,6.096216432,6.343515492,6.04123409,5.664561245,6.70344251,8.364645265,4.053089488,4.223051185,2.836285586,1.774041281,1.52673864,2.001777663,..
Internet users (per 100 people),IT.NET.USER.P2,Albania,ALB,0,..,..,..,..,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Albania,ALB,40.56193622,41.21615986,41.74232914,42.28798077,42.67806411,42.93937258,42.62365817,42.37437673,41.94817737,41.41438849,41.15738229,41.07003833,41.17777173,41.24440975,41.38811145,41.41250834,41.4266266,41.30994825,41.09516917,41.01020506,40.91694803,40.99954355,41.07245142,41.17667169,..,..
"Labor force, total",SL.TLF.TOTL.IN,Albania,ALB,1420090,1426671,1417149,1405073,1393880,1376110,1369683,1372596,1359599,1349106,1339903,1330700,1333671,1321944,1310572,1300764,1288396,1275913,1264937,1256141,1263474,1270680,1279685,1287020,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,119.9467883,119.2259124,118.505073,117.7841971,117.0633577,116.3424818,115.6216423,114.9007664,114.179927,113.4590511,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0138686,105.8572628,105.7432847,105.6377737,..
