Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Algeria,DZA,2.97303652,3.048191658,3.174989713,3.162813741,3.139301519,3.156935686,3.157775408,3.211937491,3.216555963,3.221594297,3.216975824,3.183806797,3.168691797,3.150511811,3.146019297,3.153576797,3.136362491,3.13594263,3.144339852,3.146019297,3.149798047,3.149798047,3.151897352,3.147362852,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Algeria,DZA,2.02875323,1.937069233,1.849863874,1.771086258,1.696006228,2.095463072,2.034175631,3.253541688,3.146115972,3.467820411,3.407439181,3.318221942,3.372311698,3.199709114,3.216295574,3.151351199,3.229393592,3.158231761,3.099891114,3.033338679,2.805008656,2.741627535,2.678572183,2.624006867,..,..
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045098370,45715368144,48003297249,49946456681,42542573602,41764054035,46941496308,48177861891,48187780126,48640613515,54790058957,54744716706,56760288962,67863832648,85324997370,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11,1.61E+11,1.99E+11,2.04E+11,2.10E+11,2.14E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,0.800000619,-1.200000614,1.800002315,-2.100000755,-0.899996563,3.79999481,4.099998477,1.099999927,5.100003607,3.200001534,2.200000704,4.612523742,5.6,7.2,4.3,5.900000008,1.699999998,3.399999998,2,1.599979654,3.600169066,2.800018252,3.299991384,2.8,4.099998839,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2394.420608,1721.582107,1766.065883,1797.541856,1499.984173,1444.907991,1596.006843,1611.961927,1588.422413,1580.957629,1757.011925,1732.9586,1774.292038,2094.893393,2600.006471,3102.037031,3467.543945,3939.559939,4912.251941,3875.821206,4473.487448,5421.743306,5457.642768,5504.181309,5498.05663,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Algeria,DZA,-1.746778008,-3.588354249,-0.546951295,-4.231830849,-2.912736764,1.852562068,2.303619504,-0.509733789,3.543909739,1.758759457,0.832991878,3.265847351,4.279382178,5.861446353,2.957718387,4.465430214,0.249228899,1.852882753,0.391115421,-0.095365626,1.776424875,0.893441321,1.307090497,0.789804876,2.099514767,..
Internet users (per 100 people),IT.NET.USER.P2,Algeria,DZA,0,..,..,..,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14,15.22802676,16.5,18.09,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Algeria,DZA,11.63240408,11.8385831,12.04138057,12.26814583,12.49069552,12.79140636,13.00165127,13.11172484,13.19491831,13.28107737,13.48421486,13.66644281,13.96627137,14.27016366,14.54386607,14.93502388,15.32743682,15.80266649,16.31677806,16.75425863,16.8776628,16.99723504,17.11296025,17.26496422,..,..
"Labor force, total",SL.TLF.TOTL.IN,Algeria,DZA,6210711,6504672,6811312,7114278,7429218,7773938,8106478,8304796,8524797,8743244,8956873,9197697,9426768,9647752,9887151,10122642,10342499,10575538,10774572,11017563,11308343,11569770,11842130,12088383,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,10.87959391,11.14910822,11.41221166,11.66625114,11.9081071,12.13579148,12.34888737,12.54869003,12.73727611,12.91767825,13.09280526,13.26354682,13.43151939,13.60135279,13.77867651,13.96789196,14.17003031,14.38526917,14.61580987,14.86383484,15.13018172,15.4160958,15.71935938,16.03287303,16.34701269,..
