Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,American Samoa,ASM,5,5,6,6,6,7.5,10,10,12,12.5,12.5,12.5,12.5,16.7,16.5,16.5,16.5,15,14.8,15,15,15,15,15,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,American Samoa,ASM,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,235.22,241.895,247.985,253.625,259.035,264.37,269.63,274.71,279.495,283.84,287.61,290.88,293.645,295.585,296.31,295.585,293.24,289.52,285.155,281.13,278.18,276.58,276.135,276.51,277.17,..
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,3.137300537,2.798250128,2.486451276,2.248853768,2.110638956,2.038644939,1.970101172,1.866534698,1.726840756,1.542629577,1.319469664,1.130541523,0.946074376,0.658488879,0.244976005,-0.244976005,-0.796505718,-1.27670071,-1.519148718,-1.421569628,-1.054880962,-0.576827614,-0.161023347,0.135711011,0.238404968,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,47044,48379,49597,50725,51807,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434,..
Rural population,SP.RUR.TOTL,American Samoa,ASM,8963,8763,8536,8292,8038,7783,7526,7268,7006,6738,6565,6695,6816,6918,6994,7035,7038,7006,6958,6917,6902,6914,6951,7005,7060,..
Surface area (sq. km),AG.SRF.TOTL.K2,American Samoa,ASM,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
