Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Andorra,ADO,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,4.680851064,4.893617021,4.893617021,5.106382979,5.319148936,5.319148936,5.319148936,5.319148936,5.106382979,4.893617021,4.680851064,4.893617021,5.319148936,5.531914894,5.106382979,6.170212766,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,ADO,1028989390,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1401694156,1484004617,1717563533,2373836214,2916913449,3248134607,3536451646,4010785102,4001349340,3649863493,3346317329,3427235709,3146177741,3249100675,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,3.781393478,2.546000641,0.929215383,-1.031491714,2.383195277,2.757493977,4.649741959,9.067673964,3.194787965,4.099081148,1.165787064,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,ADO,18876.72928,19530.8435,20541.7739,16508.87522,16226.97108,18460.00743,19038.79883,18405.3201,18969.97799,19323.89255,21432.96007,21897.66294,24175.37275,31742.99258,37235.45003,39990.33041,42417.22915,47253.5298,46735.99957,42701.44714,39639.38602,41630.05258,39666.36921,42806.52255,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Andorra,ADO,-0.144368907,-1.367734041,-2.891784045,-4.436814385,-0.398965642,0.911676243,3.938414755,9.312513864,3.613136482,3.656147759,-0.749276536,2.35593012,1.519400037,6.425944423,3.166597385,4.007964876,1.88829336,-1.696477567,-9.382162931,-3.658196544,-4.165093185,-2.382443262,1.968145012,4.431534067,..,..
Internet users (per 100 people),IT.NET.USER.P2,Andorra,ADO,0,..,..,..,..,..,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,..,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,ADO,115.9808511,120.5829787,125.3276596,129.793617,133.4191489,135.8595745,136.7893617,136.4829787,135.9319149,136.512766,139.1468085,144.1914894,151.1617021,159.112766,166.6744681,172.8148936,177.3893617,180.5914894,182.1617021,181.8595745,179.6148936,175.1617021,168.7574468,161.493617,154.8638298,..
Population growth (annual %),SP.POP.GROW,Andorra,ADO,3.856124728,3.891303561,3.859344829,3.501404323,2.755004086,1.812614319,0.682042521,-0.224232798,-0.404577425,0.426399915,1.911141835,3.561265132,4.720793543,5.126303185,4.642944647,3.61784254,2.612605765,1.789041541,0.865725022,-0.165994544,-1.241974138,-2.510551958,-3.724710143,-4.399683922,-4.19194055,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Andorra,ADO,54511,56674,58904,61003,62707,63854,64291,64147,63888,64161,65399,67770,71046,74783,78337,81223,83373,84878,85616,85474,84419,82326,79316,75902,72786,..
Rural population,SP.RUR.TOTL,Andorra,ADO,2883,3100,3343,3592,3831,4048,4227,4375,4519,4706,4974,5384,5939,6576,7245,7883,8472,9028,9532,9956,10285,10488,10543,10501,10457,..
Surface area (sq. km),AG.SRF.TOTL.K2,Andorra,ADO,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
