Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Angola,AGO,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.288682121,3.769952675,3.769952675,3.930376193,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Angola,AGO,2.792425873,3.537220283,2.912316299,2.784895337,2.524248563,2.490103878,2.120381469,2.441686495,2.44460228,2.345826747,2.097324421,2.51967424,1.850646439,2.115217526,1.858324198,1.806330453,1.64012864,1.700546791,1.649455468,1.587069696,1.525743598,1.474182156,1.422409737,1.371134295,..,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,10000000000,11428571429,5652173913,5274509804,4059431863,5039543188,7526446606,7648377524,6445041784,6152922936,9129594816,8936079251,12497346041,14188949241,19640862550,28233699333,41789493189,60448887583,84178084132,75492416520,82470894869,1.04E+11,1.15E+11,1.24E+11,1.31E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,-0.300000019,-1.199999994,-6.899999994,-24.7,3.500000006,10.4,11.19999997,7.900000022,6.804762105,3.239799677,3.012076166,4.220965156,13.82179251,5.247569624,10.87946506,18.26147368,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.800058482,3.901265128,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,898.6445744,996.1993625,477.0181236,430.6852266,320.9421923,386.3890395,560.6369791,554.1552436,454.2693489,421.3758457,606.2696252,574.1951589,775.7654794,850.0756971,1135.605363,1576.162047,2253.839634,3151.020675,4242.365654,3678.9492,3886.478494,4744.985104,5084.346486,5295.210896,5423.609735,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Angola,AGO,-3.049469288,-4.165186834,-9.860585669,-27.14598619,0.212994007,7.06342731,8.034611642,4.952266099,3.900152199,0.310782328,-0.111777375,0.844751195,9.957678166,1.57966733,7.006617253,14.18511365,16.64240426,18.48759852,10.04081846,-0.970191715,-0.0028121,0.497589121,1.709831247,3.326763574,0.559093566,..
Internet users (per 100 people),IT.NET.USER.P2,Angola,AGO,0,..,..,..,..,..,0.000775929,0.005673746,0.018453724,0.071964087,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.907647507,3.2,4.6,6,10,14.776,16.93721011,19.1,21.26,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Angola,AGO,47.5806058,47.73108542,48.17558173,49.41255026,49.40076443,49.09333685,48.79232916,48.62656594,48.46062068,48.37011958,48.42079503,48.34084214,47.81461368,47.87093593,47.48897092,46.86907059,46.24983841,45.61524911,45.29212984,45.59666156,45.89498033,45.9603251,46.02231019,46.08146811,..,..
"Labor force, total",SL.TLF.TOTL.IN,Angola,AGO,4118283,4240618,4395127,4596223,4753890,4899394,5017965,5139890,5276932,5435184,5602376,5774556,5943869,6145940,6349807,6532581,6706791,6880140,7093250,7372077,7668392,7936604,8225478,8533081,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,8.925860271,9.202031764,9.504268068,9.823362477,10.14557071,10.46175182,10.76827866,11.0707211,11.38021176,11.71250742,12.07879843,12.48318842,12.92187054,13.38846154,13.87302479,14.36828587,14.87243683,15.38774926,15.91581856,16.45953557,17.02089837,17.6003016,18.19654448,18.80821529,19.43332317,..
