Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Antigua and Barbuda,ATG,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,391570363.5,410388881.6,423762955.5,456537029,500088880.1,494185176.5,541074064.5,579851841.6,620037026.1,651851840.3,783837838,773765171.5,802529319.2,839996355.5,898356132.3,997374111.1,1135143593,1289254333,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,1269117037,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,2.545101961,2.036436094,0.848187899,5.390101588,6.327622074,-4.176818677,6.739561156,4.885841515,4.407673955,4.121604554,5.041769297,-3.194241893,2.92425143,5.913631425,5.286420149,6.083228432,13.37640019,9.49894448,0.071111021,-12.03601506,-7.142991335,-1.793435604,4.019541839,-0.071363851,3.221505237,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,6325.240905,6575.480383,6680.375752,7037.93903,7514.483547,7230.320509,7702.670148,8027.630989,8355.618496,8572.373329,10094.75889,9797.96854,10027.85604,10382.63072,10993.36905,12079.8657,13599.90886,15276.06826,15786.17284,13979.26269,13017.31039,12817.84157,13525.61622,13342.085,13961.68358,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Antigua and Barbuda,ATG,2.646146306,1.209184337,-0.776600827,3.060302524,3.640273309,-6.698960964,3.858527517,2.000580591,1.630260426,1.608971312,2.867828909,-4.81723262,1.563588454,4.769454204,4.237653096,4.994964707,12.15117928,8.292337393,-1.046261783,-13.00433239,-8.136142884,-2.817256194,2.948620195,-1.08858484,2.182476884,..
Internet users (per 100 people),IT.NET.USER.P2,Antigua and Barbuda,ATG,0,..,..,..,..,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.482225737,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.4,64,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,140.6954545,141.8454545,144.1681818,147.4272727,151.25,155.3386364,159.6477273,164.1636364,168.65,172.8204545,176.4727273,179.4818182,181.8863636,183.8727273,185.7227273,187.6477273,189.6977273,191.8113636,193.9772727,196.1363636,198.2568182,200.3454545,202.4295455,204.5113636,206.5909091,..
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,-0.098487975,0.814045905,1.624243072,2.235444056,2.559910898,2.667338764,2.736219882,2.78940297,2.696184843,2.442765907,2.091312416,1.69075666,1.330820512,1.086170222,1.001102924,1.031156608,1.086548225,1.108051179,1.122859329,1.106914885,1.07531016,1.047989749,1.034875307,1.023163952,1.011701141,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Antigua and Barbuda,ATG,51.79304106,51.70640261,51.56540656,51.43676389,51.40796394,51.5223339,51.80155171,52.19985602,52.62108185,52.94775187,53.10761385,53.08210505,52.91015869,52.65747058,52.41562446,52.24732029,52.16912073,52.15825207,52.19097832,52.23174971,52.25430743,52.25632998,52.24825697,52.23203867,52.21452145,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,61906,62412,63434,64868,66550,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85350,86300,87233,88152,89069,89985,90900,..
Rural population,SP.RUR.TOTL,Antigua and Barbuda,ATG,39975,40278,41178,42353,43701,45137,46650,48236,49826,51335,52702,53906,55141,56257,57336,58440,59590,60763,61959,63155,64344,65526,66682,67810,68911,..
Surface area (sq. km),AG.SRF.TOTL.K2,Antigua and Barbuda,ATG,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
