Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Argentina,ARG,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.48109212,11.24533652,12.02090847,12.7358232,13.31279758,12.88454301,12.53046564,13.8784444,14.17076834,14.52630733,14.50621006,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Argentina,ARG,0.63761933,0.520231931,0.477758153,0.470489215,0.491291292,0.684804793,0.710866475,0.703910016,0.695064144,0.668898036,0.66320568,0.644980384,0.632616624,0.631166407,0.582108352,0.574145163,0.594577366,0.589508587,0.58438644,0.565097725,0.564383934,0.556349871,0.548688204,0.548062174,..,..
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,1.02E+11,1.30E+11,1.83E+11,2.23E+11,2.63E+11,3.30E+11,4.06E+11,3.79E+11,4.63E+11,5.60E+11,6.08E+11,6.22E+11,5.40E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-2.398959219,12.66971009,11.94077474,5.906919501,5.836200698,-2.845209615,5.526689823,8.111046774,3.850178866,-3.385457054,-0.788998929,-4.408839696,-10.89448481,8.837040776,9.029573321,9.198488983,8.402868566,7.965573248,3.074945503,0.050024456,9.451578331,8.386451456,0.801760179,2.885351883,0.46925706,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4318.774568,5715.504232,6797.752814,6940.698758,7449.480605,7373.427403,7683.573848,8172.665235,8248.76472,7736.372578,7669.273709,7170.689698,2693.106019,3382.900812,4732.803709,5694.419249,6649.413534,8250.244684,10054.11177,9277.425945,11227.8385,13439.94146,14436.60009,14623.47869,12568.56982,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,-3.789124579,11.09414968,10.4066757,4.491875091,4.466618995,-4.057614423,4.260879593,6.861158276,2.682164521,-4.457041727,-1.885050636,-5.465176962,-11.87728912,7.643731812,7.849148078,8.036045269,7.270414657,6.854978375,2.023422732,-0.972042657,8.325187198,7.260474555,-0.250930743,1.813695577,-0.563303534,..
Internet users (per 100 people),IT.NET.USER.P2,Argentina,ARG,0,..,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Argentina,ARG,36.09947102,35.91956233,35.82115969,36.13175493,36.29021388,36.75995979,37.01005996,37.19668106,37.53721117,37.81252854,38.08645648,38.58065731,39.07136009,39.55816998,40.70297916,40.61669495,40.53132767,40.80809286,41.00223476,41.28286391,40.21568727,40.31208802,40.32358775,40.4204179,..,..
"Labor force, total",SL.TLF.TOTL.IN,Argentina,ARG,13330838,13455537,13605210,13815407,14044621,14383661,14587831,14808711,14997177,15210091,15425079,15705904,15981243,16255618,17522511,17765542,17995976,18150711,18309802,18464063,18487415,18756183,19018087,19277010,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,11.95960814,12.1292218,12.29775714,12.46429519,12.627705,12.78727879,12.94252656,13.09390724,13.24285104,13.39137937,13.54097578,13.69228338,13.84498902,13.99847078,14.15168616,14.30395514,14.45496202,14.60519935,14.75573046,14.90802429,15.06304148,15.22116718,15.3818021,15.54370572,15.70511311,..
