Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Armenia,ARM,..,..,14.85774499,15.20899192,15.27924131,15.27924131,15.8061117,15.98173516,15.98173516,15.8061117,15.8061117,15.98173516,15.98173516,15.98173516,15.98173516,15.98173516,15.90797331,15.87987355,15.82016157,15.78503688,15.75342466,15.77801194,15.74991219,15.74288725,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Armenia,ARM,..,..,1.236778069,1.335731714,2.934124982,4.060592021,3.93382816,4.14247394,3.702357667,3.695687323,2.871164145,2.905527123,3.111610606,3.140234182,3.409855596,3.445463239,3.347184982,3.022089314,3.049621702,3.98824698,3.826851641,3.704805495,3.248149349,3.195861392,..,..
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,9957890702,10431217084,10881605059,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,..,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.499999997,3.400000001,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,636.68069,589.0029482,368.9168368,356.5073514,399.7512025,455.5502761,503.2319696,522.522072,608.3366487,596.5059963,621.4248263,692.3016309,779.8296261,924.4640098,1181.968445,1625.407769,2126.618661,3080.970959,3919.975474,2915.583906,3124.784018,3417.171836,3343.437635,3486.145636,3619.776319,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Armenia,ARM,..,-10.87573553,-40.74693535,-6.639566936,7.954315197,9.114497255,7.524993131,4.499064056,8.151173129,3.939001429,6.510110536,10.13169969,13.66125785,14.44750683,10.84889612,14.28360803,13.67897497,14.2838175,7.370283552,-13.89178228,2.290078204,4.541679199,6.827290248,3.020824363,2.91976153,..
Internet users (per 100 people),IT.NET.USER.P2,Armenia,ARM,0,..,..,..,0.009117014,0.052743123,0.094572902,0.111650935,0.128659478,0.970737757,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,46.3,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Armenia,ARM,46.21925433,46.37357405,47.07449424,47.46719825,47.74375569,48.01863079,48.23796158,48.58021799,48.70465122,48.74903702,48.76438127,48.5429795,47.89253207,47.15819136,46.25253391,45.20693874,44.09439062,42.76349921,41.52357648,42.24728423,41.37400845,43.18809105,44.23317875,45.26205413,..,..
"Labor force, total",SL.TLF.TOTL.IN,Armenia,ARM,1680806,1663456,1617105,1572172,1533677,1502244,1484559,1472550,1469334,1471986,1473270,1479938,1465479,1452121,1437011,1422160,1404165,1389767,1377220,1393344,1451010,1499242,1511630,1536362,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,124.5063224,123.3548296,121.162522,118.3587285,115.5582367,113.212961,111.4655778,110.2090622,109.341693,108.6694766,108.0469968,107.482824,107.0336846,106.6533193,106.2866877,105.898033,105.4499824,104.9566913,104.4969793,104.1836319,104.0918862,104.2495258,104.613242,105.0998244,105.5902353,..
