Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Aruba,ABW,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,..,..,..,..,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,..,..,..,..,..,1.245085912,7.814431719,6.66662183,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..,..,..,..,17342.47194,16441.38126,16586.1923,17927.41203,19081.57029,19356.42087,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.53823,27549.88942,24640.42124,24289.14152,25353.78754,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Aruba,ABW,..,..,..,..,..,-3.325223596,4.096424572,3.855367692,-0.965374833,2.484936384,-2.397800778,-4.308765399,-1.756696281,5.280753266,-0.592892313,-0.913111283,1.544034047,-4.023947954,-6.995240199,-5.722343697,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Aruba,ABW,0,..,..,..,..,..,2.768382663,..,..,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,345.2666667,359.0166667,379.0833333,402.7666667,426.1111111,446.2555556,462.1944444,474.7055556,484.8666667,494.4666667,504.7666667,516.0777778,527.75,538.9722222,548.5666667,555.7277778,560.1666667,562.3222222,563.0111111,563.4222222,564.4277778,566.3111111,568.85,571.7833333,574.6722222,..
Population growth (annual %),SP.POP.GROW,Aruba,ABW,1.812032044,3.905174734,5.438724512,6.060134558,5.63427331,4.619164598,3.509389552,2.670905083,2.117921027,1.960580158,2.061653566,2.216120996,2.236520048,2.104134709,1.764478212,1.296975011,0.795579246,0.384067624,0.122432875,0.072993424,0.178313751,0.333115822,0.447318552,0.514335276,0.503969821,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Aruba,ABW,50.67258802,50.58879965,50.53564886,50.52691109,50.57235984,50.67599532,50.83718973,51.04450712,51.28213942,51.52127994,51.74227916,51.94092191,52.11853255,52.26614441,52.37487594,52.44074337,52.45958544,52.43731352,52.39091393,52.34676974,52.32339538,52.32695024,52.35221158,52.39261181,52.43568798,..
"Population, total",SP.POP.TOTL,Aruba,ABW,62148,64623,68235,72498,76700,80326,83195,85447,87276,89004,90858,92894,94995,97015,98742,100031,100830,101218,101342,101416,101597,101936,102393,102921,103441,..
Rural population,SP.RUR.TOTL,Aruba,ABW,30876,32115,34119,36548,38981,41153,42965,44479,45788,47059,48412,49848,51324,52770,54071,55142,55950,56533,56971,57380,57850,58411,59015,59634,60224,..
Surface area (sq. km),AG.SRF.TOTL.K2,Aruba,ABW,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
