Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Australia,AUS,6.235111881,5.94873931,6.143993335,6.02684092,6.15701027,5.21940044,4.723064707,5.189982167,5.734610729,5.92661052,6.157530948,6.483344832,6.221964776,6.123166239,6.214675293,6.430626245,6.211030551,5.745675123,5.724717858,5.937805084,5.541048905,6.206214285,6.132668602,6.016297203,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Australia,AUS,0.799787633,0.795049182,0.788217265,0.78390595,0.736203212,0.631055257,0.642645285,0.633079281,0.626219936,0.596495768,0.536812656,0.528335059,0.512449245,0.53075902,0.508458302,0.502308391,0.472041229,0.500869692,0.487834213,0.491402114,0.483115765,0.480488544,0.466864267,0.463420107,..,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,3.11E+11,3.26E+11,3.25E+11,3.12E+11,3.23E+11,3.68E+11,4.01E+11,4.36E+11,3.99E+11,3.89E+11,4.15E+11,3.78E+11,3.94E+11,4.66E+11,6.13E+11,6.93E+11,7.47E+11,8.53E+11,1.06E+12,9.26E+11,1.14E+12,1.39E+12,1.53E+12,1.56E+12,1.45E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,3.529128957,-0.425953257,0.404054753,4.015611298,4.044728123,3.881199695,3.947285625,3.943476006,4.430865185,5.004256233,3.872015071,1.92866859,3.863095587,3.079248901,4.156584913,3.216467335,2.990667578,3.760144101,3.702292955,1.731817915,1.962366101,2.321478902,3.727818428,2.511938261,2.474910319,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18221.10499,18840.64044,18594.64928,17661.65887,18083.1385,20364.2497,21921.7799,23526.28664,21341.72965,20537.47184,21666.95168,19496.63871,20062.22114,23445.18676,30449.61965,33995.85167,36100.55852,40976.45219,49650.41754,42702.19828,51801.04895,62133.61078,67511.82496,67473.0338,61886.95879,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Australia,AUS,2.008203053,-1.687047844,-0.806877259,3.002950114,2.949213764,2.633843546,2.590538246,2.787113958,3.348101685,3.811404331,2.640931303,0.563529053,2.603085512,1.81507041,2.956016152,1.863177116,1.482472479,3.113997129,1.644762002,-0.343461082,0.388623544,0.909526453,1.956003886,0.749401961,0.883226875,..
Internet users (per 100 people),IT.NET.USER.P2,Australia,AUS,0.585094712,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.75611561,52.68926643,..,..,..,63,66,69.45,71.67,74.25,76,79.48769771,79,83,84.56,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Australia,AUS,41.36492228,41.53935552,41.76427134,41.82850674,42.30326725,42.71923589,42.85307402,42.96508535,43.09842901,43.30511512,43.66754568,43.89988122,44.05156669,44.45435547,44.35353145,44.66263689,44.81490939,44.8886339,45.0202327,45.12547212,45.09683886,45.24748403,45.30507337,45.38381311,..,..
"Labor force, total",SL.TLF.TOTL.IN,Australia,AUS,8502257,8552930,8627063,8674510,8829084,9048336,9149682,9224753,9325797,9421693,9612292,9785457,9932691,10098745,10226994,10551287,10804141,10980900,11274322,11508294,11705683,11873332,12037760,12245908,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.958522057,3.010279213,3.057773844,..
