Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Austria,AUT,17.26810366,17.49818358,17.38919835,17.18333737,17.23177525,17.12279002,17.07435214,16.95325745,16.94114798,16.54153548,16.73528699,16.712279,16.70016953,16.71143134,16.70138048,16.71893921,16.67982562,16.66569789,16.5782654,16.55060493,16.51869527,16.47043148,16.41749455,16.40595655,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Austria,AUT,1.212725951,1.222344796,1.192298187,1.208924117,1.172584352,1.446325762,1.461340091,1.187943031,1.187052002,1.049506926,1.048105452,0.888091489,0.871609195,0.861753344,0.976832293,0.9824529,0.963717018,0.825394415,0.818598751,0.600285031,0.596994862,0.534273225,0.519092944,0.507913518,..,..
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,1.66E+11,1.73E+11,1.95E+11,1.90E+11,2.03E+11,2.40E+11,2.37E+11,2.12E+11,2.18E+11,2.17E+11,1.96E+11,1.97E+11,2.13E+11,2.61E+11,3.00E+11,3.15E+11,3.34E+11,3.86E+11,4.28E+11,3.98E+11,3.90E+11,4.29E+11,4.08E+11,4.28E+11,4.36E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,4.345625519,3.44163932,2.093511097,0.526820378,2.402145183,2.667963818,2.39832722,2.205029391,3.559932645,3.590018703,3.368389487,1.350512043,1.655867072,0.756148722,2.705728356,2.140718091,3.350825444,3.621477457,1.547294053,-3.799099689,1.880117659,3.071425817,0.883846197,0.228021381,0.300727589,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21628.75363,22356.92109,24820.22854,24023.51502,25584.91877,30252.79469,29742.43697,26646.88677,27289.6321,27116.67208,24517.26515,24489.73776,26351.3815,32102.92638,36693.39958,38242.05007,40430.99361,46586.6486,51386.37841,47654.19387,46593.38922,51130.96905,48348.22596,50513.38542,51127.07616,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Austria,AUT,3.553531887,2.413997882,0.976078867,-0.298743278,2.008787953,2.510893011,2.260162465,2.089279712,3.446360342,3.388666638,3.120121602,0.963284522,1.156968314,0.2665249,2.070501089,1.447231762,2.840710918,3.28613582,1.229905981,-4.050771241,1.635497808,2.724576696,0.424925928,-0.355708034,-0.347029209,..
Internet users (per 100 people),IT.NET.USER.P2,Austria,AUT,0.130369377,0.259081553,0.642817619,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,81,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Austria,AUT,40.87834074,41.0564226,41.62928089,41.96046657,42.90697211,42.88187406,42.96889834,43.08238581,43.16942885,43.22120885,43.32660907,43.66812586,44.09926873,44.38761964,44.8927075,45.12246521,45.35353477,45.25430048,45.66181253,46.06666131,46.07067614,46.00524484,46.1817868,46.00856726,..,..
"Labor force, total",SL.TLF.TOTL.IN,Austria,AUT,3545731,3599639,3690352,3722318,3837677,3858052,3818413,3830150,3833025,3858955,3864115,3895995,3969669,4015070,3992497,4071442,4150596,4240397,4275599,4314617,4314610,4351706,4392277,4429888,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.4563806,100.7713435,101.0442286,101.2996936,101.6503501,102.1321905,102.7416971,103.409531,..
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.762001611,0.998418103,1.100552287,0.824627941,0.384869547,0.153106261,0.135019834,0.113316608,0.109728368,0.194563153,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.584103986,0.647909059,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Austria,AUT,52.16605414,52.08329492,51.99332735,51.90126577,51.81346928,51.73425807,51.66417452,51.60216966,51.54885241,51.50470817,51.4699007,51.44472431,51.42816159,51.41730712,51.40825052,51.39772902,51.38601819,51.3725939,51.35268527,51.32043081,51.27245208,51.20606385,51.12428311,51.03637792,50.95501705,..
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8534492,..
Rural population,SP.RUR.TOTL,Austria,AUT,2628512,2652173,2681522,2703726,2714152,2718311,2721984,2725070,2728062,2733375,2739956,2750384,2763544,2776552,2793341,2811943,2825477,2834153,2842540,2849495,2855935,2865075,2877662,2892824,2908640,..
Surface area (sq. km),AG.SRF.TOTL.K2,Austria,AUT,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83879,83879,83879,83879,83879,83879,83879,83879,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Austria,AUT,..,3.5,3.799999952,4.599999905,3.900000095,4.400000095,4.400000095,4.599999905,4.5,3.799999952,3.799999952,3.799999952,3.900000095,4.199999809,5.300000191,5.5,5.199999809,5,4.099999905,4.5,4.199999809,4.199999809,4.300000191,4.900000095,..,..
