Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Azerbaijan,AZE,..,..,20.4825937,20.61838326,20.71211411,20.7445594,21.44754077,21.64461588,21.77947335,22.06517139,22.10035712,22.22289478,22.23849524,22.24386585,22.2650958,22.29857247,22.28178661,22.43764296,22.51322207,22.68161022,22.79447348,22.81327881,22.94756708,23.29207951,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Azerbaijan,AZE,..,..,1.40265356,1.433921549,1.566802341,3.917656852,3.371468182,3.191449905,2.55569674,2.442677635,2.449355153,2.39162191,2.336019353,2.138397619,2.07733375,2.057101629,2.011009542,1.969721537,1.90772475,1.837085451,1.815978081,1.768631491,1.725347791,1.689642645,..,..
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,..,-0.69999996,-22.60000039,-23.09999955,-19.70000002,-11.8000009,1.3000002,5.800000524,10.00000028,7.400000582,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1237.324492,1209.237493,676.1515115,530.0903798,436.1905586,397.1981161,409.2167452,505.5605732,561.9103017,573.8902562,655.0974326,703.6712504,763.1012122,883.614009,1045.026415,1578.36733,2473.085776,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7393.771877,7811.621418,7884.190236,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Azerbaijan,AZE,..,-2.229583237,-23.76383133,-24.25939916,-20.77813613,-12.80996836,0.282172039,4.784282725,8.960887423,6.461583364,10.19102938,9.051822172,9.777802547,10.36067596,9.239489951,25.11443921,33.03048728,23.63913264,8.470613513,7.162544171,3.6141875,-1.229479184,0.850986009,4.437066291,0.705758746,..
Internet users (per 100 people),IT.NET.USER.P2,Azerbaijan,AZE,0,..,..,..,0.001431415,0.002055556,0.006354585,0.025187933,0.037485109,0.099228942,0.147757576,0.305564638,4.999713678,..,..,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,58.7,61,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Azerbaijan,AZE,45.48852734,45.54023343,45.54409584,45.68435818,45.87775871,46.05732828,46.17955093,46.24216495,46.30028073,46.40710603,46.82556823,47.17868244,47.41926183,47.63578497,47.85602487,48.16475176,48.3980347,48.7221912,48.98741693,48.96128669,49.38673618,49.25242677,48.98305538,48.88199057,..,..
"Labor force, total",SL.TLF.TOTL.IN,Azerbaijan,AZE,2921075,2973261,3065618,3138247,3191213,3234076,3283436,3343308,3410029,3475694,3556038,3641880,3728565,3811265,3899229,3986191,4077554,4163025,4298314,4460326,4512169,4633526,4749767,4850138,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,86.02809522,87.37397407,88.70783614,90.06573176,91.29144285,92.34891909,93.28622757,94.19048992,95.23179127,96.52076658,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3875924,..
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.770413634,1.552352725,1.515077094,1.519152695,1.351730097,1.151694447,1.009848043,0.964673774,0.949138147,0.8775987,0.821519964,0.774765939,0.746173583,0.757650956,0.87542728,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.276982804,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Azerbaijan,AZE,51.0135865,50.9994178,50.99931284,51.01090819,51.03053656,51.05466537,51.08477314,51.11912221,51.14743746,51.15656728,51.13797655,51.08800427,51.01147876,50.91891142,50.82479911,50.73940275,50.66599616,50.60213783,50.54533843,50.49124279,50.43720844,50.38294179,50.33085057,50.28399064,50.24619983,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9537823,..
Rural population,SP.RUR.TOTL,Azerbaijan,AZE,3311109,3385305,3459796,3535841,3607435,3672969,3734314,3794654,3855372,3896779,3912746,3926875,3939942,3953356,3971421,3995444,4022610,4051232,4119674,4188204,4219228,4254200,4289447,4322312,4353539,..
Surface area (sq. km),AG.SRF.TOTL.K2,Azerbaijan,AZE,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Azerbaijan,AZE,..,5.800000191,8.800000191,8.800000191,8.199999809,7,5.5,7.099999905,11.30000019,4.199999809,12.89999962,11.89999962,10.89999962,10,8.699999809,8,7.199999809,4.900000095,4.900000095,6.599999905,6.800000191,6.699999809,6.400000095,6.599999905,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Azerbaijan,AZE,..,5,8.100000381,8.100000381,7.5,6.5,4.699999809,6.599999905,10.39999962,5.199999809,11.80000019,10.89999962,10,9.199999809,8,7.300000191,6.599999905,6.300000191,5.900000095,5.699999809,5.599999905,5.400000095,5.199999809,5.5,..,..
