Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Bahamas, The",BHS,0.799200799,0.799200799,0.799200799,0.799200799,0.599400599,0.599400599,0.599400599,0.599400599,0.599400599,0.599400599,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.899100899,0.899100899,0.799200799,0.799200799,0.799200799,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Bahamas, The",BHS,..,..,..,..,..,1.47000147,2.24223102,2.225038727,2.246184685,2.214732121,2.155390159,2.082004971,0.565244971,0.545249664,0.502295373,0.483575308,0.469419503,0.455086652,0.512565544,0.427208194,0.415214222,0.402111797,0.393864974,0.590675506,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8234470000,8431750000,8510500000,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,-1.596249086,-4.181784638,-3.825582728,0.307806938,3.148916191,4.378751399,4.22353068,2.06223949,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,1.538778853,0.612902596,2.217312979,0.022030197,1.022786105,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,12350.88048,11914.81213,11682.12886,11402.65152,11812.12238,12239.82781,12717.06038,17288.05651,18456.99077,20505.94743,21241.16539,21497.30816,22505.40479,22008.4337,21995.51992,23405.87955,23721.15628,24306.14242,23657.36531,22043.01257,21920.51659,21514.89865,22112.60835,22315.60365,22217.49414,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Bahamas, The",BHS,-3.317195709,-5.935463071,-5.638251119,-1.553601741,1.377570592,2.796030166,2.886361644,0.932672177,3.602353564,5.860175573,2.639228993,0.849285437,0.700831197,-3.324458672,-1.238371556,1.289972155,0.514768573,-0.467646997,-4.097078889,-5.847965134,-0.16371155,-1.000641803,0.659025156,-1.421487396,-0.352037769,..
Internet users (per 100 people),IT.NET.USER.P2,"Bahamas, The",BHS,0,..,..,..,..,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Bahamas, The",BHS,45.9017971,45.97251178,46.11634515,46.20662117,46.38251921,46.75934676,47.30476824,47.94324743,48.74362929,48.75801975,48.73606574,48.7013494,48.62676875,48.52479674,48.41660145,48.32154384,48.31036271,48.31221061,48.31494077,48.31078899,48.29375923,48.27659615,48.32954914,48.3140758,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Bahamas, The",BHS,124701,129510,133740,137740,141687,142857,142715,142020,140683,144487,148465,153698,159223,165062,171214,177842,183205,188975,195097,201307,207122,211384,215810,220087,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,25.60819181,26.08561439,26.58671329,27.08941059,27.56273726,27.98711289,28.35084915,28.66813187,28.97642358,29.32787213,29.75934066,30.28351648,30.88611389,31.54415584,32.22167832,32.89140859,33.54655345,34.19170829,34.82387612,35.44255744,36.04695305,36.63446553,37.2015984,37.74635365,38.26713287,..
