Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Bahrain,BHR,2.898550725,2.898550725,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.361111111,2.054794521,2.027027027,1.959459459,1.866666667,1.578947368,1.789473684,2.099737533,2.086049544,2.077922078,2.077922078,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bahrain,BHR,3.727587878,3.585659156,3.029555478,2.922975422,3.224909199,7.778378441,7.66558417,7.620391217,7.373666286,7.229014496,6.982780201,6.574214195,6.163700816,5.9765685,5.491287158,5.011191661,4.002814611,3.525438824,3.139924972,2.921755215,2.725440573,2.641423382,2.602536738,2.5954453,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787347,4616223527,4751063956,5200266096,5567553606,5849467975,6101861598,6349202562,6183941062,6621186468,9063147956,8976446448,9632411234,11075116625,13150516503,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,29044069149,30756462766,32897606383,33868989362,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,2.100184109,3.588704571,5.337538507,4.506795379,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8528.759994,9057.563616,9088.631532,9707.567214,10138.47486,10376.36453,10523.0818,10620.34371,10005.50286,10331.0113,13590.88251,12917.73906,13279.39897,14542.0028,16275.61329,18418.07267,19669.31955,21167.61871,23043.02532,19166.70824,20386.01756,22238.71195,23063.13229,24378.94483,24868.37749,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bahrain,BHR,1.317559703,8.237844724,4.017584816,10.14271306,-2.69474843,1.242188259,1.214844655,-0.007374302,1.361736235,0.581415559,1.202192176,-1.644342096,-0.73859871,0.980262947,0.838197448,-0.499728002,-1.882489593,-0.754360659,-2.249419991,-4.400062412,-1.004658054,-1.39393443,1.447684245,4.100272626,3.547385966,..
Internet users (per 100 people),IT.NET.USER.P2,Bahrain,BHR,0,..,..,..,..,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.99998,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bahrain,BHR,17.02482574,17.54552667,17.91505992,18.24604772,18.69520174,19.11264259,19.60841326,20.18764071,20.73573982,21.09675942,21.36236677,21.4337989,21.11583629,20.83364752,20.53767546,20.12327531,19.86639026,19.62277805,19.49695097,19.39559004,19.4245763,19.41229008,19.45028433,19.47757661,..,..
"Labor force, total",SL.TLF.TOTL.IN,Bahrain,BHR,214616,223111,231057,239482,248069,257123,264820,273608,282763,292571,303604,322472,339082,358065,382424,419062,474666,538940,605110,666038,714013,736724,747732,749775,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,718.7594203,738.6289855,736.2647887,754.4957746,773.4521127,793.9859155,816.6971831,842.0197183,870.4985915,902.6816901,939.2323944,978.7225352,1021.640845,1057.770833,1106.834247,1171.640541,1271.362162,1368.757333,1468.127632,1574.702632,1655.274278,1702.756193,1731.918182,1752.502597,1768.74026,..
