Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Bangladesh,BGD,72.64346624,72.09802566,66.13659061,65.34531766,64.59245602,64.56172697,64.20066067,64.45417531,64.94584006,64.80755935,64.14688484,63.78581854,63.40170546,63.20964892,62.55665668,60.77437198,60.53622186,60.04455712,59.94468772,59.89091188,59.85250058,58.98440501,58.92294692,58.98440501,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bangladesh,BGD,0.222353159,0.224455016,0.219220378,0.214364312,0.221360614,0.326136967,0.312812233,0.312388402,0.305231589,0.33642493,0.234565922,0.333780881,0.325156925,0.298787611,0.387895599,0.380573395,0.316753986,0.320927161,0.315063522,0.309313109,0.303696691,0.297228695,0.291389824,0.285711552,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31218783739,30957483290,31708873954,33166520084,33768662171,37939748052,46438482370,48244308275,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.74E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013596067,6.116224166,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,294.5636911,285.296976,285.6978098,292.3645263,291.3258679,320.3619277,383.8299551,390.4079054,396.1696495,398.2295463,406.5317405,403.5945462,401.7081533,434.0465632,462.2748798,485.8528881,495.8537802,543.0822631,618.0758836,683.6144223,760.3319352,838.5478017,858.9333626,954.3963997,1092.668152,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bangladesh,BGD,3.048486924,1.075674305,3.088691867,2.445601259,1.675121095,2.88969831,2.311846241,2.302435123,3.013395652,2.575318678,3.26053441,3.117281066,1.963914452,2.947270102,3.563089202,4.980955958,5.265728414,5.778068516,4.826894185,3.886546,4.380462315,5.222922022,5.250940101,4.731909158,4.835365706,..
Internet users (per 100 people),IT.NET.USER.P2,Bangladesh,BGD,0,..,..,..,..,..,..,0.000751046,0.003684813,0.036170407,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,9.6,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bangladesh,BGD,39.68035676,39.80996254,39.51346106,39.33528432,39.08578262,38.77352492,38.50487352,38.29408921,38.02319077,37.80125653,37.52440598,37.75027918,37.9075447,38.13786029,38.30750302,38.55870271,38.84766055,39.14979541,39.38462962,39.68055186,39.96108859,40.0815242,40.24373325,40.32429393,..,..
"Labor force, total",SL.TLF.TOTL.IN,Bangladesh,BGD,46322706,47671022,48809331,49915025,51047925,52278649,53450595,54643514,55924749,57130130,58405756,59979469,61570271,63155229,64708133,66215874,67560318,68862978,70144585,71433442,72754497,74336699,75826258,77333240,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,814.1901821,833.5997465,852.6347008,871.4938465,890.47945,909.7931013,929.4547438,949.3286241,969.2677499,989.0625567,1008.532988,1027.702727,1046.542644,1064.762802,1081.998817,1098.025497,1112.692925,1126.163379,1138.914289,1151.615856,1164.759753,1178.502051,1192.727871,1207.324222,1222.075079,..
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,2.466950281,2.355938926,2.257783657,2.187760068,2.155122135,2.1457187,2.138090473,2.115690607,2.078586608,2.021669268,1.94944844,1.882916186,1.816606212,1.726004223,1.605803333,1.47034775,1.326957091,1.203348026,1.125881485,1.109061795,1.134879634,1.172933905,1.199882864,1.216351172,1.214377385,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Bangladesh,BGD,48.88308646,48.89457465,48.90649582,48.91787506,48.9276963,48.93546503,48.94142537,48.94634359,48.951036,48.95654416,48.96397026,48.97188558,48.98099043,48.99656475,49.02523282,49.07060051,49.13501754,49.2146201,49.29932332,49.37561003,49.43422059,49.47211905,49.49288822,49.50207752,49.50786036,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,105983136,108509679,110987459,113442354,115913710,118427768,120987124,123574107,126169583,128746273,131280739,133776064,136228456,138600174,140843786,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387,157157394,159077513,..
Rural population,SP.RUR.TOTL,Bangladesh,BGD,84986817,86528873,88112944,89658030,91191634,92737232,94292525,95846549,97380208,98874563,100311613,101541384,102503739,103355536,104063840,104611881,104983825,105199310,105306697,105370311,105431274,105504710,105590549,105683633,105761094,..
Surface area (sq. km),AG.SRF.TOTL.K2,Bangladesh,BGD,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Bangladesh,BGD,..,3.799999952,3.200000048,3,2.799999952,2.599999905,2.200000048,2.700000048,2.200000048,3,3.299999952,3.400000095,3.5,4.599999905,5.300000191,6.5,5.400000095,5.5,5.599999905,6.400000095,5.199999809,5.199999809,5.199999809,5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bangladesh,BGD,..,3.599999905,3.299999952,3.200000048,3,2.900000095,2.5,2.900000095,2.5,3.099999905,3.299999952,3.400000095,3.400000095,4.300000191,4.5,4.300000191,4.199999809,4.300000191,4.400000095,5,4.5,4.5,4.5,4.300000191,..,..
