Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Barbados,BRB,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,34.88372093,34.88372093,34.88372093,32.55813953,32.55813953,30.23255814,30.23255814,30.23255814,30.23255814,30.23255814,30.23255814,27.90697674,25.58139535,25.58139535,25.58139535,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Barbados,BRB,..,..,..,..,..,0.422344859,0.42473065,0.421401582,0.423799466,0.420072583,0.408691506,0.403855474,0.405394449,0.401442517,0.40127619,0.397764693,0.394832229,0.391723713,0.636156596,0.384656615,0.38268747,0.379775994,0.377844675,0.376757171,..,..
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2023318164,2007109743,1950900000,2046188943,2151295089,2261969772,2411872814,2549296365,2874459181,3012031889,3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4303500000,4546000000,4595000000,4602000000,4445500000,4358000000,4313000000,4281000000,4348000000,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,-4.806791861,-2.912053247,-4.978795395,0.988418782,3.974816249,1.490133032,1.834015519,6.394727115,4.11236353,2.592656313,2.3,-2.550184351,0.672622176,1.973066082,1.433251433,3.996770287,5.706525583,1.670946604,0.343148127,-4.139670503,0.253470343,0.75850389,0.009287901,-15.26246393,0.20746888,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7770.814922,7681.805193,7440.957495,7777.495024,8148.382059,8536.959158,9069.236722,9549.929441,10727.63541,11200.47556,11560.64009,11498.00876,11671.62101,12014.94155,12851.76004,14201.88093,15646.81501,16461.82927,16569.60496,16526.25455,15901.43294,15530.89429,15317.139,15153.82138,15343.35521,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Barbados,BRB,-5.143145535,-3.249080309,-5.306062306,0.640263596,3.610925068,1.127397409,1.459518763,5.994567134,3.721867856,2.222220982,1.951971183,-2.855473297,0.378553797,1.680174564,1.124967386,3.646841553,5.31181717,1.260807934,-0.076945972,-4.535895676,-0.140993996,0.38649724,-0.338070163,-15.53932027,-0.102651631,..
Internet users (per 100 people),IT.NET.USER.P2,Barbados,BRB,0,..,..,..,..,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,67,70,73,76.67,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Barbados,BRB,46.82796486,47.20790728,47.16207241,47.34392924,47.52414424,47.65246649,48.82915917,48.00396117,48.11027123,48.0563035,48.09004836,48.18332346,47.83249101,48.30825433,48.36167483,48.52859667,48.69058099,48.77987696,48.80275329,48.75680243,48.85162391,48.78689586,48.79956889,48.88578699,..,..
"Labor force, total",SL.TLF.TOTL.IN,Barbados,BRB,136600,134863,137019,138607,139992,142064,141266,142382,143936,145213,146810,148568,148004,149461,152015,153357,154496,155722,157194,158583,159399,160621,161442,161908,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,605.5209302,607.6302326,609.7302326,611.8395349,613.9883721,616.1906977,618.4651163,620.8,623.1372093,625.3953488,627.5302326,629.5023256,631.3465116,633.1651163,635.0953488,637.2395349,639.627907,642.2186047,644.9186047,647.5953488,650.1534884,652.5627907,654.8372093,656.9837209,659.0232558,..
