Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Belarus,BLR,..,..,29.99408401,30.09268389,30.68921317,30.72372313,30.71386314,30.44271347,30.5018734,30.47722343,30.23565372,28.40169592,27.6882118,27.45649066,27.35565307,27.32337425,27.30409069,27.20059142,27.18580582,27.33458239,27.279448,27.24853383,27.21403578,27.46735006,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Belarus,BLR,..,..,1.975117776,2.249227293,1.285636356,2.131259548,1.895060661,1.841195834,1.88849966,2.17875203,1.912571346,4.085068534,4.041934754,3.920347288,3.930007007,3.986360982,4.025060953,4.060760516,4.09577855,4.129903922,4.108523963,3.538757457,3.531613304,3.524693714,..,..
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961821894,45275747861,60752177439,49208656976,55220932614,59734593905,63615445567,73097619637,76139250365,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,..,-1.2,-9.6,-7.6,-11.7,-10.4,2.8,11.4,8.4,3.4,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.740781216,5.543711461,1.731391223,1.073600801,1.587801619,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1244.441997,1479.465321,1819.479028,2378.374894,3126.367778,3848.586203,4735.956889,6376.173115,5176.044701,5818.854859,6305.773662,6721.834908,7722.123351,8040.047557,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belarus,BLR,..,-1.248459878,-9.79467502,-7.807559332,-11.5963919,-10.10994703,3.144015748,11.87348028,8.916754395,3.750333832,6.117241379,5.53753894,5.716108863,7.786168801,12.21717692,10.1585429,10.6757601,9.099832636,10.57010915,0.42133165,7.933783669,5.733117467,1.828134939,1.05224572,1.544892305,..
Internet users (per 100 people),IT.NET.USER.P2,Belarus,BLR,0,..,..,..,0.000485951,0.002921254,0.029298294,0.049020891,0.073868897,0.494881245,1.860398126,4.300616022,8.950971315,..,..,..,16.2,19.7,23,27.43,31.8,39.64889566,46.91,54.17,59.02,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Belarus,BLR,48.79710444,48.70063218,48.61498739,48.52033116,48.42915016,48.41484566,48.46744316,48.52438816,48.5809274,48.64392083,48.67326122,48.81834787,48.89456918,48.8870522,48.88470936,48.88350307,48.88154993,48.87771009,48.87159063,48.86287676,48.83281896,48.78403366,48.73507893,48.68706275,..,..
"Labor force, total",SL.TLF.TOTL.IN,Belarus,BLR,5280633,5212150,5164249,5112867,5055862,4992353,4933879,4877265,4818640,4768785,4763221,4722075,4695771,4665403,4631035,4590653,4546515,4506545,4468015,4429643,4452694,4464844,4473876,4482659,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,50.23170972,50.25635969,50.36481956,50.47820943,50.4190495,50.25635969,50.08873989,49.87675015,49.64011043,49.47249063,49.32459081,48.94498127,48.63678943,48.3015333,47.97593807,47.64088153,47.3336619,47.11680631,46.95909315,46.87407553,46.77180877,46.68572273,46.64136809,46.65122468,46.67093785,..
Population growth (annual %),SP.POP.GROW,Belarus,BLR,0.186649693,0.049060493,0.215580681,0.224883986,-0.117267677,-0.323196991,-0.334086977,-0.424126493,-0.475578029,-0.338241469,-0.299401421,-0.772592013,-0.636590843,-0.691692311,-0.686232016,-0.690973718,-0.612448066,-0.45919513,-0.335289501,-0.220646268,-0.178975676,-0.179296573,-0.095052022,0.021130481,0.042247571,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Belarus,BLR,53.08775435,53.07600123,53.07976277,53.09193238,53.10216894,53.10338433,53.09208378,53.0716375,53.05005383,53.03903677,53.04683304,53.07632233,53.12399945,53.18390539,53.24675418,53.30519336,53.35743879,53.4044519,53.44472911,53.47726888,53.50159848,53.51638347,53.5219296,53.52163469,53.52026468,..
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10035000,10005000,9928000,9865000,9797000,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000,9470000,..
Rural population,SP.RUR.TOTL,Belarus,BLR,3466196,3427834,3395185,3363000,3319582,3269624,3219907,3167936,3114946,3062481,3004201,2932930,2866868,2800472,2735395,2671433,2610751,2555101,2503387,2455468,2409036,2363892,2321803,2283483,2246568,..
Surface area (sq. km),AG.SRF.TOTL.K2,Belarus,BLR,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Belarus,BLR,..,4.800000191,4.699999809,4.699999809,4.699999809,4.699999809,4.900000095,4.900000095,4.900000095,4.800000191,4.800000191,4.800000191,4.800000191,4.800000191,4.800000191,4.699999809,4.699999809,4.699999809,4.599999905,4.599999905,4.5,4.5,4.400000095,4.300000191,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Belarus,BLR,..,6.199999809,6.099999905,6.199999809,6.099999905,6.199999809,6.300000191,6.400000095,6.400000095,6.5,6.400000095,6.400000095,6.5,6.400000095,6.400000095,6.300000191,6.199999809,6.199999809,6,6.099999905,6.099999905,6,5.900000095,5.800000191,..,..
