Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,28.4676354,27.90620872,27.47688243,27.57595773,27.74108322,27.84015852,27.80713342,27.70805812,27.87318362,27.70805812,27.54293263,27.21268164,26.48612946,26.94848085,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Belgium,BEL,2.681199781,2.496732617,1.936725938,1.706294129,1.272775477,1.126480893,1.102200401,1.05445845,1.026947864,0.956907532,0.890840325,0.912966911,0.890812721,0.920534,0.797021089,0.799893117,0.861897515,0.82426919,0.817159169,0.824759755,0.729564448,0.699061512,0.625860941,0.75666226,..,..
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,2.06E+11,2.11E+11,2.36E+11,2.26E+11,2.46E+11,2.89E+11,2.81E+11,2.54E+11,2.60E+11,2.60E+11,2.37E+11,2.37E+11,2.58E+11,3.19E+11,3.70E+11,3.87E+11,4.11E+11,4.72E+11,5.20E+11,4.86E+11,4.84E+11,5.28E+11,4.99E+11,5.25E+11,5.33E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,3.137407794,1.833065354,1.530640742,-0.96185258,3.226987658,2.384741693,1.551167004,3.743382568,2.006287901,3.716030155,3.550426348,0.924198231,1.559543427,0.889780595,3.434787675,1.893853556,2.630146232,3.000341023,0.953468801,-2.618664789,2.501054567,1.618317967,0.092812881,0.291113561,1.06654615,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20678.85194,21121.81831,23461.66786,22368.8285,24300.7853,28522.07455,27646.04854,24957.55752,25465.25326,25391.73533,23151.95374,23078.41806,25006.79135,30702.51349,35547.53586,36927.99908,38936.33091,44449.68906,48561.3564,44999.20158,44360.90169,47801.5969,44818.04505,46927.24898,47516.52114,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belgium,BEL,2.830273437,1.455362836,1.119551715,-1.34797906,2.909334852,2.17053472,1.35293668,3.492635517,1.78870865,3.478596506,3.29960224,0.577664578,1.105302455,0.468296964,2.988101369,1.334919232,1.955468065,2.246748082,0.159101563,-3.399050894,1.339226543,0.445817026,-0.631260942,-0.198296787,0.684886294,..
Internet users (per 100 people),IT.NET.USER.P2,Belgium,BEL,0.00100674,0.020072645,0.100041027,0.199446059,0.69599469,0.99166299,2.968411647,4.93808091,7.886622701,13.77221446,29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Belgium,BEL,39.03662468,39.67513306,40.34165807,40.98384432,41.10791023,41.35297038,41.35279745,41.86662631,42.23148016,42.92831582,43.09019588,42.33339512,43.04311624,43.44144343,43.82801259,44.13648079,44.48830545,44.7507579,45.02997507,45.27169005,45.41987826,45.3870563,45.45244751,45.73660163,..,..
"Labor force, total",SL.TLF.TOTL.IN,Belgium,BEL,3953454,4045287,4079049,4102458,4164128,4190040,4200688,4215434,4255328,4363013,4411565,4315600,4400476,4432210,4516819,4625618,4640923,4731464,4772632,4787091,4898265,4870816,4905243,4955976,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,360.6430647,364.8528402,367.5114267,369.3136394,370.7135733,..
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.298235706,0.371593166,0.405713496,0.390638518,0.308197074,0.209436838,0.195393176,0.241991885,0.213527651,0.229189103,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,1.139951926,1.160536579,0.726031655,0.489184301,0.378347065,..
