Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Belize,BLZ,2.279701885,2.367382727,2.455063569,2.630425252,2.630425252,2.718106094,2.761946515,2.805786936,2.805786936,2.805786936,2.805786936,2.849627356,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.200350723,3.288031565,3.288031565,3.419552828,3.419552828,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Belize,BLZ,1.590254918,1.56335496,1.54495033,1.52121332,1.483503442,1.547312599,1.455546293,1.326343712,1.265075483,1.210360687,1.218472036,1.171795937,1.130001541,1.091226539,0.957808534,0.922449657,0.882371108,0.842708465,0.806373577,0.809622947,0.776259759,0.749026266,0.724018094,0.701641842,..,..
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,413050000,444720750,518143700,559759650,580760200,620031750,641271350,654198100,688872450,732608000,831750000,871840750,932676400,990350000,1057850000,1114202700,1217442150,1290542550,1368625150,1336957250,1397113450,1487005600,1573867300,1624294250,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,10.62857607,10.49704249,12.0357579,6.276563742,0.157938679,0.643973578,1.428722665,3.545178858,3.740956602,8.780371455,13.03876213,5.015662999,5.118559443,9.329248703,4.648087296,2.578008809,4.58160037,1.105586127,3.229101316,0.713250728,3.323871124,2.103950804,3.824748783,1.525675273,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,2202.322556,2326.833728,2666.431832,2832.576727,2879.640814,2995.872431,3001.166965,2952.050919,2991.338926,3064.997657,3363.160704,3419.130825,3557.091098,3679.792815,3831.60983,3933.234373,4187.23289,4324.831017,4470.220796,4258.842876,4344.136669,4517.123997,4674.293377,4719.137955,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belize,BLZ,8.220785979,8.430212968,10.19425744,4.505063598,-1.859840677,-1.925593572,-1.757390697,-0.161941143,-0.169674145,4.80505289,9.250570448,1.853937415,2.226818841,6.514081077,2.012601301,-0.027006725,1.893961401,-1.487081993,0.612001764,-1.776308325,0.855219359,-0.24833604,1.507781323,-0.682449834,..,..
Internet users (per 100 people),IT.NET.USER.P2,Belize,BLZ,0,..,..,..,..,0.04539718,0.882807327,1.288582302,2.091516391,4.076740564,5.963835303,..,5.684251214,..,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Belize,BLZ,30.16236503,30.24466505,30.38299319,30.41970275,30.29759079,29.85328663,29.45761052,30.13200278,30.72205689,31.39329806,32.06575318,32.78365451,33.49735477,34.20995199,35.00407069,35.6646711,36.05015397,36.46399528,36.8561107,37.18482535,37.48299621,37.63393303,37.69789828,37.81248121,..,..
"Labor force, total",SL.TLF.TOTL.IN,Belize,BLZ,62883,63965,64727,65737,67408,71091,75573,79165,82999,86751,90277,93873,97345,100804,104405,108407,113331,118665,124012,129690,135264,140182,145024,149649,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,8.222358615,8.379088119,8.519114423,8.66352477,8.8416484,9.073301184,9.367558089,9.715387988,10.09596668,10.47891276,10.84226217,11.17882508,11.49504603,11.79886015,12.1036826,12.41907058,12.74664621,13.08211311,13.42240246,13.76260412,14.09947391,14.43195967,14.76137659,15.08956598,15.41893906,..
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.20049739,1.888198826,1.657330228,1.680926253,2.035167277,2.58628354,3.19162875,3.645856627,3.84249866,3.72289234,3.408673211,3.056970956,2.789479209,2.60867665,2.550682375,2.57234884,2.603495305,2.597769112,2.567925042,2.502993156,2.418241811,2.330768292,2.256891106,2.198943059,2.159305277,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Belize,BLZ,49.57611756,49.58116854,49.59319888,49.60908838,49.62316167,49.63326601,49.63823395,49.64035594,49.64153737,49.64480554,49.65226111,49.66331881,49.67811077,49.69754619,49.72345473,49.75624737,49.79621738,49.84199221,49.89041857,49.93740543,49.98056646,50.0192896,50.05449842,50.08701513,50.11856494,..
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,191127,194321,197615,201678,206962,213674,221608,230289,239024,247312,254989,262202,269132,276085,283279,290751,298403,306165,313925,321609,329193,336707,344193,351706,..
Rural population,SP.RUR.TOTL,Belize,BLZ,98530,100712,102308,103955,106004,108688,112119,116182,120632,125100,129436,134145,138647,143041,147485,152090,156886,161821,166857,171930,177004,181984,186886,191722,196519,..
Surface area (sq. km),AG.SRF.TOTL.K2,Belize,BLZ,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Belize,BLZ,..,17.20000076,17.10000038,15.39999962,16.20000076,18.20000076,18.70000076,21.10000038,21.79999924,20.5,16.5,13.69999981,15,15.30000019,15.60000038,17.29999924,13.80000019,12.5,12,14.80000019,14.39999962,17,20.79999924,21,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Belize,BLZ,..,10.89999962,10.80000019,9.800000191,11.10000038,12.5,13.80000019,12.69999981,14.30000019,12.80000019,10.89999962,9.100000381,10,10.30000019,10.5,11,9.399999619,8.5,8.199999809,10.89999962,10.69999981,12.30000019,14.39999962,14.60000038,..,..
