Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Benin,BEN,14.32245477,14.36679674,14.45548067,14.63284853,15.07626818,15.87442355,17.29336644,18.6236254,19.95388436,20.39730401,21.10677545,21.72756297,22.61440227,23.50124158,24.38808088,23.94466123,22.17098262,22.17098262,23.05782192,21.72756297,22.52571834,22.88045406,23.94466123,23.94466123,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Benin,BEN,0.306802423,0.344639817,0.331067883,0.362669684,0.348368482,0.306259825,0.297391712,0.289383854,0.28156628,0.274035236,0.265881115,0.257689199,0.242531896,0.233498405,0.18991134,0.243735614,..,0.227086478,0.219146201,0.191697362,0.185089497,0.233826968,0.226645718,0.219378173,..,..
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,1959965331,1986437798,1695315186,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,2488892429,2359122303,2499269391,2807657386,3557229702,4050869968,4358015993,4705087452,5511880906,6633463907,6584477485,6561782313,7289779658,7543183759,8307221458,8746992733,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,8.976134361,4.225799419,2.957710824,5.836172091,2.020400445,6.045198645,4.324284035,5.734688374,3.961012139,5.341449373,4.861667564,6.248410547,4.421114343,3.882508345,3.119857104,2.865236818,3.752154478,4.626396471,5.014638407,2.663222588,2.611487073,3.26371861,5.395889626,5.640149161,5.369098397,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,391.8934468,383.2953624,315.2182868,407.450188,276.1591211,362.4709495,382.2854406,356.5782605,375.0241065,369.2449748,339.4730257,348.3345495,378.6587084,464.046143,511.2929789,532.6109982,557.2294112,632.9938772,739.226102,712.5300628,690.0022811,745.4226606,750.5810826,804.7892605,825.3061838,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Benin,BEN,5.380160372,0.580598856,-0.78867822,1.964892014,-1.582685706,2.522014998,1.10384299,2.659984023,1.020086706,2.309618235,1.709872017,2.908466991,1.043569668,0.481901798,-0.226646082,-0.397918499,0.540755478,1.455272255,1.903025949,-0.308106381,-0.289059238,0.416999863,2.560094223,2.851934147,2.622647213,..
Internet users (per 100 people),IT.NET.USER.P2,Benin,BEN,0,..,..,..,..,..,0.0016931,0.024648796,0.047877304,0.154906741,0.225247851,0.36341789,0.702945595,0.951327115,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,5.3,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Benin,BEN,41.71582323,41.51895568,41.51671656,41.81028386,42.24346689,42.68653636,43.22450019,43.84177284,44.46598834,45.14084848,45.73140617,46.33121181,46.83922868,46.85622352,46.80567544,46.76722792,46.76593327,46.7716109,46.7844267,46.80271274,46.89460672,46.93751005,46.98233818,46.96331858,..,..
"Labor force, total",SL.TLF.TOTL.IN,Benin,BEN,1955656,2031106,2114370,2205864,2296419,2383597,2454675,2522601,2592640,2663891,2745588,2832870,2927450,3040706,3159369,3282245,3399868,3522887,3650531,3782003,3917024,4041450,4169503,4307630,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,44.35323696,45.96066868,47.69622206,49.50709471,51.31956368,53.08316779,54.77401561,56.41451756,58.056873,59.77732352,61.62970912,63.62993083,65.75686414,67.98227208,70.26246896,72.56440227,74.88220114,77.22274743,79.58074672,81.95266052,84.33662646,86.72748315,89.1255055,91.5416105,93.99150408,..
