Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Bhutan,BTN,2.889369261,2.889369261,2.889369261,2.910771997,3.51758794,3.668341709,3.793969849,3.844221106,3.844221106,3.844221106,2.663316583,2.788944724,2.788944724,2.788944724,4.145132093,4.381247213,3.969357505,3.575832306,2.623501325,2.623501325,2.639242333,2.628748328,2.628748328,2.628748328,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bhutan,BTN,..,..,2.630803553,2.688649061,2.735663754,2.199228071,2.693631716,3.127198812,3.492456294,3.316545297,2.684263505,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869609.3,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1781261413,1821412873,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,10.87643469,-0.407876089,4.600891432,1.98636659,4.95150367,7.074117278,5.565172862,5.373838519,5.914030835,7.983972022,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.044541095,6.25618388,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,559.8216186,467.65687,474.9128636,453.3890923,529.5484886,595.5104134,617.5547709,702.5389844,706.5620391,764.1242599,778.391266,820.2028589,897.4453332,1009.006232,1107.920596,1257.549353,1346.085775,1755.161709,1810.576177,1786.810672,2201.293078,2485.787052,2452.151588,2360.421517,2380.906962,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bhutan,BTN,9.588375195,-0.253834429,5.906805588,3.802219924,6.483554026,7.596971965,4.848187514,3.646322272,3.414805457,5.053724792,3.938375687,5.111646608,7.464407469,4.511461054,2.930904702,4.337741272,4.324887045,15.40783272,2.73039198,4.722467211,9.804775926,6.122804588,3.451931228,0.567090803,4.815698443,..
Internet users (per 100 people),IT.NET.USER.P2,Bhutan,BTN,0,..,..,..,..,..,..,..,..,0.137571514,0.400944447,0.864628564,1.675802584,2.436912399,3.156984196,3.847106745,4.518317258,5.92,6.55,7.17,13.6,21,24,29.9,34.37,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bhutan,BTN,36.22144221,35.96036207,35.58740582,35.21377449,35.01649605,34.96332787,35.41479235,35.98676153,36.78254969,37.59493611,38.38183648,38.92525046,39.35994747,39.82137042,40.17361159,40.45363794,40.83835799,41.14495326,41.43004692,41.60642686,41.559423,41.51473294,41.47463147,41.49675773,..,..
"Labor force, total",SL.TLF.TOTL.IN,Bhutan,BTN,194868,193552,190056,185967,182771,181882,185623,191865,200432,211063,223525,238958,255854,273303,290188,305530,318098,329044,338870,347915,359928,370666,382265,393397,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,11.46127175,11.44357169,11.30246345,11.10474499,12.84879397,12.78635678,12.87379397,13.08836683,13.40467337,13.77856784,14.17555276,14.59256281,15.03570352,15.48929648,16.63916363,17.08326993,17.49665504,17.87840071,18.23307186,18.56992943,18.89566335,19.21048351,19.51126794,19.79791169,20.06999502,..
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.168507711,-0.154553037,-1.240744094,-1.764821358,-1.449217728,-0.487122623,0.68150437,1.653003783,2.387959712,2.751092492,2.840451475,2.899315809,2.991560471,2.972162853,2.840340006,2.634044667,2.39101038,2.158359835,1.964375993,1.83064949,1.738886845,1.652370276,1.553599543,1.458432042,1.364945236,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Bhutan,BTN,48.24884922,48.2798993,48.30964712,48.34585147,48.39884861,48.47071215,48.57282821,48.69009842,48.76871113,48.74532037,48.58725919,48.28456018,47.87465681,47.42762874,47.02846737,46.72962069,46.54171415,46.44086102,46.39980431,46.38048684,46.35693916,46.32459583,46.29311655,46.26833829,46.26003911,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,535505,534678,528085,518847,511382,508897,512377,520917,533506,548387,564187,580784,598421,616474,634235,651163,666920,681471,694990,707830,720246,732246,743711,754637,765008,..
Rural population,SP.RUR.TOTL,Bhutan,BTN,447746,442922,433230,421350,410901,404385,402441,404226,408788,414674,420782,426992,433436,439620,445011,449530,455426,460204,464003,467097,469651,471676,473238,474372,475085,..
Surface area (sq. km),AG.SRF.TOTL.K2,Bhutan,BTN,47000,47000,47000,47000,40077,40077,40077,40077,40077,40077,40077,40077,40077,40077,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Bhutan,BTN,..,2.400000095,2.599999905,2.900000095,3.200000048,3.5,3,2.299999952,1.799999952,1.799999952,2.099999905,2.400000095,2.299999952,2.200000048,3.099999905,3.400000095,3.599999905,4.599999905,4.900000095,5.800000191,4.300000191,4.800000191,2.299999952,2.5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bhutan,BTN,..,1.899999976,2.099999905,2.299999952,2.5,2.700000048,2.5,1.899999976,1.399999976,1.399999976,1.700000048,1.899999976,1.899999976,1.799999952,2.5,3.099999905,3.099999905,3.700000048,3.799999952,4,3.299999952,3.099999905,2.099999905,2.099999905,..,..
