Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Bolivia,BOL,1.938521185,1.947752239,1.984676452,2.030831718,2.169297517,2.400073848,2.483153328,2.651158497,2.74531524,2.833933352,2.902243146,2.907781778,3.046247577,3.243792117,3.303793963,3.513338872,3.564109665,3.628727038,3.720114465,3.805040155,3.66380504,3.699806148,4.018277485,4.096741438,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bolivia,BOL,1.125789319,1.202447308,1.131543726,1.095960222,0.929887789,2.060775186,1.9765643,2.08784628,2.03946097,1.9641431,1.9191434,1.845112241,1.797085944,1.752860472,1.695022989,1.702463392,1.967465236,1.91530653,1.869954783,1.824882359,1.778870947,1.737077459,1.695912321,1.655680866,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,4867582620,5343259389,5643864408,5734703452,5981218997,6715164551,7396952081,7925733786,8497499333,8285061618,8397858185,8141513292,7905485216,8082396526,8773451739,9549122264,11451869165,13120183157,16674324634,17339992165,19649631308,23948541156,27035110130,30601157742,34175832127,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,4.635787902,5.266522073,1.646500041,4.269295333,4.667266268,4.678276905,4.361340311,4.954208776,5.029354636,0.426885364,2.507810988,1.683799034,2.485565815,2.711339832,4.173295561,4.4214331,4.797008869,4.564384269,6.148497875,3.356999574,4.126722591,5.173930421,5.176430978,6.775601009,5.399085429,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,709.9486541,764.139198,791.3772592,788.4028335,806.2176361,887.4608946,958.471629,1006.971765,1058.71259,1012.508279,1006.996355,958.2334134,913.5758534,917.3679037,978.3347576,1046.432708,1233.592974,1389.63175,1736.924014,1776.85719,1981.160105,2376.262711,2640.466702,2942.438536,3235.769529,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bolivia,BOL,2.602971847,3.215016572,-0.337172655,2.231952445,2.621004158,2.632885932,2.32306463,2.908492051,2.995872949,-1.493271589,0.580428453,-0.193557508,0.626556316,0.880145732,2.345795783,2.617282462,3.014069683,2.813017478,4.396656388,1.674244333,2.452778319,3.504284134,3.527467812,5.120886489,3.782895606,..
Internet users (per 100 people),IT.NET.USER.P2,Bolivia,BOL,0,..,..,..,..,0.066807568,0.196081174,0.447839036,0.626484062,0.981815187,1.442763585,2.120462534,3.117192947,3.508596401,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30,35.34,36.94,39.02,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bolivia,BOL,38.19972028,38.65212216,39.17277081,39.55310167,39.98597198,40.42749029,41.39668782,42.33205923,42.39689817,42.46068186,42.52344747,42.68513859,42.78397953,42.87036779,43.02616442,43.18067344,43.34906673,43.73556309,43.89054231,44.13155559,44.36194123,44.44776178,44.53284342,44.5477255,..,..
"Labor force, total",SL.TLF.TOTL.IN,Bolivia,BOL,2664797,2744403,2827995,2919814,3011116,3110480,3243001,3381475,3461699,3543530,3626618,3717931,3817291,3913603,4011745,4111689,4218626,4333510,4438610,4559198,4677124,4789654,4905914,5025123,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,6.329037201,6.454833379,6.583309333,6.714505677,6.848392874,6.984875842,7.124014585,7.265632789,7.409080587,7.553503185,7.698247946,7.843051786,7.987947014,8.132945629,8.278168559,8.42370996,8.569505216,8.715482323,8.861733592,9.008399335,9.155584787,9.303275178,9.451455737,9.600231699,9.749734146,..
