Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Bosnia and Herzegovina,BIH,..,..,16.6015625,16.6015625,16.6015625,16.6015625,17.578125,17.578125,18.5546875,18.5546875,19.53125,19.7265625,19.47265625,19.86328125,20.078125,20.01953125,20.05859375,19.9609375,19.6875,19.47265625,19.609375,19.62890625,19.58984375,19.7265625,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bosnia and Herzegovina,BIH,..,..,4.024198849,..,5.045837833,6.664503118,16.22963431,6.198716433,6.204897251,6.201993148,5.473603547,1.72667212,1.421684567,1.34276219,1.711657098,0.855074798,0.640266806,0.624864613,0.614596671,0.726474241,0.715091217,0.713181418,0.70666384,0.704474824,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,..,..,..,1255802465,1866572973,2786045392,3671816538,4116699576,4685729739,5505984456,5748990555,6651226179,8370020196,10022840635,10903626824,12550175101,15441062281,18711890354,17264893103,16847493059,18318439121,16906005781,17851326454,18344278253,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,..,..,..,..,..,20.80000055,88.9576648,34.38957459,15.59999636,9.599999795,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,4.999999926,6.200000427,6.837999841,5.420000102,-2.910000257,0.700000126,0.957763336,-1.209023126,2.480000042,1.246022998,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,..,..,..,..,314.5596038,481.1650449,731.1209697,971.5460732,1090.257093,1238.173385,1451.664002,1512.992985,1746.486383,2192.647078,2619.753258,2844.391988,3269.548528,4020.672302,4873.206648,4498.722971,4392.792625,4779.999301,4415.923592,4668.804076,4805.243947,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bosnia and Herzegovina,BIH,..,..,..,..,..,24.31811461,92.36075325,35.50238957,15.70580261,9.354091249,5.263876441,4.211270205,5.062212061,3.75572772,5.862639531,4.794430529,6.058151571,6.784753572,5.438367443,-2.858972585,0.764958416,1.035424978,-1.108617269,2.610956746,1.404593112,..
Internet users (per 100 people),IT.NET.USER.P2,Bosnia and Herzegovina,BIH,0,..,..,..,..,..,0.015125563,0.059425563,0.14367106,0.1943742,1.08296075,1.200526951,2.648267914,3.965036834,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,47.77,52.78,57.79,60.8,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bosnia and Herzegovina,BIH,38.95606937,39.34849381,39.77699231,40.16738829,40.09271367,39.52955852,38.05620458,37.63766917,37.42700227,37.40486972,37.27379973,37.17769686,37.16312179,36.95117274,36.8223086,36.7253913,36.50765759,35.87771261,36.4448997,37.14407776,37.99103787,37.99296553,38.01945681,38.01695034,..,..
"Labor force, total",SL.TLF.TOTL.IN,Bosnia and Herzegovina,BIH,1591236,1550039,1490980,1430566,1387282,1380448,1398676,1387384,1386002,1386651,1388482,1389957,1392714,1400099,1402150,1403386,1405664,1440312,1464375,1455936,1479112,1479287,1485855,1490472,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,88.76462745,87.01760784,84.00720703,80.88216797,77.97375,75.76714844,74.42673828,73.81550781,73.74800781,73.91384766,74.07964844,74.21380859,74.38177734,74.55689453,74.7240625,74.87064453,74.97078125,75.00816406,74.99509766,74.95570313,74.90738281,74.84980469,74.77380859,74.67837891,74.56160156,..
