Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Botswana,BWA,0.741093642,0.529352602,0.441127168,0.617578035,0.696980926,0.608755492,0.608755492,0.529352602,0.405836995,0.423482081,0.617578035,0.352901735,0.432304625,0.344079191,0.39877896,0.423482081,0.354666243,0.321140578,0.49229792,0.557584741,0.457007746,0.57170081,0.502884972,0.479946359,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Botswana,BWA,1.070656169,1.200327861,1.151709795,1.106742115,1.064154856,1.241996429,1.20074644,1.161781489,1.255927648,1.282095662,1.24346095,1.211585177,1.240558464,1.210198864,1.124162639,1.20536453,1.172854183,1.139479548,1.108459765,1.029502603,1.002234506,0.976560683,0.952160725,0.930271294,..,..
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,3790636671,3942877347,4146464587,4160129175,4259258811,4730599685,4847757699,5020265173,4790481509,5484263050,5788311649,5489646898,5438856514,7511538757,8957491776,9931223498,10089153103,10939062374,10945056878,10267108398,12786670175,15682932628,14792390177,14979306814,15813371063,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,6.772821949,7.458709112,2.917070307,1.916107142,3.627916021,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,7.959531063,8.682340667,6.245302842,-7.652170569,8.563257129,6.048549263,4.83138698,9.322434223,4.421063812,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2747.208443,2776.482572,2839.163319,2772.761381,2767.306839,3001.09541,3007.616636,3050.264225,2854.686912,3210.235178,3333.169207,3114.638493,3044.127021,4149.017397,4879.472573,5327.901027,5322.206808,5666.642513,5561.891347,5115.109116,6244.006549,7504.851222,6935.595271,6882.259587,7123.342267,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Botswana,BWA,3.677462973,4.410421855,0.073282542,-0.794421842,1.016977438,4.507511936,3.496567185,5.793682056,-1.214586195,7.724918184,0.330889635,-1.225543656,4.636349766,3.252448689,1.289675878,2.971863385,6.156020628,6.725369316,4.224183054,-9.462401724,6.409890498,3.923473773,2.71217118,7.12805951,2.378351096,..
Internet users (per 100 people),IT.NET.USER.P2,Botswana,BWA,0,0,..,..,..,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6,8,11.5,15,18.5,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Botswana,BWA,46.66651202,46.73750887,46.74543265,46.7478383,46.82022928,46.82969453,46.90553516,46.98080327,46.99390412,47.00419117,47.02247058,47.0494872,47.07813037,47.10969934,47.14513277,47.18530946,47.16782371,47.15850057,47.14823533,47.14043396,47.13403884,47.1322598,47.06612076,47.12834111,..,..
"Labor force, total",SL.TLF.TOTL.IN,Botswana,BWA,560404,583174,607792,632487,657799,684382,707893,731635,756413,779973,804207,825365,846393,867626,889551,912587,937883,965353,992368,1019910,1047659,1075202,1102755,1128703,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,2.43469377,2.505775237,2.576981984,2.647391174,2.715817056,2.78137914,2.84408272,2.904109541,2.961041413,3.014430152,3.064208706,3.110001235,3.152598239,3.194533552,3.239196796,3.289049459,3.34492792,3.406262241,3.472316623,3.541742982,3.613415559,3.68730436,3.763382916,3.840470771,3.917098089,..
