Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Brazil,BRA,6.063669668,6.221240611,6.197910061,6.253065874,6.310614563,6.946401951,6.922353538,6.913978469,6.905507685,6.909049143,6.9125906,7.067481521,7.358574994,7.733060226,8.174904943,8.274209334,8.319793638,8.182203217,8.404980055,8.427712386,8.41849981,8.647019552,8.686980596,9.093901275,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Brazil,BRA,0.469851052,0.442624559,0.419111804,0.410351249,0.399958739,0.896150673,0.900387222,0.894961021,0.872072978,0.816357359,0.798544751,0.786725818,0.761472126,0.744974542,0.73806089,0.701753918,0.776046567,0.734022544,0.720196009,0.700515799,0.687744392,0.677424578,0.667102239,0.658285184,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,4.62E+11,4.07E+11,3.91E+11,4.38E+11,5.58E+11,7.86E+11,8.54E+11,8.86E+11,8.67E+11,6.02E+11,6.57E+11,5.60E+11,5.09E+11,5.59E+11,6.70E+11,8.92E+11,1.11E+12,1.40E+12,1.69E+12,1.66E+12,2.21E+12,2.62E+12,2.41E+12,2.39E+12,2.35E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,-3.102355949,1.511937238,-0.46691321,4.665168989,5.334551702,4.416731354,2.190059433,3.388280009,0.354845946,0.490423084,4.383024533,1.279024665,3.071724891,1.223205419,5.66067353,3.148900043,3.999324276,6.005801827,5.019316013,-0.235978102,7.572067155,3.916382188,1.762488805,2.74369665,0.144707354,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3071.627953,2663.786447,2513.637934,2777.348239,3482.529816,4827.327609,5163.265813,5279.150475,5083.626495,3476.080826,3738.719412,3136.496733,2810.23079,3044.255027,3597.978836,4733.183546,5809.117874,7241.07895,8700.613339,8462.389117,11124.07688,13042.1977,11922.70468,11711.06334,11384.61814,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,-4.771936598,-0.163395378,-2.044128098,3.051400166,3.725363499,2.81633657,0.614828805,1.792950739,-1.188672502,-1.039734296,2.81931094,-0.215561239,1.576595688,-0.19996342,4.247622319,1.855770023,2.78916836,4.858625782,3.948914791,-1.21565839,6.536009941,2.929975191,0.815260403,1.809215583,-0.739013099,..
Internet users (per 100 people),IT.NET.USER.P2,Brazil,BRA,0,0.003288171,0.012946262,0.025498253,0.037672709,0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,57.6,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Brazil,BRA,35.23695425,37.25316441,39.21166287,39.27237931,39.67816617,40.0803099,39.761277,40.11494019,40.42492696,41.13964501,41.23763381,41.33741426,41.98269221,42.22671187,42.54646005,43.01870386,43.06600025,43.10202773,43.06141039,43.30306827,43.55500713,43.69764992,43.70595751,43.70370815,..,..
"Labor force, total",SL.TLF.TOTL.IN,Brazil,BRA,62785855,66647906,70625546,72133325,74007634,75947050,75589700,78249218,80136642,82880370,84303353,85569837,88407701,90365504,93081751,95902564,97159118,98225866,100111635,101850665,103742031,105322426,106952122,108384636,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,17.99361377,18.29556002,18.59014195,18.88126066,19.17418325,19.47264032,19.77750492,20.08746384,20.40124741,20.71669845,21.03176556,21.34678242,21.6609906,21.96988074,22.26767714,22.55038083,22.81587064,23.0654812,23.30299516,23.53409945,23.76296736,23.99069458,24.21610358,24.43837708,24.65595192,..
