Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Brunei Darussalam,BRN,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.569259962,0.569259962,0.759013283,0.759013283,0.759013283,0.759013283,0.948766603,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Brunei Darussalam,BRN,3.645377661,3.511575029,3.38888277,3.269442969,3.949915077,6.86373204,6.70547491,6.440914396,6.221641688,5.812563108,5.65974634,6.061969578,6.537105712,6.397723128,5.856515373,6.320059294,5.076628893,4.978234054,4.88941767,4.933491205,4.850016516,4.761169446,4.684730311,4.616160053,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531417164,11470462389,12247680676,14393437576,10732593024,12370530144,16691360425,16953952578,16111135786,17256754269,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,1.089420296,3.145941139,4.758580798,0.3045733,3.145397381,4.478707189,2.878317974,-1.471171729,-0.558508698,3.052156688,2.849421759,2.744040816,3.872097249,2.903955133,0.504318384,0.387506909,4.397720159,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662,-1.751960547,5.3,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,13701.89704,14002.10713,15381.31391,14678.07159,14220.63634,16046.98158,16913.93536,16779.33847,12784.76622,14205.77372,18154.83493,16616.79805,17016.94349,18758.98089,22131.94606,26337.95767,31157.03487,32707.66806,37799.28247,27727.06682,31453.00594,41786.58889,41808.75678,39152.30848,41344.04009,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brunei Darussalam,BRN,-1.743722651,0.248576666,1.822140647,-2.466633822,0.380001319,1.79174759,0.347934975,-3.792315053,-2.795112979,0.843841631,0.751698539,0.756669657,1.963647904,1.086428896,-1.23140843,-1.329313111,2.622264161,-1.532853625,-3.569048113,-3.361864474,0.97586009,1.839697946,-0.562465152,-3.181395399,3.812811636,..
Internet users (per 100 people),IT.NET.USER.P2,Brunei Darussalam,BRN,0,..,..,..,..,1.017080166,3.303349927,4.831057905,6.284742844,7.671041206,8.996284534,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46,49,53,56,60.27306504,64.5,68.77,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Brunei Darussalam,BRN,32.2041776,32.99563687,33.66007811,34.27684008,35.01125726,35.84545926,36.80716233,37.85549577,38.92204042,39.84960408,40.64598287,41.09952879,41.04202687,40.8485653,40.64187408,40.51445283,40.36032784,40.14060746,40.07366723,39.96501221,39.87290335,39.83786288,39.80349456,39.7748312,..,..
"Labor force, total",SL.TLF.TOTL.IN,Brunei Darussalam,BRN,109728,113909,118033,122345,126585,131124,135710,140508,145460,150536,155484,160014,163681,167247,170750,174049,177283,180787,184071,187494,190721,194280,197450,200383,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,48.75502846,50.16413662,51.61081594,53.0772296,54.53946869,55.97912713,57.39070209,58.77533207,60.12770398,61.44440228,62.72371917,63.96091082,65.15806452,66.32960152,67.49525617,68.66963947,69.85768501,71.05483871,72.25540797,73.44971537,74.63036053,75.79563567,76.94724858,78.08330171,79.20189753,..
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,2.842633431,2.849202139,2.843090028,2.801675347,2.717662051,2.605425579,2.490341415,2.383993857,2.27484559,2.166203778,2.060693428,1.953245607,1.854395147,1.782019622,1.742104045,1.724985602,1.715292884,1.699185384,1.675521988,1.639385248,1.594637459,1.549331208,1.507938953,1.465612377,1.422402986,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Brunei Darussalam,BRN,47.11273882,47.12764549,47.15117155,47.21093105,47.34172283,47.55872682,47.87319515,48.258896,48.65072127,48.96699319,49.15656746,49.20670239,49.14454123,49.00888839,48.85409053,48.71797706,48.60681787,48.5118531,48.43717994,48.38457166,48.35393667,48.34907609,48.36922212,48.40546393,48.44511421,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,256939,264365,271989,279717,287423,295010,302449,309746,316873,323812,330554,337074,343383,349557,355700,361889,368150,374459,380786,387080,393302,399443,405512,411499,417394,..
Rural population,SP.RUR.TOTL,Brunei Darussalam,BRN,87788,88483,89544,90617,91613,92503,93281,93958,94523,94977,95319,95554,95680,95758,95822,95890,95973,96067,96164,96251,96320,96378,96419,96451,96472,..
