Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Bulgaria,BGR,34.85492181,34.92723493,36.58139745,36.72602368,36.16559704,36.13847962,37.99150321,38.85022146,31.96239718,32.34204104,31.87200579,31.33869656,30.83639706,30.55070332,30.46156675,29.20655376,28.83181442,28.40438265,28.43200442,28.97936625,29.34782609,29.93736183,30.55453206,32.0467944,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Bulgaria,BGR,3.163502306,2.666690592,2.505302891,1.338151709,2.088298481,3.599543263,3.705569215,3.716951025,3.788873351,3.274176007,3.316794053,3.172316649,2.987404182,2.525242772,2.48826636,2.533599252,2.15617863,2.136423456,2.097168236,1.866760488,1.916218014,1.417698269,1.414185688,1.418136497,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,20726301370,10943548387,10371900826,10831998208,9704878271,13069095618,10110256626,11195830237,14631307233,13659823860,13353530538,14303810795,16343311507,21101364345,25919754936,29299967875,33649637658,43637701889,53316403410,50161403995,48669060512,55765057234,52591569645,54479873100,55734676435,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,-9.117377168,-8.445355218,-7.272387867,-1.480214784,1.818011058,2.860189466,1.59999999,-1.088875746,3.462816689,-5.646221822,6.038339644,3.798872168,4.480223622,5.357172335,6.559714769,5.955290762,6.470400067,6.907382374,5.754700422,-5.011937411,0.655325112,1.982003144,0.492189952,1.065865089,1.705473502,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2377.335894,1267.734375,1214.484971,1278.517237,1149.378063,1554.7218,1208.952168,1346.936796,1772.034207,1663.676702,1634.424653,1783.454845,2077.063986,2697.15736,3331.090943,3785.574474,4370.639076,5783.399218,7115.911824,6738.100352,6580.813875,7588.808942,7198.518461,7498.831484,7712.763911,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bulgaria,BGR,-7.463207728,-7.534068871,-6.271263765,-0.691213486,2.164358591,3.319348993,2.125335038,-0.484870721,4.155535554,-5.11574337,6.563354651,5.738755697,6.496062114,5.961973447,7.140310089,6.520132847,7.035733052,9.084851473,6.499628068,-4.397971316,1.320100028,2.63804235,1.075950412,1.633063065,2.251896737,..
Internet users (per 100 people),IT.NET.USER.P2,Bulgaria,BGR,0,..,..,0.002339042,0.019526669,0.119665549,0.725251167,1.219813132,1.844965121,2.908154025,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bulgaria,BGR,47.88490443,48.09264332,48.39293677,48.13789756,47.9549554,47.67193779,47.45899013,47.14188411,46.7061828,46.33640932,45.93007802,46.84234783,46.89439789,46.18262021,46.26337041,45.96548165,46.27880942,46.13840036,45.71782014,45.73047311,46.11453536,46.45077889,46.62259271,46.572502,..,..
"Labor force, total",SL.TLF.TOTL.IN,Bulgaria,BGR,4077759,4012464,3951618,3885957,3830870,3775479,3710631,3645461,3576261,3505004,3431024,3508477,3427725,3366013,3416033,3354911,3478376,3510540,3576251,3498842,3408537,3336394,3344681,3335363,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,78.80583024,78.0291693,77.19573353,76.58241887,76.32279671,75.98361204,75.59275061,75.13394197,74.63424026,74.2169755,73.85132423,72.49644762,72.32047794,71.92752597,71.54432696,71.2435567,70.87379177,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.56495026,..
