Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Burkina Faso,BFA,12.81067251,12.71929825,12.62792398,12.53654971,12.28435673,12.35380117,12.71929825,13.81578947,14.25438596,14.25438596,13.52339181,16.44736842,17.17836257,18.64035088,16.8128655,17.90935673,17.17836257,17.90935673,21.92982456,20.83333333,21.92982456,20.83333333,21.92982456,22.66081871,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Burkina Faso,BFA,0.257995007,0.251890565,0.220770317,0.214724109,0.208609499,0.231720983,0.225489065,0.21273097,0.211668226,0.206353484,0.219543404,0.268194697,0.264128296,0.266637514,0.1766441,0.187838548,..,0.176607026,0.171155088,0.168543312,0.163204359,0.158443035,0.153499638,0.148789297,..,..
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3101301781,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,3014665729,2632700363,2812845514,3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724061339,11166061508,12126322793,12542969275,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754,6.669357748,4.049760898,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,351.9793628,346.4104428,240.9634032,244.1271502,193.0702756,235.832244,249.3587559,229.4880613,255.709631,267.1861609,226.8016078,235.5079325,260.808434,332.4237687,371.3951961,406.9988374,422.479938,474.7109451,569.0142638,551.8432409,574.4580893,665.8074467,673.0267834,709.7828128,713.1063779,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Burkina Faso,BFA,-3.211180896,6.188914408,-2.430489913,0.695652033,-1.410849815,2.85298607,7.986660105,3.396480782,4.340499002,4.415913943,-1.029896561,3.615983912,1.404830716,4.729716626,1.45958637,5.472989077,3.086760798,2.471378196,4.048391575,-0.139536999,5.21202709,3.381805075,3.347398998,3.586629609,1.064514638,..
Internet users (per 100 people),IT.NET.USER.P2,Burkina Faso,BFA,0,..,..,..,..,..,0.000960519,0.018686353,0.045423484,0.061780293,0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Burkina Faso,BFA,48.47635889,48.56780063,48.59399971,48.55105364,48.56790738,48.51962913,48.41024736,48.3633011,48.31361343,48.25972892,48.26414996,48.19556908,48.18628235,48.05488822,47.98053572,47.90504085,47.83323086,47.8162502,47.73425655,47.65487806,47.56963766,47.55256019,47.4174725,47.40119026,..,..
"Labor force, total",SL.TLF.TOTL.IN,Burkina Faso,BFA,3876044,3969978,4076635,4191425,4314281,4445001,4567849,4700773,4842484,4991435,5147046,5294661,5451896,5625615,5802628,5989186,6177354,6370075,6572986,6793506,7015744,7226572,7459301,7695446,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,32.20406798,33.07781433,33.98068713,34.9140095,35.8793348,36.87820175,37.9123136,38.98311769,40.09171418,41.23909357,42.42669591,43.65402047,44.92318713,46.24121345,47.61710161,49.05675804,50.56357822,52.13451023,53.76100512,55.43076023,57.13474415,58.87006944,60.6389364,62.44354532,64.28800439,..
