Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Burundi,BDI,36.21495327,36.21495327,36.21495327,36.21495327,36.21495327,36.60436137,36.60436137,36.99376947,36.99376947,37.38317757,37.38317757,37.96728972,38.39563863,38.55140187,38.35669782,37.22741433,35.04672897,33.09968847,35.04672897,36.99376947,36.99376947,38.94080997,42.83489097,46.72897196,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Burundi,BDI,0.452209041,0.448542797,0.48148059,0.477179269,0.618813458,0.52677211,0.790085433,0.787122673,1.547422634,1.593259427,1.558262938,1.685573179,1.619885846,1.703309104,2.35904351,2.289998738,..,1.313972761,1.263597924,1.216578063,1.171851776,1.133419833,1.0967499,1.063678172,..,..
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394484.4,784654423.6,915257323.4,1117257314,1273180655,1356078300,1611634286,1739781536,2026864414,2355652064,2472384864,2714505576,3093647293,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,3.49982214,4.996836451,1.009998366,-6.239999999,-3.829999997,-7.920000001,-8.000000001,-1.589999997,4.749999992,-1.009999996,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218,4.660918184,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,201.6876563,202.6934403,183.7173204,155.9216027,150.8028052,160.3499893,137.2141027,151.5321043,137.2515028,121.9977308,128.6355365,126.2170813,115.2798795,106.0169747,119.460135,140.8151399,154.9245328,159.2654739,182.6877961,190.3942088,214.230985,240.6144771,244.196482,259.3652026,286.002342,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Burundi,BDI,0.574204775,2.329944089,-1.315184704,-8.183293618,-5.619496317,-9.469501625,-9.371048638,-2.923235095,3.277771487,-2.680634753,-2.957292831,-0.583426886,1.336457398,-4.444066527,1.270638484,-2.566675268,1.744608981,1.136815234,1.389841992,-0.109584743,0.239048651,0.689883229,0.583540268,1.182321917,1.265698051,..
Internet users (per 100 people),IT.NET.USER.P2,Burundi,BDI,0,0,0,0,0,0,0.000803592,0.007979439,0.015842776,0.039204469,0.077248447,0.106001245,0.118228412,0.201273197,0.349060462,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.3,1.38,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Burundi,BDI,51.89479357,51.95557184,52.0470888,52.20348539,52.33680342,52.36742571,52.21929611,52.10179643,51.84751591,51.7186717,51.55223537,51.49878854,51.4112382,51.35002455,51.37338562,51.41421385,51.41288255,51.36687949,51.45061042,51.40648816,51.48007978,51.45466276,51.47417165,51.48302365,..,..
"Labor force, total",SL.TLF.TOTL.IN,Burundi,BDI,2653640,2675330,2700005,2724343,2747193,2771597,2784509,2794990,2811126,2855781,2919918,3025677,3148370,3287718,3433595,3580788,3727663,3881359,4036094,4196196,4356353,4504068,4650103,4799384,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,218.580257,224.2768302,229.561176,234.4198209,238.8645249,242.9528816,246.62831,250.0154595,253.5794393,257.9325156,263.5153037,270.5109034,278.8130062,288.2093069,298.3494159,308.9646807,320.0183022,331.5645639,343.5278427,355.8327882,368.4235592,381.2364097,394.2590343,407.5529206,421.2172897,..
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2.867408323,2.572788195,2.328841812,2.094405804,1.878293572,1.697097185,1.501486357,1.364036864,1.415438982,1.70208394,2.141346182,2.620096089,3.022892266,3.314564753,3.457836008,3.496163222,3.51512201,3.544436497,3.544561077,3.519276012,3.477232803,3.418642812,3.358846017,3.316265,3.297803748,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Burundi,BDI,50.91824702,50.92147156,50.95952914,51.01015781,51.04453981,51.04420078,51.004316,50.9341089,50.847062,50.76282813,50.69571438,50.64803245,50.61550984,50.59726004,50.5907568,50.59336068,50.60561665,50.6259265,50.6476063,50.66292864,50.66741062,50.65994386,50.64328645,50.62166783,50.60055321,..
