Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Cabo Verde,CPV,10.17369727,10.17369727,10.17369727,10.17369727,10.17369727,10.42183623,10.42183623,10.91811414,10.91811414,10.91811414,10.91811414,11.41439206,11.66253102,11.66253102,11.91066998,11.91066998,11.91066998,11.91066998,12.40694789,12.40694789,12.40694789,12.40694789,13.64764268,13.64764268,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cabo Verde,CPV,0.879260015,0.855410041,0.830516498,0.802806612,0.774713356,0.860366292,0.832000926,0.805739669,0.778916426,0.786462361,0.759056493,0.790364845,0.759407896,0.730111482,0.540303975,0.522236845,..,0.49007356,0.476839887,0.55694534,0.541045028,0.529170525,0.515878304,0.503433838,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,306891107.3,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979075.4,490608657.9,521910560.5,592416703.1,539227052.9,563024256.7,620974807.1,813963933.8,924318505.9,971976952.2,1107890815,1513934037,1789332788,1711816593,1664310632,1864823991,1751887838,1837909383,1871187334,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,0.692171874,1.404146852,10.93764724,8.708311376,19.18264182,14.21163626,11.34652473,11.11842604,12.51728567,11.22264853,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.17068797,6.650520523,-1.270403675,1.466912709,3.968783812,1.081918311,1.045244023,2.738246888,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,899.2987882,915.5546927,996.3399903,1331.125879,1073.443426,1251.809027,1256.493175,1197.175871,1242.987493,1379.073093,1229.043944,1258.556939,1363.59302,1759.256354,1970.891406,2049.615693,2316.478971,3145.653941,3698.313412,3517.385582,3393.927212,3766.111473,3497.689697,3623.224045,3641.108167,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cabo Verde,CPV,-1.309243491,-0.938454228,8.106899434,5.772425999,15.92902804,11.16144164,8.461327876,8.326399504,9.816392749,8.713267399,11.89855611,0.26178063,3.392921666,2.537314056,8.714416387,5.731340273,7.071364352,14.44967167,6.089299448,-1.84837003,0.700084647,2.965124812,-0.070633919,-0.227238656,1.409202539,..
Internet users (per 100 people),IT.NET.USER.P2,Cabo Verde,CPV,0,..,..,..,..,..,..,0.24096792,0.472735008,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,14,21,30,32,34.74,37.5,40.26,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cabo Verde,CPV,37.30436465,37.38056337,37.43636167,37.44290038,37.4651379,37.64888078,37.809016,38.04562588,38.22041303,38.43441559,38.55374436,38.57102036,38.56273293,38.54202353,38.46802211,38.4737106,38.4642181,38.56388844,38.69603365,38.85621992,38.97327688,38.99148917,39.03479169,39.13694659,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cabo Verde,CPV,113732,116903,120407,124563,129080,133664,138221,142726,147641,152582,158091,164481,171186,178055,185081,191484,198075,204051,209714,215461,221793,226770,232613,238363,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,84.67890819,86.68138958,88.95111663,91.42009926,93.98585608,96.56476427,99.13349876,101.6885856,104.1895782,106.5945409,108.8677419,111.0066998,113.0014888,114.8076923,116.3734491,117.6734491,118.6761787,119.4238213,120.0555831,120.762531,121.682134,122.8682382,124.2853598,125.8704715,127.5200993,..
