Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Cambodia,KHM,20.93247224,20.96079764,20.96079764,21.05143893,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,21.52730569,21.52730569,22.09381373,22.09381373,22.66032178,22.66032178,23.22682982,23.48175844,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cambodia,KHM,2.785448123,2.708205379,3.183571826,2.346607232,1.571083446,6.711612351,6.520519717,7.32715982,6.947016518,6.664949993,6.437395258,3.537278818,3.151238264,3.042087277,2.943559094,2.82344023,2.7243619,2.630817395,2.545013087,2.483803021,2.421290344,2.368731066,2.315741486,2.264886598,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,..,..,2533727592,2791435219,3441205624,3506695723,3443413332,3120425503,3517242477,3654031716,3979813388,4284028138,4658246907,5337833256,6293046162,7274513161,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16709432403,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,..,..,..,..,9.099464508,6.442902796,5.412339379,5.619792925,5.00903275,11.90975793,8.766785439,8.038631629,6.687880848,8.505898789,10.34052873,13.25008556,10.77108716,10.21257181,6.691577475,0.086696959,5.963078575,7.069569946,7.313345505,7.356665149,7.031709556,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,..,..,..,253.1931946,269.5670708,321.7746334,318.1495357,303.6858996,268.0430434,294.865212,299.5622376,319.6924597,337.8042535,361.0703476,407.0849062,472.4488559,537.8424797,629.2828776,742.9429233,735.4075239,782.6927899,879.1512441,947.5594381,1009.909922,1090.115093,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cambodia,KHM,..,..,..,..,5.431357252,3.066755271,2.278295454,2.670948158,2.277925047,9.219067157,6.362813889,5.860515892,4.726889169,6.662036019,8.563975338,11.48397007,9.08968824,8.580179495,5.12217606,-1.404073874,4.345634365,5.385633024,5.58301991,5.602989346,5.289024221,..
Internet users (per 100 people),IT.NET.USER.P2,Cambodia,KHM,0,..,..,..,..,..,..,0.005844911,0.016324986,0.031969578,0.04702264,0.076956056,0.226983238,0.260570198,0.300436644,0.317321781,0.46835672,0.49,0.51,0.53,1.26,3.1,4.94,6.8,9,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cambodia,KHM,51.05830863,50.98341708,50.83871789,50.72331867,50.70748132,50.64880732,50.8406215,50.55305321,50.24877673,50.71980532,51.26961528,50.83707055,50.41743239,49.94129722,49.53856645,49.8053674,50.08526825,50.30000271,50.49840284,50.41524175,50.20592992,50.09162891,50.03522033,49.91969894,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cambodia,KHM,4020897,4135580,4240520,4346701,4455524,4596511,4718949,4920051,5167686,5386387,5592324,5851956,6092843,6311456,6522716,6764797,7010816,7260101,7504873,7701899,7900746,8076054,8260853,8446339,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,51.03589395,52.81898368,54.7203603,56.69098119,58.66334126,60.58497054,62.4414344,64.23483458,65.95008498,67.57481305,69.10211308,70.5239123,71.84445955,73.08643213,74.28242692,75.45920009,76.62225244,77.77418989,78.93530478,80.12880693,81.37087016,82.67107976,84.02591774,85.42127804,86.8351235,..
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,3.218182836,3.434147747,3.536519213,3.537927851,3.419988556,3.223182968,3.018221636,2.831659043,2.635250941,2.433715798,2.234998463,2.036652367,1.855166429,1.713924436,1.623166596,1.571770549,1.52954223,1.492209037,1.481896344,1.500683641,1.538192192,1.585249184,1.62554555,1.646993135,1.641596126,..
