Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Cameroon,CMR,12.56584375,12.58699837,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.60815299,12.61449938,12.61449938,12.61449938,12.61449938,12.61449938,13.11586385,13.11586385,13.11586385,13.11586385,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cameroon,CMR,0.527846544,0.532651894,0.25775449,0.249291493,0.240920461,0.458209186,0.416315577,0.404139633,0.392037001,0.380140563,0.368002867,0.503137979,0.504429076,0.489852649,0.340245193,0.329740878,..,0.31034144,0.301029311,0.292819496,0.284851033,0.275497568,0.268693978,0.260493305,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,11151578703,12434368416,11396311478,13532134752,9220471471,8733230556,9732328761,9840553566,9629649715,10486451907,9287367569,9633109257,10879778328,13621738512,15775356737,16587857509,17953066721,20431780378,23322254114,23381142147,23622483984,26587311528,26472056038,29567504655,32548591286,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,-6.105697646,-3.808599372,-3.100003211,-7.932066575,2.063402475,4.128370945,4.911939543,5.314158464,4.895359526,4.062278838,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701,5.561688129,5.886294664,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,923.8812783,1000.326413,890.5637193,1027.567165,680.6371849,626.9559952,679.7652389,668.9721044,637.3608802,675.923914,583.0948592,589.2039138,648.399602,791.1064565,892.8987619,915.0912134,965.3686883,1070.954675,1191.709554,1164.717254,1147.242347,1258.924651,1222.192142,1331.200021,1429.261462,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cameroon,CMR,-8.854641911,-6.594071677,-5.874684481,-10.53532023,-0.782408279,1.267167912,2.071609595,2.502169906,2.127502474,1.341577534,1.469361945,1.818842267,1.343211516,1.377701944,1.066485345,-0.295828207,0.614638484,0.652415463,0.295871169,-0.627824484,0.68002481,1.53499427,1.979159013,2.939760897,3.273904275,..
Internet users (per 100 people),IT.NET.USER.P2,Cameroon,CMR,0,..,..,..,..,..,..,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,5.69898724,6.4,11,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cameroon,CMR,41.77662131,42.3428516,42.88978869,43.43002658,43.88864094,44.4049746,44.91091883,44.96210688,45.01102759,45.05883492,45.11418746,45.16045167,45.20650949,45.25226725,45.30524506,45.35792225,45.41363637,45.40341149,45.53115444,45.52154131,45.58533695,45.64799115,45.63988429,45.63873014,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cameroon,CMR,4357327,4505757,4655593,4813642,4980897,5150486,5308473,5468407,5637223,5813639,6005388,6181207,6363630,6552991,6759831,6975174,7181779,7411192,7640452,7888819,8144608,8384829,8634358,8906179,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,25.53438472,26.29584946,27.07101394,27.85872945,28.65778807,29.46748535,30.28747223,31.11836221,31.96173129,32.81980284,33.69447018,34.58645681,35.49625352,36.42527342,37.37508409,38.34697595,39.34147575,40.35899389,41.40047386,42.46688667,43.55876965,44.67657761,45.81982188,46.98687567,48.17544372,..
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.97141328,2.938514749,2.905244752,2.868280345,2.82788786,2.786222275,2.744670544,2.706390028,2.674122039,2.649278822,2.630165606,2.612844949,2.596497233,2.583570235,2.574142307,2.567138906,2.560365422,2.553494182,2.547806005,2.543230844,2.538641748,2.533832071,2.526741623,2.515153215,2.498110306,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Cameroon,CMR,50.3307151,50.31717227,50.30389383,50.29068805,50.27734547,50.26369433,50.24979411,50.23563285,50.22094657,50.20542084,50.18893799,50.17152349,50.15347359,50.1352811,50.11754301,50.10069786,50.08480619,50.06986021,50.05613064,50.04389146,50.03327236,50.02435951,50.01697639,50.01066581,50.00485663,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,12070359,12430311,12796739,13169100,13546823,13929575,14317191,14709961,15108630,15514249,15927713,16349364,16779434,17218591,17667576,18126999,18597109,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014,..
Rural population,SP.RUR.TOTL,Cameroon,CMR,7283617,7428975,7573494,7717224,7859189,7999337,8137319,8273618,8408255,8541525,8673914,8805931,8937062,9067654,9197740,9327972,9457932,9588462,9719257,9850969,9983179,10116243,10249920,10383720,10516806,..
Surface area (sq. km),AG.SRF.TOTL.K2,Cameroon,CMR,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Cameroon,CMR,..,6.199999809,6.199999809,6.199999809,6.199999809,3.799999952,9,8.600000381,8.199999809,7.800000191,6.599999905,8.300000191,6,6.099999905,4.900000095,4.900000095,4.199999809,4.5,5,5.199999809,4.199999809,4.199999809,4.199999809,4.400000095,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Cameroon,CMR,..,5.5,5.5,5.5,5.5,3.400000095,8.100000381,7.699999809,7.300000191,7,5.900000095,7.5,5.400000095,5.5,4.400000095,4.400000095,3.799999952,4,4.5,4.699999809,3.799999952,3.799999952,3.799999952,4,..,..
