Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Canada,CAN,5.004008353,5.011266277,5.010386528,5.009396812,5.008517063,5.007637315,5.006757567,5.014455364,5.022153162,5.02985096,5.037658726,5.045356523,5.028421369,5.011596182,4.994661027,4.977835841,4.960900686,4.913724184,4.866547681,4.819481146,4.772304644,4.725128141,5.049205422,5.049205422,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Canada,CAN,0.591003861,0.580378118,0.554868887,0.510818394,0.500309425,0.503001597,0.525398369,0.470861235,0.44547197,0.437433556,0.421765826,0.400657272,0.363717889,0.355142463,0.403815614,0.400756764,0.357185692,0.349965384,0.344136495,0.35106145,0.347307647,0.344596607,0.342090913,0.336611737,..,..
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,5.92E+11,6.08E+11,5.90E+11,5.75E+11,5.76E+11,6.02E+11,6.27E+11,6.51E+11,6.31E+11,6.74E+11,7.39E+11,7.33E+11,7.53E+11,8.88E+11,1.02E+12,1.16E+12,1.31E+12,1.46E+12,1.54E+12,1.37E+12,1.61E+12,1.79E+12,1.83E+12,1.84E+12,1.79E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,0.128983847,-2.120244834,0.854369659,2.607371167,4.554009301,2.738496065,1.679609298,4.25334289,4.138185477,4.997255522,5.123124976,1.6883736,2.801865677,1.925321407,3.138786775,3.163130123,2.621779104,2.008315698,1.17542339,-2.711467282,3.374248555,2.96010266,1.922864994,2.003508162,2.531770225,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21302.39691,21591.13916,20692.72203,19936.37706,19785.67904,20509.00309,21129.43543,21709.29634,20875.24831,22109.60399,24031.9512,23573.75007,23995.01633,28026.00601,31830.01187,36028.23249,40243.55228,44328.47538,46400.44185,40764.14135,47463.63119,52086.53352,52733.47369,52305.25839,50271.07487,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Canada,CAN,-1.355422664,-3.442887229,-0.375968484,1.490627536,3.553804321,1.891171221,0.590230195,3.157172557,3.240641351,4.132124296,4.198975397,0.666971748,1.883722619,0.914949172,2.110461319,2.151038261,1.807292408,1.023766425,0.086409175,-3.818914153,2.229091202,1.948255267,0.715978192,0.831420872,1.429393593,..
Internet users (per 100 people),IT.NET.USER.P2,Canada,CAN,0.360999701,0.570385926,0.91598104,1.184557509,2.378693853,4.163525253,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Canada,CAN,44.08151071,44.43235848,44.66762203,44.73836218,44.73428667,44.93973748,45.07675063,45.16335161,45.40945752,45.50277031,45.73589824,45.88390722,46.09220851,46.35732221,46.41936695,46.45392353,46.66884438,46.83733822,46.83697157,47.02642854,47.08563422,47.14629689,47.13905482,47.20847938,..,..
"Labor force, total",SL.TLF.TOTL.IN,Canada,CAN,14720716,14817926,14778266,14878086,14990723,15049654,15188475,15439793,15702447,15991000,16241240,16497891,16936203,17345152,17582282,17716482,17917851,18287523,18597272,18720939,18916946,19065771,19293117,19518036,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,3.05613564,3.097998683,3.136258386,3.170767943,3.201393741,3.228016464,3.262975463,3.297648543,3.326317341,3.353952434,3.383698924,3.418031101,3.448833289,3.48336341,3.518443373,3.5533034,3.581730817,3.61663736,3.655989052,3.698084788,3.739510266,3.776625307,3.82188088,3.866307289,3.908327917,..
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.493593109,1.360506174,1.2274176,1.094331921,0.961244717,0.828159179,1.077164681,1.057015395,0.865613663,0.827369318,0.882998577,1.009521666,0.897131277,0.996232739,1.002034424,0.985903767,0.796844597,0.969853611,1.082197086,1.144840183,1.113959721,0.987617711,1.19118433,1.155718438,1.080977717,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Canada,CAN,50.4177108,50.43592331,50.45617273,50.47592788,50.49174671,50.50136047,50.50413721,50.50121703,50.49429845,50.48580523,50.47749972,50.46994412,50.4627696,50.45569628,50.44816214,50.43987176,50.43063728,50.4209276,50.41179734,50.40459384,50.400102,50.39879675,50.40001404,50.40201118,50.40246806,..
"Population, total",SP.POP.TOTL,Canada,CAN,27791000,28171682,28519597,28833410,29111906,29354000,29671900,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34754312,35158304,35540419,..
Rural population,SP.RUR.TOTL,Canada,CAN,6508096,6586539,6591734,6587858,6575215,6553280,6542357,6495228,6435543,6373418,6314558,6275436,6307525,6345653,6384602,6422979,6444726,6447349,6456994,6470810,6482425,6485634,6501489,6514131,6521667,..
Surface area (sq. km),AG.SRF.TOTL.K2,Canada,CAN,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Canada,CAN,..,9.699999809,10.19999981,10.69999981,9.800000191,9.100000381,9.199999809,8.899999619,8,7.300000191,6.699999809,6.800000191,7.099999905,7.199999809,6.900000095,6.400000095,6.099999905,5.599999905,5.599999905,7,7.199999809,7,6.800000191,6.599999905,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Canada,CAN,..,10.30000019,11.19999981,11.39999962,10.39999962,9.5,9.600000381,9.100000381,8.300000191,7.599999905,6.800000191,7.199999809,7.699999809,7.599999905,7.199999809,6.699999809,6.300000191,6,6.099999905,8.300000191,8,7.400000095,7.199999809,7.099999905,..,..
