Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Central African Republic,CAF,3.081960898,3.081960898,3.098012777,3.098012777,3.098012777,3.098012777,3.098012777,3.098012777,3.098012777,3.098012777,3.098012777,3.098012777,3.098012777,3.065909018,3.098012777,3.098012777,3.098012777,3.098012777,3.098012777,3.130116537,2.889338342,2.889338342,2.889338342,2.889338342,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Central African Republic,CAF,0.307567625,0.299783107,0.291047524,0.282829826,0.274746598,0.334202929,0.325708285,0.318408467,0.308295964,0.304232482,0.32103454,0.245535205,0.203927471,0.202541559,0.110418176,0.162194163,..,0.15531182,0.151625425,0.155300939,0.151404529,0.14785109,0.373484866,0.364540864,..,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1440711459,1377374988,1411917554,1278781259,851174357.3,1115389674,1007791127,937741512.4,967338390.4,999477458.7,914500332,931833293.8,991387865,1139754772,1270080228,1350300947,1473721548,1698125618,1985370058,1981728141,1986014846,2195599557,2169706564,1544626422,1782927903,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,-2.147642437,-0.552426922,-6.424094388,0.335145801,4.899999089,7.200002317,-4.000001351,5.300002639,4.699993861,3.600002936,-2.489450099,4.464782641,3.616488017,-5.397469235,5.994991722,0.908086102,3.639311193,4.607561983,2.054126562,1.709220967,3.046656852,3.300739707,4.112756215,-36.04707885,1.010329129,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,490.3995393,457.4552841,457.0583066,403.2931441,261.6021393,334.3654593,294.920414,268.0862322,270.4307571,273.5813437,245.4343938,245.5632703,256.8506075,290.5096513,318.483789,332.9466131,357.0830033,404.1131819,463.8276186,454.3693169,446.8002046,484.5832181,469.6842871,327.8989609,371.1096237,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Central African Republic,CAF,-4.373494527,-2.967414766,-8.792647211,-2.250308866,2.22889534,4.560300596,-6.284647383,2.869219882,2.384201501,1.436809715,-4.393001095,2.575474653,1.868680708,-6.928888172,4.277923761,-0.776664576,1.843715312,2.740704264,0.187261122,-0.181713511,1.111338468,1.341608698,2.115986464,-37.28492602,-0.958401737,..
Internet users (per 100 people),IT.NET.USER.P2,Central African Republic,CAF,0,..,..,..,..,..,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2,3,3.5,4.03,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Central African Republic,CAF,45.74414833,45.82229757,46.09865347,46.28997976,46.28113308,46.26391203,46.4633943,46.44974559,46.43273543,46.41851437,46.4007272,46.45455933,46.56904955,46.75683142,46.79897709,46.78025665,46.82745144,46.81284615,46.9268559,46.97414609,47.0857512,47.07287698,47.05904727,47.10959351,..,..
"Labor force, total",SL.TLF.TOTL.IN,Central African Republic,CAF,1300527,1334298,1374346,1414278,1455887,1496097,1535116,1570310,1605600,1643480,1682062,1710549,1740815,1777413,1811296,1849635,1887741,1931598,1978560,2028320,2080519,2130522,2182150,2235689,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,4.715772577,4.833140711,4.958651963,5.089807056,5.22279688,5.35465023,5.485188931,5.614803043,5.741802305,5.864249254,5.981007416,6.091169861,6.195678834,6.297624322,6.401322675,6.510013163,6.624790523,6.745166779,6.870854602,7.001014479,7.135017176,7.272950978,7.415165816,7.561523644,7.711830235,..
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,2.300975167,2.458374922,2.563741515,2.610600127,2.579313564,2.493232608,2.408615294,2.335497262,2.236664076,2.110131794,1.971454857,1.825114069,1.701192813,1.63203837,1.633216646,1.683684115,1.747727408,1.800746348,1.846227905,1.876656937,1.895959405,1.914746267,1.936521675,1.954537258,1.968283386,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Central African Republic,CAF,50.89763472,50.89994852,50.90065491,50.89985392,50.8978092,50.89470718,50.89063647,50.88552879,50.87924948,50.8716479,50.86262979,50.85220692,50.84059108,50.82820711,50.81561806,50.80328276,50.79144932,50.7801568,50.76935477,50.75884583,50.74858722,50.73853932,50.72895335,50.72034217,50.7134002,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2937832,3010950,3089141,3170848,3253698,3335840,3417163,3497910,3577028,3653310,3726048,3794677,3859784,3923294,3987896,4055608,4127112,4202104,4280405,4361492,4444973,4530903,4619500,4710678,4804316,..
Rural population,SP.RUR.TOTL,Central African Republic,CAF,1855975,1899729,1946560,1995478,2044982,2093873,2142151,2189902,2236537,2281236,2323601,2363325,2400708,2436993,2473851,2511800,2551257,2591942,2633733,2676211,2719079,2762310,2805977,2849960,2894168,..
