Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Chad,TCD,2.599269377,2.638182973,2.654066074,2.676302414,2.692185515,2.716010165,2.700127065,2.858958069,2.858958069,2.858958069,2.858958069,3.097204574,2.938373571,3.017789072,3.017789072,3.573697586,3.533989835,3.414866582,3.414866582,3.414866582,3.573697586,3.891359593,3.891359593,3.891359593,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Chad,TCD,2.209037703,2.159147292,1.60005996,1.218473521,1.578213707,1.3321565,1.295487503,1.257402347,1.216630377,1.176973998,1.127322251,1.100189081,1.060950545,1.019092761,0.960186977,0.951940599,..,0.890586148,0.860207866,0.83084156,0.796863217,0.76948078,0.742075443,0.715034896,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1738605481,1877138042,1881847677,1463251055,1179837955,1445919970,1607345450,1544689503,1744794457,1534673583,1385058162,1709347793,1987622279,2736666516,4414929220,6646663021,7422102520,8638711757,10351933632,9253484290,10657705072,12156380062,12368070169,12949853281,13922224561,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,-4.178472373,8.535137166,8.001443346,-15.70983705,10.13688763,1.236549317,2.214473035,5.653392328,6.951579914,-0.682850217,-0.879681025,11.65813465,8.491209819,14.72166701,33.62937185,17.33253374,0.648262014,3.271499579,3.052691532,4.217695552,13.55010086,0.082869798,8.882576072,5.700001363,7.300000713,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,291.8091744,305.1655083,296.3458445,223.1712788,174.1945723,206.5117899,221.9471769,206.119566,224.8400976,190.8154106,166.0080155,197.3022751,220.7953519,292.5815828,454.6552834,660.1815568,712.0468098,801.4016004,929.2796449,803.9143523,895.8779959,988.4431598,972.6793451,985.0952473,1024.668452,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Chad,TCD,-7.214080083,5.126376702,4.617587224,-18.36395152,6.616789184,-2.06776345,-1.178327686,2.098901636,3.28533739,-4.172052999,-4.450964073,7.530330026,4.411651512,10.4115445,28.71682458,13.16696757,-2.786148504,-0.138034611,-0.279817969,0.860475369,9.867237781,-3.189601261,5.312205917,2.239946957,3.815232175,..
Internet users (per 100 people),IT.NET.USER.P2,Chad,TCD,0,..,..,..,..,..,..,0.000658168,0.004268504,0.012321728,0.035707076,0.045934134,0.166069665,0.320308555,0.360920107,0.3992577,0.581045764,0.847224521,1.19,1.5,1.7,1.9,2.1,2.3,2.5,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Chad,TCD,45.27378592,45.07984311,44.89401919,45.47136039,45.50601674,45.47710889,45.44272774,45.47903421,45.38059235,45.413871,45.38231212,45.34522294,45.31380576,45.21125969,45.24276774,45.21258193,45.11647437,45.15429532,45.12997004,45.10710693,45.08604065,44.99969971,44.98576322,44.97235062,..,..
"Labor force, total",SL.TLF.TOTL.IN,Chad,TCD,2263429,2315729,2374911,2462097,2534511,2616059,2690107,2771587,2864469,2960983,3069220,3172182,3289503,3414802,3540977,3676700,3803369,3929996,4068784,4216207,4373398,4529028,4696288,4873888,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,4.731593075,4.885016677,5.043022554,5.206979034,5.378894536,5.560382783,5.751284943,5.951511277,6.16276763,6.387160896,6.625890248,6.880240629,7.149064485,7.428141677,7.711640724,7.995498729,8.277966963,8.560597205,8.846680432,9.141149142,9.447569886,9.766925032,10.09805035,10.43979352,10.79022633,..
