Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Channel Islands,CHI,19.07216495,19.07216495,19.07216495,18.55670103,18.55670103,18.55670103,18.55670103,18.04123711,19.07216495,20.10309278,20.10309278,19.07216495,18.55670103,18.55670103,19.07216495,19.58762887,18.55670103,17.5257732,19.07216495,21.13402062,22.63157895,23.15789474,22.63157895,21.94736842,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,3.770263675,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,40538.06446,42406.93285,43299.40114,41609.01948,44158.04026,48227.66551,55844.11669,57209.24916,62260.22555,73568.23483,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,3.058468892,5.084485227,-2.217769137,-2.354459108,-3.92097487,-0.519124979,0.636609294,4.128488417,5.153395847,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,725.0979381,729.7319588,733.2886598,736.1958763,739.1134021,742.5257732,746.556701,751.0773196,756.0257732,761.2474227,766.6237113,772.1494845,777.8608247,783.6804124,789.5360825,795.3505155,801.1082474,806.7835052,812.3041237,817.5927835,839.9105263,844.6789474,849.1368421,853.3578947,857.4578947,..
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.814431494,0.637055411,0.486214342,0.395678922,0.395514299,0.460621887,0.541398848,0.603703204,0.656686515,0.688296625,0.703764962,0.718208111,0.736945557,0.745368029,0.744423563,0.733738185,0.721316085,0.70592828,0.681944554,0.648958634,0.609689,0.566124134,0.526374244,0.495867763,0.47930442,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Channel Islands,CHI,51.37734682,51.38590642,51.396758,51.40594586,51.40737021,51.39812565,51.37607711,51.34205849,51.29850207,51.24795168,51.19246932,51.13386783,51.07186641,51.00635384,50.93556179,50.86002411,50.77888235,50.69385877,50.61267744,50.5431459,50.49096708,50.45890996,50.44379432,50.44098237,50.44163593,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140669,141568,142258,142822,143388,144050,144832,145709,146669,147682,148725,149797,150905,152034,153170,154298,155415,156516,157587,158613,159583,160489,161336,162138,162917,..
Rural population,SP.RUR.TOTL,Channel Islands,CHI,96510,97311,98050,98703,99359,100083,100803,101390,102035,102714,103416,104116,104793,105483,106176,106862,107539,108204,108847,109456,110026,110551,111017,111436,111821,..
Surface area (sq. km),AG.SRF.TOTL.K2,Channel Islands,CHI,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,190,190,190,190,190,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
