Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Chile,CHL,3.76849954,3.611142493,3.281634146,3.098723391,3.061065294,2.851255898,2.669690074,2.665655278,2.661620482,2.420877649,2.353631047,2.353631047,2.219137845,2.017398041,2.017398041,1.950151439,1.815658237,1.702683946,1.753791363,1.767240684,1.709408606,1.731465492,1.798147222,1.760516024,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Chile,CHL,1.890002266,1.761495471,1.728872891,1.654722389,1.804289114,2.299448309,2.11830441,2.14857931,2.082538386,2.024896809,1.911616062,1.994514595,1.893303854,1.790655852,1.767279461,1.716533443,1.481821858,1.441120571,1.385105996,1.374876452,1.294330905,1.247221401,1.256055644,1.233270356,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,1.01E+11,1.24E+11,1.55E+11,1.73E+11,1.80E+11,1.72E+11,2.18E+11,2.51E+11,2.65E+11,2.77E+11,2.58E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,3.697579901,7.969988372,12.27793063,6.986286682,5.708119098,10.62757722,7.413491523,6.605579633,3.230878709,-0.760854812,4.495792997,3.348180391,2.166908634,3.956748481,6.041086739,5.559452531,4.40497269,5.1608256,3.292454897,-1.036431779,5.753708903,5.839640585,5.457130618,4.226190624,1.894049024,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2401.525181,2727.573825,3277.669086,3461.435092,3942.967594,5026.720634,5263.191366,5674.153008,5367.211824,4872.692148,5229.177098,4709.9234,4566.523326,4948.74818,6323.75764,7728.611897,9500.835162,10513.54071,10791.02019,10217.31403,12785.05187,14582.17052,15253.33083,15741.71166,14528.32581,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Chile,CHL,2.019071655,6.249040713,10.5161022,5.342251042,4.126253056,9.022119617,5.906048678,5.158880045,1.872912458,-2.031942647,3.187714002,2.082902827,0.943525853,2.735949978,4.815949176,4.356395514,3.230352231,3.992026401,2.155408498,-2.118489144,4.603311929,4.693601145,4.322215285,3.114916341,0.822404979,..
Internet users (per 100 people),IT.NET.USER.P2,Chile,CHL,0,..,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45,52.24960729,61.41815456,66.5,72.35,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Chile,CHL,30.47489391,30.33858879,31.52983076,32.28282443,32.33600958,31.901573,31.90961901,32.56782277,32.78530104,32.93578135,33.20112826,32.87294648,32.92497368,33.94053987,34.87282672,35.41474851,35.67441525,36.19883602,37.23912604,37.74163118,39.66773547,40.40398673,40.64638683,40.6706759,..,..
"Labor force, total",SL.TLF.TOTL.IN,Chile,CHL,5026449,5109295,5321386,5559845,5653196,5653530,5707395,5841069,5954272,6049691,6094320,6126804,6195519,6371967,6563761,6757806,6950903,7147216,7436254,7547660,8017347,8318491,8447078,8603142,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,17.67402344,17.96029492,18.24661481,18.53138264,18.81290785,19.08994636,19.36166836,19.62803215,19.88967388,20.14773271,20.40313934,20.65602825,20.90636852,21.1547963,21.40206339,21.64879386,21.89512758,22.14121383,22.38765783,22.63514818,22.884083,23.134586,23.38626582,23.63830071,23.88955284,..
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.631900464,1.606752388,1.581608926,1.548608128,1.507756802,1.461860606,1.413342572,1.366350233,1.324194044,1.289106505,1.25970166,1.231842371,1.204662458,1.18128285,1.162068266,1.146240458,1.131438488,1.117662374,1.106906629,1.099411039,1.093767575,1.088712405,1.082019205,1.071938836,1.057293581,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Chile,CHL,50.69992836,50.69674722,50.69261739,50.68807046,50.68383977,50.68041493,50.67791654,50.6761856,50.67509054,50.67441746,50.6740072,50.67376731,50.67372148,50.67396016,50.67461005,50.6756936,50.67720419,50.67892565,50.68047824,50.68136538,50.68122053,50.6799862,50.67768311,50.67416719,50.66930058,..
"Population, total",SP.POP.TOTL,Chile,CHL,13141202,13354054,13566942,13778676,13987999,14193986,14396020,14594070,14788609,14980484,15170387,15358418,15544554,15729268,15913119,16096571,16279728,16462701,16645940,16829957,17015048,17201305,17388437,17575833,17762647,..
