Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,China,CHN,13.18669614,13.30120097,13.09083162,12.92040583,12.85649615,12.73721166,12.71155479,12.72870392,12.76598464,12.70740065,12.58705058,12.36465184,12.19614399,11.89789831,11.88724691,11.95648356,11.57835027,11.55544995,11.51614533,11.47396453,11.42070625,11.34614465,11.28223471,11.2609314,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,China,CHN,0.549162402,0.496096723,0.482519517,0.455326508,0.434105023,0.604078764,0.594937436,0.516721048,0.536384523,0.530587296,0.53599061,0.51798647,0.507774306,0.500173119,0.496492714,0.492389175,0.469929107,0.373657024,0.37171819,0.377628069,0.377054286,0.372698463,0.376069655,0.373289489,..,..
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,3.59E+11,3.81E+11,4.25E+11,4.43E+11,5.62E+11,7.32E+11,8.61E+11,9.58E+11,1.03E+12,1.09E+12,1.21E+12,1.33E+12,1.46E+12,1.65E+12,1.94E+12,2.27E+12,2.73E+12,3.52E+12,4.56E+12,5.06E+12,6.04E+12,7.49E+12,8.46E+12,9.49E+12,1.04E+13,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,3.933823529,9.267775027,14.27646488,13.93767705,13.07807061,10.99384345,9.924722662,9.226887728,7.853489523,7.618173474,8.429282161,8.29837441,9.090909091,10.01997337,10.07564297,11.35239142,12.6882251,14.19496167,9.623377486,9.233551095,10.63170823,9.484506202,7.750297593,7.68380997,7.351000022,..
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,316.2244304,331.4749293,364.7596704,375.8142788,471.7608796,607.5685555,707.0297373,778.9439349,825.5479152,869.6548516,954.5522433,1047.481895,1141.763506,1280.597181,1498.173796,1740.093186,2082.183363,2673.294191,3441.221355,3800.474542,4514.94052,5574.187093,6264.643878,6991.853866,7593.881891,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,2.419933043,7.787013324,12.88451226,12.63532775,11.80718936,9.794412942,8.778573137,8.114706138,6.823530318,6.690382462,7.578263714,7.514566149,8.362443555,9.336831653,9.423805255,10.6994222,12.06075638,13.60010824,9.063118199,8.691592646,10.09868985,8.961165489,7.226581504,7.153474861,6.808843125,..
Internet users (per 100 people),IT.NET.USER.P2,China,CHN,0,..,..,0.00016868,0.001168115,0.00495471,0.013081692,0.032394861,0.168540297,0.708187957,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,49.3,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,China,CHN,45.00486759,45.01499548,44.96567942,44.91627007,44.92573357,44.93725881,44.94723254,44.89443974,44.89744923,44.95504834,44.94502218,44.90169601,44.79188434,44.74363754,44.62551814,44.50892325,44.40129421,44.29538806,44.18650532,44.08359506,43.97383953,43.92088196,43.92304496,43.86395756,..,..
"Labor force, total",SL.TLF.TOTL.IN,China,CHN,637334236,645035504,654895789,665456534,674951877,683685679,695031065,704441984,712175657,719956928,729490391,735540448,742455842,749740411,756305157,762608154,767136988,772098426,776125592,779867875,781054640,790183028,795863202,801790592,..,..
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,120.9155061,122.576625,124.0880888,125.522861,126.9496445,128.3366211,129.6889829,131.0231002,132.2863841,133.4367607,134.492481,135.4730488,136.3837796,137.2359193,138.0534367,138.8677661,139.6453429,140.3765881,141.0977052,141.8012441,142.4877434,143.1721123,143.8713936,144.5834568,145.317356,..
