Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Colombia,COL,2.978819288,2.738170347,2.767012168,2.634520054,2.552501127,2.162235241,2.192879676,2.288418206,2.299233889,2.285714286,2.53988283,2.193780982,1.992789545,2.04055881,2.017124831,1.826047769,1.716629112,1.800811176,1.649391618,1.599819739,1.589004056,1.429472735,1.42226228,1.515998197,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Colombia,COL,0.934152602,0.909954313,1.122620076,1.09418423,1.093896723,1.662319163,1.581526255,1.505540006,1.433938931,1.351639961,1.380019409,1.403737899,1.34331135,1.495239826,1.664159696,1.640176995,1.964869127,2.01475635,1.960691803,1.994480541,1.948145316,1.905502199,1.872679458,1.906895388,..,..
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,40274204595,41239551378,49279585355,55802540101,81703496604,92507277798,97160111573,1.07E+11,98443743191,86186156584,99886577576,98203544965,97933392356,94684582573,1.17E+11,1.47E+11,1.63E+11,2.07E+11,2.44E+11,2.34E+11,2.87E+11,3.35E+11,3.70E+11,3.80E+11,3.78E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,6.042038478,2.277231497,5.032677497,2.365650574,5.835811494,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,4.419993,1.677898308,2.503980465,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589511516,4.043943806,4.936289501,4.552500992,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1175.149339,1181.081508,1385.866438,1541.712336,2218.784474,2470.683383,2553.549618,2759.952882,2509.139908,2164.432876,2472.197776,2395.856522,2355.725753,2246.257648,2740.249866,3386.025478,3709.076914,4674.21171,5433.706412,5148.411344,6250.6545,7227.77083,7885.061292,8027.97816,7903.925773,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Colombia,COL,4.039736161,0.387309098,3.136604993,0.565564932,4.029794342,3.46477573,0.427586899,1.834175992,-0.939119269,-5.611919345,2.908945988,0.226859769,1.065055864,2.489242868,3.922776759,3.348356361,5.358535891,5.602384788,2.331470925,0.499726193,2.835524427,5.467847189,2.990717051,3.913699384,3.570164915,..
Internet users (per 100 people),IT.NET.USER.P2,Colombia,COL,0,..,..,..,0.107173945,0.18804679,0.330017773,0.550521023,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Colombia,COL,29.87452292,29.83796444,29.66959676,29.54095114,30.93249226,32.28797151,33.65694628,34.9556382,36.18944712,37.30521025,38.425875,39.63081373,40.57542015,41.61444863,41.02428039,40.81229473,40.88998303,40.76357501,40.76924666,41.84461056,42.28862232,42.3829365,42.47880068,42.49916475,..,..
"Labor force, total",SL.TLF.TOTL.IN,Colombia,COL,11775378,12088519,12381749,12703528,13346781,14040625,14751573,15496101,16269870,17090350,17898299,18707196,19548707,20371314,20190370,20485594,20255802,20399489,20961989,22152535,22679417,23102781,23507707,23900105,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,30.88919603,31.47072555,32.04928616,32.62295629,33.1893096,33.74671474,34.2938621,34.83137359,35.3619279,35.88939072,36.41636683,36.9435863,37.46957458,37.99202073,38.50757729,39.01364218,39.50945831,39.9951753,40.47017575,40.9340027,41.38630104,41.82644975,42.25418477,42.6699982,43.07471203,..
