Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Comoros,COM,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,34.92745836,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,250030778.4,246823412.9,266191082.8,263568133.1,185761813.2,231896233.7,230495756.5,212099640.8,215394048.6,222580461.6,201899883.6,220093828.3,246737670.8,317562300.8,368143111,380372884.8,406111892.7,462453622,523134877.7,524157263.9,530493417.6,586281824.1,570865871.9,618664794,647720102.5,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,5.091392685,-5.395598907,8.530923433,3.005937478,-5.276682038,3.610129478,-1.291668436,4.030340669,1.282662475,1.924123666,1.417852661,11.8482468,2.324779259,2.104101953,1.919602379,2.837407764,2.647596235,0.799736914,0.399999968,1.949999978,2.199999982,2.600000088,2.999999972,3.499999994,3.003660309,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,602.2748212,577.2890871,604.6334437,581.5867434,398.3663477,483.546301,467.5569478,418.7347925,414.0759902,416.8883867,368.6349428,391.9573097,428.7898239,538.6977112,609.6406852,614.8613146,640.743014,712.1200701,786.179548,768.7337502,759.263223,818.8613857,778.1057899,823.0241627,841.2047705,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Comoros,COM,2.017966118,-8.141975584,5.401105502,0.065690147,-7.942006222,0.744276935,-3.975728375,1.248256873,-1.376060959,-0.696765462,-1.135110908,9.093695526,-0.147504686,-0.333232946,-0.505563951,0.383301525,0.188837347,-1.620124834,-2.015645028,-0.506776048,-0.264694913,0.12417673,0.516609142,1.016650985,0.556425261,..
Internet users (per 100 people),IT.NET.USER.P2,Comoros,COM,0,..,..,..,..,..,..,0,0.03787097,0.148162964,0.271740607,0.443068373,0.554869675,0.84818937,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Comoros,COM,25.48105152,25.797935,25.97232464,26.19278716,26.50374701,26.7200034,26.98582216,27.20154485,27.46555046,27.67833404,27.93102215,28.09188806,28.34246331,28.53890228,28.73398831,29.015233,29.20635995,29.39540016,29.67081167,29.90821267,30.09064827,30.20517234,30.31963616,30.48601056,..,..
"Labor force, total",SL.TLF.TOTL.IN,Comoros,COM,119218,123099,127478,131876,136509,141366,146073,151212,156243,161733,167706,173559,179628,186223,192984,199895,206794,213877,221150,228245,235967,242869,250003,256908,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,223.0757657,229.7452982,236.5674369,243.5185384,250.5690489,257.6969371,264.9000537,272.1789361,279.516389,286.8936056,294.3019882,301.7329393,309.2036539,316.76518,324.4862977,332.4191295,340.5771091,348.9543256,357.5572273,366.3863514,375.4406233,384.7243418,394.2294465,403.9210102,413.751209,..
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.968144191,2.945982595,2.926201629,2.895976019,2.854145408,2.804970533,2.756836695,2.710710403,2.660122471,2.605050693,2.549497604,2.493590829,2.445781495,2.416060824,2.408256702,2.415330163,2.424494737,2.429948318,2.435438416,2.439295595,2.44119501,2.442675067,2.440600902,2.428624816,2.404550925,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Comoros,COM,49.84583663,49.82739103,49.80942733,49.79191859,49.77493465,49.75811866,49.74167257,49.72567988,49.71029259,49.69610926,49.68303584,49.67134144,49.66077424,49.65106022,49.64172693,49.63257639,49.62339109,49.61456967,49.6059596,49.59778249,49.59016452,49.58308425,49.57657556,49.57063817,49.56538453,..
"Population, total",SP.POP.TOTL,Comoros,COM,415144,427556,440252,453188,466309,479574,492979,506525,520180,533909,547696,561525,575428,589500,603869,618632,633814,649404,665414,681845,698695,715972,733661,751697,769991,..
Rural population,SP.RUR.TOTL,Comoros,COM,299448,306275,315066,324528,334129,343850,353678,363619,373656,383752,393903,404096,414354,424752,435371,446201,457265,468538,480030,491733,503633,515743,528023,540440,552907,..
Surface area (sq. km),AG.SRF.TOTL.K2,Comoros,COM,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Comoros,COM,..,7.599999905,7.199999809,7.400000095,7.599999905,7.300000191,7.400000095,7.300000191,7.400000095,7.300000191,7.300000191,7.300000191,7.199999809,7.199999809,7.300000191,7.099999905,7.199999809,7.099999905,7.099999905,7,7,7,6.900000095,7,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Comoros,COM,..,6.800000191,6.699999809,6.699999809,6.800000191,6.699999809,6.800000191,6.699999809,6.800000191,6.800000191,6.800000191,6.699999809,6.699999809,6.699999809,6.699999809,6.699999809,6.699999809,6.599999905,6.599999905,6.599999905,6.5,6.5,6.5,6.5,..,..
