Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Congo, Dem. Rep.",ZAR,2.942149489,2.946560508,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.955382546,2.977437639,2.995081714,2.999492733,3.087713107,3.131823295,3.131823295,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Congo, Dem. Rep.",ZAR,0.406640423,0.427153067,0.308105791,0.262895311,0.253429856,0.399043228,0.388902875,0.448455383,0.494784235,0.51524387,0.500726808,0.426970118,0.414540259,0.483384044,0.30664629,0.301267237,..,0.62280125,0.636832485,0.648200243,0.626496178,0.512060171,0.495474244,0.479208645,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",ZAR,9349764580,..,..,..,5840529412,5647034188,5772020526,6091061291,6215716712,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14296507096,16364029327,19206060270,18262773821,20523285374,23849009738,27463220380,30014905126,32962261156,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",ZAR,-6.568310695,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046599,-1.624154045,-4.270140831,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320981058,6.259469847,6.225900286,2.855060107,7.078889423,6.864630028,7.157859628,8.503503317,9.046596161,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",ZAR,267.421309,..,..,..,143.1361591,133.8679371,132.9193074,136.698547,136.1663963,100.6932432,397.264871,150.4213805,171.2340121,169.9085913,189.5887135,213.310459,246.8028136,273.4864797,310.7310244,286.0481803,311.247896,350.2706542,390.7066035,413.6970577,440.2185978,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Congo, Dem. Rep.",ZAR,-9.774087138,-11.8172719,-13.99301065,-16.83899633,-7.406962978,-2.593379612,-3.852592688,-8.017694905,-3.972354147,-6.603199524,-9.352865921,-4.872606826,-0.127034265,2.304643775,3.372717228,2.777019682,1.980445655,2.871031457,2.832676113,-0.424663716,3.679035797,3.492254752,3.798222705,5.12110766,5.661810221,..
Internet users (per 100 people),IT.NET.USER.P2,"Congo, Dem. Rep.",ZAR,0,..,..,..,..,..,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Congo, Dem. Rep.",ZAR,48.69357892,48.87760192,49.12886511,49.45259281,49.55573746,49.51352278,49.5514773,49.65985824,49.69347832,49.86828559,50.04532683,50.22433241,50.19411331,50.16381678,50.13279701,50.03119043,50.07643068,49.97947369,49.95111151,49.92496573,49.83030819,49.81062356,49.79226435,49.77451136,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Dem. Rep.",ZAR,13525463,14046487,14605373,15215182,15783460,16314022,16739398,17170047,17583422,18030297,18553031,19064566,19636211,20232360,20870952,21575529,22224713,22960776,23711102,24529457,25379245,26217622,27095253,28014937,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",ZAR,15.42210185,16.01606008,16.66652037,17.34190027,17.99872566,18.60727377,19.15484749,19.6547703,20.13539578,20.63837939,21.19435566,21.81205311,22.48358307,23.20293245,23.95838424,24.74119936,25.55163759,26.3932754,27.26418826,28.16219184,29.08568933,30.03346905,31.00556229,32.00320284,33.02839814,..
