Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Congo, Rep.",COG,1.402635432,1.408491947,1.40556369,1.420204978,1.385065886,1.390922401,1.396778917,1.434846266,1.437774524,1.449487555,1.434846266,1.434846266,1.434846266,1.434846266,1.434846266,1.434846266,1.434846266,1.434846266,1.434846266,1.464128843,1.49341142,1.551976574,1.551976574,1.610541728,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Congo, Rep.",COG,1.010011458,0.97725069,1.051556777,1.016396508,0.982266167,1.587749797,1.379905449,1.335113485,1.290411383,1.250139599,1.210681113,0.944589588,0.9203068,0.896400727,0.873389143,0.848345514,..,0.796032046,0.770030416,0.745224508,0.722003849,0.705024297,0.687929418,0.672260622,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628840,6087002682,7731261311,8394688284,11859014004,9593536531,12007880590,14425607224,13677930124,14085852120,14135462556,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Rep.",COG,1.000003567,2.395367454,2.611948052,-0.979683206,-5.493075745,3.985324378,4.290481556,-0.62481215,3.73755277,-2.582199357,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854,3.440705249,6.546200012,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1172.757072,1112.128364,1166.334463,743.410575,667.6941418,777.5775374,908.7216322,808.2852124,660.1673277,776.3632945,1035.584462,877.626394,927.2695886,1049.317595,1362.198833,1737.611546,2144.834943,2259.269413,3094.10972,2428.260233,2953.185008,3453.221229,3191.164299,3205.457783,3137.754005,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Congo, Rep.",COG,-1.648378842,-0.265021016,-0.03125395,-3.526785338,-7.941658596,1.260314966,1.506843684,-3.313017911,0.94922561,-5.119136478,4.901517911,1.369997644,2.238267082,-1.447070227,1.019700203,4.972142003,3.244285095,-4.524162489,2.346622576,4.258646033,5.668046508,0.663759674,1.166289411,0.89499559,3.9297533,..
Internet users (per 100 people),IT.NET.USER.P2,"Congo, Rep.",COG,0,..,..,..,..,..,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Congo, Rep.",COG,45.46342131,45.7685588,46.06376009,46.36282509,46.73386677,47.02144793,47.16268441,47.4518024,47.59381291,47.87859644,48.01746932,48.23019333,48.37009831,48.50767954,48.71400727,48.77689785,48.76672878,48.75795783,48.75024063,48.67210308,48.59537159,48.66700469,48.59814316,48.6687559,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Rep.",COG,891079,920951,950971,983868,1018054,1051803,1087031,1123500,1162420,1199866,1238972,1270393,1303913,1338687,1373958,1414518,1459087,1507477,1558380,1610253,1662041,1702069,1744365,1785022,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,6.988190337,7.174597365,7.364295754,7.558729136,7.759777452,7.968600293,8.187124451,8.414752562,8.64717716,8.87838653,9.104740849,9.323229868,9.536945827,9.755677892,9.992948755,10.25793851,10.55518302,10.8804246,11.22334114,11.56891947,11.90652416,12.23260615,12.55106296,12.86774231,13.1916896,..
