Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Costa Rica,CRI,5.09204857,5.09204857,4.896200548,4.504504505,4.504504505,4.308656483,4.112808461,4.112808461,4.112808461,4.308656483,4.112808461,4.112808461,3.916960439,4.112808461,4.112808461,4.112808461,4.112808461,3.916960439,3.916960439,4.308656483,4.406580494,4.543674109,4.543674109,4.543674109,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Costa Rica,CRI,0.677460877,0.663218483,0.649664935,0.622777463,0.600770187,1.159548091,1.15895165,1.030619436,0.976431852,0.956474212,0.950435997,1.263016568,1.462382882,0.940427253,..,..,0.507724521,0.489740907,0.48430184,0.466606897,0.455938647,0.447203722,0.438525249,0.430124328,..,..
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,7403457319,7162546761,8573611050,9638291587,10557530654,11722357067,11843228540,12828975924,14101753567,15796567138,15946443103,16403602943,16844378578,17517536016,18596365927,19964925503,22526463619,26322000105,29837895769,29382694861,36298327620,41237293551,45300669857,49236710394,49552580683,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,3.904917795,2.571919975,9.15201618,7.413680559,4.729601446,3.920889571,0.886582088,5.578186399,8.397847841,8.222200687,1.8008246,1.076396317,2.902185091,6.404510783,4.259452774,5.886377313,8.779640959,7.935340515,2.731620422,-1.015718862,4.954320527,4.517746474,5.167582778,3.437273971,3.502352231,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,2391.302218,2255.455651,2631.99031,2884.847998,3081.86803,3338.822979,3292.773898,3483.555227,3743.130436,4104.363689,4062.322308,4104.184083,4145.586093,4245.677021,4441.41216,4700.014926,5228.025413,6024.078487,6736.167819,6546.565554,7985.951035,8963.680052,9733.396931,10461.57682,10415.44438,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Costa Rica,CRI,1.319338246,-0.001055275,6.410736451,4.727796011,2.140566659,1.39805323,-1.520289881,3.112925103,5.962400867,5.934553386,-0.188926453,-0.727997417,1.220378915,4.785943536,2.738802853,4.370710353,7.240974007,6.436535332,1.339115429,-2.311503897,3.637863689,3.263348221,3.955030522,2.288162134,2.3890768,..
Internet users (per 100 people),IT.NET.USER.P2,Costa Rica,CRI,0,..,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,49.41,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Costa Rica,CRI,27.9445837,28.66894537,28.50299333,28.94716356,29.58027191,29.93795702,29.32841614,30.98470333,32.08586767,32.08486535,31.24811379,34.11938332,34.1269913,34.13313905,33.45444089,35.35951415,35.41830408,35.79041244,36.05607828,36.5768861,36.9447086,37.05192355,37.07892067,37.18552096,..,..
"Labor force, total",SL.TLF.TOTL.IN,Costa Rica,CRI,1180880,1206239,1231404,1284568,1331624,1397096,1397815,1494247,1577171,1610080,1620309,1733944,1771082,1807689,1822347,1927518,1969572,2041896,2064828,2100269,2149412,2191395,2234763,2278411,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,60.63443008,62.19455542,63.79676851,65.43292205,67.0915002,68.76077164,70.44130435,72.12544066,73.78317665,75.37651782,76.87916177,78.27653741,79.57712495,80.80630631,82.00233059,83.1931649,84.38679984,85.57510772,86.75099882,87.90170388,89.01827262,90.09962789,91.15056796,92.17455934,93.17677242,..
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,2.519893521,2.540457764,2.543507616,2.532298838,2.503183517,2.457604042,2.414639791,2.362703385,2.272391256,2.136504477,1.973906972,1.80130466,1.647876845,1.532833426,1.469265788,1.441752315,1.424579755,1.398345374,1.364748944,1.317725619,1.262247022,1.207437562,1.159669752,1.11714313,1.081430428,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Costa Rica,CRI,49.59718914,49.61585865,49.63605112,49.65736358,49.67933486,49.70148892,49.72390222,49.74636988,49.7679415,49.78755302,49.80458291,49.81890512,49.83094639,49.8413464,49.85093284,49.86031734,49.86954574,49.87853204,49.88766242,49.89732103,49.90771731,49.91904118,49.9311367,49.94347099,49.9553557,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3095994,3175654,3257463,3341005,3425692,3510925,3596733,3682725,3767369,3848725,3925450,3996800,4063208,4125970,4187039,4247843,4308790,4369465,4429506,4488261,4545273,4600487,4654148,4706433,4757606,..
Rural population,SP.RUR.TOTL,Costa Rica,CRI,1547935,1558738,1569120,1578926,1587774,1595399,1601805,1606957,1610098,1610537,1607511,1582453,1554136,1523432,1491214,1458327,1424831,1390713,1356005,1320761,1284767,1248296,1212871,1178679,1145869,..
Surface area (sq. km),AG.SRF.TOTL.K2,Costa Rica,CRI,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Costa Rica,CRI,..,7.699999809,5.699999809,5.400000095,6,6.800000191,8.600000381,7.699999809,8.399999619,8.300000191,6.800000191,7.800000191,8.100000381,8.300000191,8.600000381,9.699999809,8.899999619,7.099999905,6.400000095,10.30000019,9.699999809,10.60000038,10.5,10.39999962,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Costa Rica,CRI,..,5.599999905,4.099999905,4.099999905,4.199999809,5.199999809,6.199999809,5.699999809,5.599999905,6,5.099999905,6,6.400000095,6.599999905,6.400000095,6.599999905,5.900000095,4.599999905,4.900000095,7.800000191,7.300000191,7.699999809,7.800000191,7.599999905,..,..
