Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Cote d'Ivoire,CIV,7.641509434,7.704402516,8.176100629,9.125786164,9.433962264,9.433962264,9.433962264,9.119496855,9.119496855,8.805031447,8.805031447,8.805031447,8.805031447,8.805031447,8.805031447,8.805031447,8.805031447,9.119496855,9.119496855,9.119496855,9.119496855,9.119496855,9.119496855,9.119496855,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cote d'Ivoire,CIV,0.331994363,0.320324527,0.308797645,0.297628791,0.287057386,0.277214826,0.269252158,0.261757949,0.254791611,0.247652543,..,..,..,..,0.269573831,0.2792757,..,0.267662522,0.26132536,0.249127048,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,10795850585,10492628588,11152971284,11045760269,8313557515,11000146269,12139234220,11722143261,12612034273,12376639180,10717022848,11192560719,12346919152,15306602195,16554441555,17084927540,17800887469,20343636059,24224905504,24277494338,24884503951,25381617036,27040560686,31292558602,34253611098,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,-1.095908411,0.040925169,-0.244560612,-0.1924851,0.811206685,7.125744724,7.729327422,3.743553144,4.930679628,1.617527443,-2.068400057,0.121371915,-1.667642138,-1.359535942,1.23177284,1.721247367,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387259842,10.70650783,9.218578723,8.995497386,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,887.3854461,832.6843954,854.836421,818.2228895,595.7925459,763.6688851,817.3361483,766.3339691,801.8595992,766.9335829,648.8107874,663.6413395,718.4531093,875.0860742,929.8933676,942.2163084,962.918425,1078.541541,1257.675707,1233.30488,1236.085144,1231.867849,1281.382775,1447.222711,1545.942397,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cote d'Ivoire,CIV,-4.520189435,-3.413064102,-3.654176442,-3.54009714,-2.469385273,3.774901668,4.480857484,0.730909306,2.048029718,-0.960039515,-4.322078995,-1.941135793,-3.498890815,-3.085834673,-0.53655884,-0.131037625,-0.426404576,-0.262368412,0.416164479,1.031356242,-0.246515008,-6.579712578,8.091490959,6.59274012,6.365603248,..
Internet users (per 100 people),IT.NET.USER.P2,Cote d'Ivoire,CIV,0,..,..,..,..,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2,2.7,2.9,5,8.4,14.6,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cote d'Ivoire,CIV,29.94710887,30.46698404,30.9861144,31.50444409,32.09217374,32.61070204,33.14533549,33.7500578,34.28688244,34.51233004,34.79443405,35.04278339,35.2975475,35.55498533,35.82757519,36.0758942,36.37583461,36.61471149,36.84800354,37.06156326,37.2899168,37.48576224,37.62346453,37.83099334,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cote d'Ivoire,CIV,4518149,4682751,4857550,5039835,5225436,5410966,5570986,5730485,5887164,6056873,6211413,6328390,6439997,6551056,6677206,6803313,6939893,7098491,7270630,7446000,7645721,7842703,8064563,8298241,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,38.25757547,39.62568239,41.02800943,42.45187421,43.87980818,45.29666667,46.70500943,48.10185535,49.46063522,50.74787421,51.9432327,53.03577358,54.0422044,55.00483962,55.98275472,57.02107547,58.13330818,59.31500629,60.57121698,61.90222956,63.30725472,64.79299371,66.36050629,67.99525157,69.67643711,..
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,3.52357913,3.513586104,3.477753714,3.411607249,3.308320097,3.177918242,3.061798105,2.946932173,2.785635607,2.569262451,2.328171387,2.081521566,1.879864515,1.765587019,1.762251733,1.837725279,1.931784544,2.012354109,2.095748179,2.173638484,2.244373329,2.31975447,2.390461896,2.433577819,2.44243261,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Cote d'Ivoire,CIV,47.97600409,48.01555309,48.05293699,48.08828288,48.1220177,48.15480612,48.18591436,48.21606928,48.24885835,48.28869121,48.33814709,48.39829838,48.46723278,48.54082308,48.61333083,48.68061031,48.74145804,48.7969095,48.84775949,48.89550671,48.94121994,48.98471048,49.02559353,49.06450645,49.10224968,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12165909,12600967,13046907,13499696,13953779,14404340,14852193,15296390,15728482,16137824,16517948,16865376,17185421,17491539,17802516,18132702,18486392,18862172,19261647,19684909,20131707,20604172,21102641,21622490,22157107,..
Rural population,SP.RUR.TOTL,Cote d'Ivoire,CIV,7379232,7596367,7816663,8037584,8255753,8468311,8675611,8877413,9068728,9216957,9325868,9411723,9477244,9530615,9582204,9640070,9705356,9758156,9816891,9881824,9953720,10033202,10120616,10213167,10307708,..
Surface area (sq. km),AG.SRF.TOTL.K2,Cote d'Ivoire,CIV,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Cote d'Ivoire,CIV,..,5.199999809,6.099999905,5.5,4.900000095,3.700000048,3.700000048,3.700000048,3.799999952,3.799999952,3.799999952,3.799999952,3.799999952,3.799999952,3.700000048,3.700000048,3.700000048,3.700000048,3.700000048,3.700000048,3.700000048,3.700000048,3.599999905,3.599999905,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Cote d'Ivoire,CIV,..,5.800000191,6.699999809,6,5.400000095,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4,4.099999905,4,..,..
