Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Croatia,HRV,..,..,21.6776963,18.99481309,19.74602039,19.97853693,17.61343337,17.5598428,19.47773207,19.10212842,15.05991772,15.25666249,15.34609193,15.45340726,15.13581129,15.60042888,15.74338813,15.22516083,15.38062902,15.51644031,16.16154396,16.02394568,16.19728377,15.66118656,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Croatia,HRV,..,..,5.024620641,3.78008594,3.312692107,7.110416713,5.173029691,4.78102188,4.782937772,4.981152994,5.149377843,3.502140254,3.149716887,1.57895924,1.500140263,1.550863831,1.057389567,1.05374924,1.107530097,1.095652491,1.110356594,1.157465707,1.055316962,1.055474213,..,..
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,..,..,..,..,..,22387561845,23678012697,23822087053,25432144406,23386945597,21774273832,23289671102,26878499206,34658113497,41574530816,45416076681,50436294495,60082020692,70452887538,62636688809,59665514733,62236755927,56485308446,57868674298,57222574023,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,..,..,..,..,..,..,5.873698253,6.645474107,1.861880909,-0.935499992,3.767496172,3.434404365,5.246474529,5.557907035,4.082810688,4.163840897,4.785190687,5.150082941,2.053110679,-7.383653,-1.701136888,-0.281367268,-2.187589799,-0.939174027,-0.399950151,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,..,..,..,..,..,4794.937213,5268.805674,5210.430239,5650.332016,5135.473341,4919.628069,5245.421419,6053.716037,7805.881418,9365.742468,10224.24059,11359.52579,13544.18861,15887.4192,14142.15076,13505.76562,14539.18518,13235.97909,13597.92145,13507.35861,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Croatia,HRV,..,..,..,..,..,..,9.996505817,4.826063132,3.468677964,-2.088424564,6.768454036,3.108259847,5.246474529,5.557907035,4.106258043,4.093491613,4.832391223,5.244898165,2.087446674,-7.270106397,-1.449770363,2.913801085,-1.888162978,-0.663152861,0.053803263,..
Internet users (per 100 people),IT.NET.USER.P2,Croatia,HRV,0,..,..,0.097213389,0.268318997,0.51402859,0.858982368,1.729609312,3.273220279,4.405359119,6.644882544,11.55857318,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Croatia,HRV,42.5268744,42.46970904,42.66824918,42.87789283,43.02013407,43.24673952,43.39677829,43.65468143,43.83951846,44.0216547,44.27720579,44.48830808,44.78680547,44.68024025,45.01380879,45.46037143,45.87101962,45.09660372,45.37535705,45.92716549,45.9449623,45.37013717,45.72745076,45.6123586,..,..
"Labor force, total",SL.TLF.TOTL.IN,Croatia,HRV,2189258,2079581,2049906,2116354,2113085,2109581,2023959,2049771,2010898,2027643,1961402,1950236,1936682,1950652,1999813,1998886,1986023,1992884,1986402,1971428,1945321,1866146,1852524,1852248,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,85.4945448,80.66535503,79.94991951,82.99052048,83.16937936,83.50921123,80.27867095,81.67202572,80.50438204,81.45233411,79.16294044,79.41334287,79.41334287,79.41334287,79.32451751,79.37812723,79.34238742,79.27090779,79.24424589,79.14721229,78.94533595,76.49431737,76.2608649,76.04896355,75.70407434,..
Population growth (annual %),SP.POP.GROW,Croatia,HRV,0.272337028,-5.814339299,-0.890874489,3.732595761,0.215285336,0.407769639,-3.820174223,1.720757217,-1.565115162,1.170637333,-2.850972601,0.315813482,0,0,-0.022525059,0.067559962,-0.045034903,-0.090130696,-0.033639562,-0.122523788,-0.255390216,..,-0.305655945,-0.278250586,-0.454540885,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Croatia,HRV,51.51522892,51.51872803,51.53298299,51.55724192,51.58971008,51.62850067,51.6744691,51.72689439,51.77997757,51.82577557,51.85838342,51.87471447,51.87620899,51.86706303,51.85388063,51.8416393,51.83137622,51.82191698,51.81343835,51.80564193,51.79823581,51.79179898,51.78659277,51.7815651,51.77526103,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4780000,4510000,4470000,4640000,4650000,4669000,4494000,4572000,4501000,4554000,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255700,4236400,..
Rural population,SP.RUR.TOTL,Croatia,HRV,2196936,2059491,2034967,2105910,2103985,2106093,2020907,2049628,2011542,2028898,1965719,1965810,1959106,1951824,1943527,1936445,1926605,1915376,1904710,1891792,1875922,1806422,1789216,1772116,1751497,..
Surface area (sq. km),AG.SRF.TOTL.K2,Croatia,HRV,56540,56540,56540,56540,56540,56540,56610,56610,56540,56540,56540,56540,56540,56540,56590,56590,56590,56590,56590,56590,56590,56590,56590,56590,56590,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Croatia,HRV,..,11.19999981,11.39999962,11.69999981,11.89999962,11.60000038,11.10000038,11,11.5,14.10000038,16.79999924,21.39999962,17.39999962,15.69999981,15.39999962,13.89999962,12.69999981,11.19999981,10.19999981,10.5,12.39999962,13.30000019,15.69999981,16.79999924,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Croatia,HRV,..,11.10000038,10.19999981,9.800000191,10,10.10000038,10,9.899999619,11,13.5,16.10000038,20.5,15.10000038,13.89999962,13.69999981,12.60000038,11.10000038,9.600000381,8.399999619,9.100000381,11.80000019,13.39999962,15.80000019,17.70000076,..,..
