Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Cuba,CUB,31.5735568,31.98324022,33.2867784,33.79888268,34.32029795,34.30167598,32.44878957,33.78026071,33.27746741,33.61266294,32.62569832,34.81378026,35.69884388,35.26315789,34.8275538,34.49830891,34.14450813,33.56820744,32.96317174,32.37692597,31.7897407,31.20349493,29.44978346,29.65175812,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cuba,CUB,6.802744461,6.703960551,3.900235106,3.858176092,3.051608808,2.683969903,2.556834785,1.691649909,1.690397132,1.954902639,1.803388407,1.544809929,1.539828351,1.533719295,1.584518536,1.581777589,1.561669721,1.521263866,1.497465835,1.441550016,1.43222584,1.422552832,1.415496898,1.408673285,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,28645436551,24317883624,22085858204,22367254851,28448326796,30428638304,25017300000,25366200000,25736600000,28365300000,30565200000,31683300000,33590400000,35901500000,38202800000,42644200000,52742100000,58603500000,60806300000,62078600000,64328200000,68990140000,73139050000,77149700000,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,-2.948564774,-10.6926974,-11.58060298,-14.8781804,0.716930036,2.457201026,7.838750049,2.785004012,0.155720869,6.191203445,5.915865714,3.182230186,1.42859081,3.791364597,5.770878841,11.20171308,12.0658059,7.262137034,4.116828059,1.449116717,2.388332912,2.802964336,3.014390465,2.686032552,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2706.975485,2280.248305,2057.220667,2071.510891,2621.135778,2790.070088,2283.564629,2305.927831,2330.81411,2559.92822,2749.463492,2841.176483,3003.288468,3201.250272,3398.620012,3786.875329,4677.709014,5193.484286,5385.740727,5494.925311,5688.666732,6092.613902,6448.155635,6789.849597,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cuba,CUB,-3.828752656,-11.38352705,-12.16698675,-15.36522683,0.198388088,1.96292659,7.3532313,2.363985099,-0.220361067,5.821151668,5.570196275,2.86129716,1.128708951,3.510971135,5.527705223,11.0005417,11.92519686,7.178069086,4.059689511,1.384434996,2.291532347,2.662816894,2.841277429,2.506425836,..,..
Internet users (per 100 people),IT.NET.USER.P2,Cuba,CUB,0,..,..,..,..,9.17E-05,0.031949001,0.068220214,0.226699199,0.314690541,0.541182549,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,30,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cuba,CUB,32.51059064,32.75816963,33.0047701,33.2525615,33.44240655,33.66795656,33.95917057,34.22828751,34.56367854,34.80465929,35.01093984,35.30659896,35.59843146,35.79322164,36.15072701,36.52809393,37.07145009,37.78867483,37.73513415,37.9687472,38.07651121,38.09573875,38.18380687,38.27376511,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cuba,CUB,4365885,4430217,4486909,4535822,4587744,4620022,4654192,4669997,4673458,4680540,4685624,4693134,4708317,4727071,4733299,4804721,4866586,4995846,5075241,5237418,5271515,5307360,5333816,5359653,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,98.52962756,99.29773743,99.96066108,100.5359032,101.0561918,101.5460708,102.0053259,102.4248696,102.8109218,103.1704469,103.5082588,103.8312104,105.1277376,105.4026034,105.6355606,105.7971815,105.9400451,106.0131811,106.0713923,106.1390643,106.2395058,106.3845359,106.5546036,106.7413033,106.8973029,..
