Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,327.4774775,325.231982,324.1261261,324.9977477,325.7432432,326.8896396,329.518018,330.981982,325.3873874,314.027027,301.4864865,290.6463964,291.0022523,297.0653153,302.2342342,310.0405405,318.1058559,324.4504505,328.5585586,330.704955,334.9166667,339.7094595,342.5405405,346.4436937,351.0630631,..
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-1.051535839,-0.688056323,-0.340600021,0.268553409,0.229122134,0.351314684,0.800841488,0.443290344,-1.70475051,-3.553737816,-4.075386132,-3.661779858,0.12236112,2.062102467,1.725029528,2.550073807,2.568114257,1.974862198,1.258225307,0.651152062,1.265514155,1.420897663,0.829929595,1.133028802,1.324556891,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Curacao,CUW,52.01671735,52.14376564,52.27509314,52.40597687,52.53018025,52.64306465,52.74790289,52.84520807,52.93180905,52.99973197,53.04501858,53.05708868,53.04062971,53.02591184,53.05359595,53.15074422,53.32696593,53.55886193,53.79873125,53.99080594,54.10589072,54.13791728,54.10466587,54.02905952,53.94413307,..
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,144403,143912,144299,144630,145139,146306,146956,144472,139428,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153821,155872,..
Rural population,SP.RUR.TOTL,Curacao,CUW,22278,21737,20948,19879,18847,17881,17033,16162,15003,13667,12379,11600,11765,12167,12540,13031,13543,13992,14353,14633,15012,15422,15738,16094,16476,..
Surface area (sq. km),AG.SRF.TOTL.K2,Curacao,CUW,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
