Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Cyprus,CYP,11.42857143,11.49350649,11.64502165,11.76406926,10.75757576,10.72510823,10.71428571,10.61688312,10.83333333,10.94155844,10.64935065,10.60606061,10.82251082,12.12121212,12.22943723,13.31168831,12.44588745,11.88311688,8.917748918,9.404761905,8.885281385,9.090909091,9.231601732,8.647186147,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Cyprus,CYP,3.131850924,3.022289384,2.986652649,..,..,3.872473902,3.73110462,2.735236885,2.71171553,2.671119361,2.426688177,2.312663546,2.105636225,2.019083336,2.134152848,2.051636347,2.001381419,1.953934406,1.920905166,1.883542742,2.18143369,2.176354717,2.14817885,2.111636858,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,5591130218,5770197348,6912150456,6590291048,7425703929,9914864166,9989422836,9504538198,10209966063,10443559871,9929632422,10328979964,11345759615,14445240091,17164625000,18270009451,19866878479,23716042497,27493064742,25593262401,25247424011,27089174646,24940600822,24057251749,23226158986,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,7.403999151,0.739501016,9.399999378,0.69999989,5.899999808,6.100000558,1.625018396,2.402460676,5.091645313,4.686084743,5.673380231,3.576056688,3.220606243,2.788196717,4.379398998,3.863109461,4.516829031,4.893239014,3.62071524,-2.042198118,1.390644058,0.261283105,-2.384531145,-5.356745491,-2.255259091,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,9641.575273,9696.099593,11310.07192,10526.14177,11617.69278,15233.34168,15105.21006,14169.7202,15035.90525,15208.77246,14307.35353,14723.21047,15988.27504,20110.12017,23578.42935,24738.00939,26455.13237,30915.48639,34950.3513,31673.45771,30438.90019,31836.61951,28868.27382,27910.61983,27194.39184,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cyprus,CYP,5.139969123,-1.834743179,6.527835441,-1.702628173,3.732202099,4.193719685,0.018098907,0.961146546,3.810962812,3.521195168,4.555319834,2.46565517,2.04444145,1.54653656,2.992462645,2.378024786,2.787558558,2.683592942,1.051115615,-4.63687636,-1.226615029,-2.264452696,-3.860607151,-5.136481217,-1.35572443,..
Internet users (per 100 people),IT.NET.USER.P2,Cyprus,CYP,0,..,0.05006043,0.056367482,0.111034621,0.410120685,0.673343541,4.378272095,8.890539159,11.34239866,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cyprus,CYP,36.24209208,36.77551946,37.00074368,37.0683279,37.61329263,37.19760128,37.84459416,38.45326262,38.57223837,38.67731139,40.79330234,41.86177981,42.32370509,42.49290822,42.25234611,41.98029666,42.31497462,42.70300924,42.88746891,43.18183809,43.52516262,43.50251433,43.1069574,43.14347372,..,..
"Labor force, total",SL.TLF.TOTL.IN,Cyprus,CYP,319300,330875,334823,348818,354723,361526,375224,383879,391634,402453,445051,466994,479665,500227,515427,523972,537129,550172,559632,570733,584478,585842,593526,603797,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,82.96655844,84.75519481,86.65151515,88.61623377,90.60238095,92.5745671,94.50714286,96.39967532,98.27272727,100.1613636,102.0873377,104.0564935,106.0479437,108.0248918,109.937987,111.7517316,113.4516234,115.047619,116.5595238,118.0179654,119.4464286,120.8489177,122.2189394,123.5554113,124.8547619,..
