Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Czech Republic,CZE,..,..,..,43.12152194,42.92739744,42.72033131,42.15089944,42.06030801,42.20266598,42.13795781,41.96971658,41.87912515,41.78853371,41.71088391,41.62567952,41.53507637,41.44983819,41.3592233,41.26860841,41.16504854,41.0538581,40.96323149,40.87789719,40.7743105,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Czech Republic,CZE,..,..,..,2.105156709,1.750059259,1.783717644,1.465133883,1.300159245,1.244583082,1.142123687,1.220967307,1.146831645,1.066459011,1.218248664,0.526272498,0.541457988,0.502416527,0.521247295,0.518701594,0.505697071,0.544695346,0.510594502,0.506352787,0.451481308,..,..
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,40315846934,29557058045,34451991510,40452245052,47364870592,59537113791,66775046785,61621364981,66372594575,64719461255,61474265135,67375623427,81696651659,99300329682,1.19E+11,1.36E+11,1.55E+11,1.89E+11,2.35E+11,2.06E+11,2.07E+11,2.27E+11,2.07E+11,2.09E+11,2.06E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czech Republic,CZE,..,-11.61494453,-0.506541936,0.061903461,2.909311107,6.221404708,4.282800971,-0.674269941,-0.316035916,1.438052945,4.294134332,3.051521405,1.646950568,3.601843373,4.947454577,6.442262581,6.876544673,5.529266605,2.710956215,-4.841786335,2.295089115,1.963780536,-0.808400773,-0.701654025,1.991617327,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,3901.525394,2867.229413,3338.654991,3916.051586,4583.584634,5765.048439,6473.435452,5980.258304,6447.463539,6293.304387,5994.528277,6594.717465,8011.898074,9741.058384,11667.63212,13317.72983,15159.14115,18333.9459,22649.37934,19698.49209,19763.9638,21656.39764,19670.40261,19858.34346,19553.92995,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Czech Republic,CZE,..,-11.40250819,-0.608213223,-0.042053888,2.87214516,6.286553337,4.4042373,-0.56717611,-0.221545837,1.541751192,4.587000225,3.439434554,1.843218421,3.631499076,4.915518839,6.295127065,6.587519172,4.915252055,1.862581725,-5.382389254,1.99747421,1.753190568,-0.94709821,-0.734585771,2.027579323,..
Internet users (per 100 people),IT.NET.USER.P2,Czech Republic,CZE,0,..,..,0.581319529,1.259217838,1.45357584,1.940378193,2.915698695,3.895906065,6.832802018,9.780527888,14.69717212,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,79.71,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Czech Republic,CZE,44.36972464,44.42514372,44.41011422,44.3791824,44.45938044,44.23916396,44.00207909,44.04678719,44.1917789,44.33957943,44.3436616,44.36113341,44.23817404,44.34915552,44.28746797,44.09689932,44.08948502,43.68892116,43.38228019,43.40371226,43.30153254,43.44783184,43.67503849,44.02049538,..,..
"Labor force, total",SL.TLF.TOTL.IN,Czech Republic,CZE,4920754,4982541,5033466,5082757,5142683,5157767,5159938,5176289,5198528,5218349,5184414,5162048,5157254,5138524,5130422,5171223,5174989,5179883,5205305,5248399,5236138,5238991,5282878,5337984,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Czech Republic,CZE,133.7304905,133.4098356,133.5463052,133.6851948,133.7334929,133.6515206,133.4960657,133.3522842,133.2259997,133.0899444,132.7172641,132.2195548,131.964747,131.9269833,131.9842221,132.1669169,132.5424595,133.3181618,134.4285178,135.1965825,135.6086225,135.8892802,136.0971773,136.1423281,136.0943416,..
Population growth (annual %),SP.POP.GROW,Czech Republic,CZE,-0.267830773,-0.240064842,0.102241165,0.103947042,0.036121766,-0.061314063,-0.116381299,-0.107762749,-0.094744752,-0.102175934,-0.280414108,-0.375719704,-0.192901618,-0.028620591,0.030434848,0.13832598,0.270795629,0.583542205,0.829412603,0.569729451,0.291361674,0.206747667,0.139925656,0.033169946,-0.035253542,..
