Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Denmark,DNK,60.41519226,60.10851616,59.83973604,59.69832666,55.73886401,54.65472543,54.72543012,55.73886401,55.76243224,54.06551968,53.75913269,54.01838322,53.64129154,53.40560924,53.47631393,54.96111242,55.31463587,54.34833844,56.61088852,57.29436719,57.05868489,58.89700683,56.9879802,56.74287061,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Denmark,DNK,1.06399154,1.031625512,0.959828108,0.93258869,1.006995019,1.172034063,1.159713322,1.151043093,1.127288026,0.93764032,0.761010035,0.749766486,0.787688191,0.793343431,0.722470022,0.723552353,1.02289233,1.022943253,1.011921788,0.633892136,0.635558813,0.561514704,0.589689148,0.592760261,..,..
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,1.38E+11,1.39E+11,1.53E+11,1.43E+11,1.56E+11,1.85E+11,1.88E+11,1.74E+11,1.77E+11,1.78E+11,1.64E+11,1.65E+11,1.79E+11,2.18E+11,2.51E+11,2.65E+11,2.83E+11,3.20E+11,3.53E+11,3.20E+11,3.20E+11,3.41E+11,3.22E+11,3.36E+11,3.42E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,1.607441101,1.30042839,1.975462341,-0.089601054,5.525396767,3.065170464,2.900137321,3.260892522,2.218139149,2.948015396,3.746892574,0.82315273,0.466302594,0.39009173,2.638949775,2.437027555,3.796740952,0.824418073,-0.717957057,-5.087934006,1.625135885,1.152136945,-0.65522463,-0.486210303,1.13429152,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26861.79859,26960.97561,29526.16569,27553.12351,29992.22227,35351.38071,35650.72434,32835.92877,33368.15485,33440.80162,30743.55917,30751.64946,33228.69291,40458.77064,46487.51491,48816.83586,52041.00297,58501.13832,64181.99467,57895.50122,57647.66876,61304.0612,57636.12531,59818.63153,60634.39427,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Denmark,DNK,1.4425074,1.037876162,1.638815554,-0.421915042,5.16963078,2.529636081,2.319443039,2.83266682,1.847594423,2.607937518,3.400714425,0.462534028,0.145837887,0.117391251,2.374040048,2.155220598,3.456177916,0.378285958,-1.299575991,-5.594432306,1.174721029,0.736511537,-1.02832906,-0.900221039,0.692548051,..
Internet users (per 100 people),IT.NET.USER.P2,Denmark,DNK,0.097277268,0.194056515,0.386913951,0.578329976,1.34430775,3.82565642,5.714987841,11.38200494,22.66874615,30.59204065,39.17243086,42.95752472,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Denmark,DNK,45.99220129,46.41506696,46.55080627,46.63623895,45.7956879,45.22412053,45.37443583,45.47963686,46.23088966,46.20094188,46.47442902,46.59504411,46.30718243,46.42534412,46.67854728,46.71729466,46.94530254,46.89652656,46.96180602,47.12474836,47.12940862,47.25253757,47.35889544,47.62453049,..,..
"Labor force, total",SL.TLF.TOTL.IN,Denmark,DNK,2913557,2908032,2917189,2895167,2780550,2824150,2836908,2858277,2847542,2879569,2864614,2854222,2881851,2873913,2906695,2902347,2932860,2932714,2964656,2951133,2930964,2929576,2916791,2901679,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Denmark,DNK,121.2771644,121.5923095,121.8800377,122.2867782,122.7004478,123.3413387,124.0413387,124.5578836,125.0110535,125.425383,125.8452981,126.2970304,126.7011784,127.046288,127.3750412,127.72642,128.1468772,128.7164271,129.4749234,130.1695734,130.7490691,131.2885223,131.7834551,132.334009,132.9145652,..
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.16245632,0.259518212,0.330671402,0.333166396,0.337707376,0.520962181,0.565926342,0.415564969,0.363162524,0.330886246,0.334233619,0.358315679,0.319487125,0.272010444,0.258432282,0.275481733,0.328645159,0.443466054,0.58754759,0.535079062,0.444197155,0.411737855,0.376272243,0.416901361,0.437745718,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Denmark,DNK,50.6902667,50.67783092,50.66443589,50.65020033,50.63505011,50.61902518,50.60211637,50.58475182,50.56780179,50.55237329,50.53915276,50.52876872,50.52076174,50.51340779,50.50426542,50.49177768,50.47527008,50.45566224,50.43491695,50.41566833,50.3998138,50.38793511,50.37939843,50.37333581,50.36838803,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5639565,..
Rural population,SP.RUR.TOTL,Denmark,DNK,779212,779794,780980,782186,783426,786105,789145,791005,792450,793693,795603,795779,792950,789180,780089,766524,755890,748599,742353,737112,732572,726570,718964,711749,704833,..
Surface area (sq. km),AG.SRF.TOTL.K2,Denmark,DNK,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Denmark,DNK,..,10.10000038,9.899999619,11.10000038,8.899999619,8.699999809,8.399999619,6.400000095,6.400000095,5.800000191,5,4.800000191,5,6.099999905,6,5.199999809,4.5,4.199999809,3.700000048,5.300000191,6.5,7.5,7.5,7.300000191,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Denmark,DNK,..,9.100000381,9,10.69999981,8,7,6.800000191,5.400000095,5,5.099999905,4.5,4.199999809,4.599999905,5.400000095,5.5,4.800000191,3.900000095,3.799999952,3.400000095,6,7.5,7.599999905,7.5,7,..,..
