Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Djibouti,DJI,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.043140638,0.05608283,0.064710958,0.051768766,0.05608283,0.069025022,0.086281277,0.086281277,0.086281277,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Djibouti,DJI,2.621455301,1.902490995,4.895541386,4.737456105,4.597648303,7.040915543,6.836456762,6.639721342,6.454124493,6.276994814,6.090222293,5.908890535,5.599384523,5.419457173,4.701618212,5.384449709,..,4.686182011,4.926649764,4.767339125,4.627693979,4.52221648,4.415680953,4.315357675,..,..
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,452328105,462422016.6,478058323.6,466048487.5,491689240,497723980.1,494004667.1,502675561.7,514267889.4,536080169.1,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1198997305,1128611700,1239144502,1353632942,1456344495,1581519706,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,..,-4.277616675,-0.017967018,-6.620881286,-0.937342459,-3.488261251,-4.11549878,-0.745872199,0.099378553,2.1790062,0.416213964,2.047764375,2.618562398,3.199959328,3.826476088,3.169601156,4.799864683,5.100061387,5.799962619,4.999503141,4.450192961,5.385134251,3.003496437,4.999907255,5.499368447,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,768.8000207,757.2260003,762.3768642,729.0950423,756.5869902,752.8997877,733.8134276,733.1436747,736.503359,754.3497648,762.8838243,779.7667866,792.9638513,822.0970501,867.68359,910.3645074,974.5642374,1060.81494,1234.013356,1462.018889,1358.4605,1472.014205,1586.780133,1684.503796,1805.029258,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Djibouti,DJI,..,-7.776690268,-2.630313191,-8.396094712,-2.562732328,-5.123078504,-5.842611091,-2.546981606,-1.708630776,0.396683824,-1.238947958,0.445500706,1.053250727,1.672805714,2.340311513,1.74321024,3.400436114,3.736787064,4.45008494,3.660533722,3.104337612,4.00804501,1.643066748,3.605056343,4.100214099,..
Internet users (per 100 people),IT.NET.USER.P2,Djibouti,DJI,0,..,..,..,..,0.01603083,0.031166241,0.082941498,0.094696004,0.105761909,0.194500528,0.343526263,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Djibouti,DJI,28.97691153,29.58310081,29.8878921,30.18529375,30.48068413,30.77494775,31.07061083,31.29996259,31.52634922,31.81340387,32.09595484,32.37462366,32.61345582,32.88553049,33.22120686,33.4875495,33.68569925,34.04784592,34.33912783,34.62744809,34.74665609,34.90662234,34.90092849,34.89574829,..,..
"Labor force, total",SL.TLF.TOTL.IN,Djibouti,DJI,152587,157688,163414,168867,174002,178954,184306,189767,195224,200733,206889,213238,219667,226960,233962,241436,248889,256072,263871,271640,279837,286364,293273,300091,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Djibouti,DJI,25.38205349,26.34508197,27.05189819,27.57614323,28.03615186,28.51924072,29.04236411,29.57911993,30.12320966,30.65798102,31.17178602,31.66902502,32.15957722,32.64262295,33.11665229,33.58093184,34.03541846,34.4827006,34.9283434,35.3795082,35.84132873,36.31587575,36.80194133,37.29741156,37.79870578,..
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,5.152268416,3.7239246,2.647556119,1.919384696,1.654379196,1.708415758,1.817662265,1.831310939,1.822725511,1.759706081,1.662037095,1.582568298,1.537122361,1.490858875,1.441735922,1.392215495,1.344330089,1.305606457,1.284086489,1.283415664,1.296887337,1.315333288,1.3295603,1.337333183,1.335093432,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Djibouti,DJI,49.70171121,49.70745678,49.7090404,49.7083141,49.70779131,49.7091106,49.71271624,49.71792942,49.7238835,49.72940342,49.73386367,49.73708874,49.73942229,49.74122983,49.74284955,49.74460629,49.74643224,49.74847024,49.75081487,49.75374864,49.7573429,49.76170168,49.76678323,49.77248385,49.77846866,..
"Population, total",SP.POP.TOTL,Djibouti,DJI,588356,610679,627063,639215,649878,661076,673202,685644,698256,710652,722562,734088,745459,756656,767644,778406,788941,799309,809639,820097,830802,841802,853069,864554,876174,..
Rural population,SP.RUR.TOTL,Djibouti,DJI,141458,145867,149486,152088,154320,156675,159232,161860,164516,167110,169571,171938,174258,176528,178738,180894,182979,185016,187035,189082,191118,193168,195208,197239,199224,..
Surface area (sq. km),AG.SRF.TOTL.K2,Djibouti,DJI,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
