Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Dominica,DMA,6.666666667,5.333333333,5.333333333,5.333333333,5.333333333,4,4,4,4,5.333333333,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,8,8,8,8,8,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,166322219.3,180437033.9,191759255.9,200418515,215459255.5,224037033.1,236444440.3,245781477.1,258440736.2,267740736,335845808.9,343119364.3,337695734.8,350091216,374771474.9,370370370.4,397777777.8,428888888.9,468888888.9,498888888.9,492962963,508518518.5,514814814.8,516666666.7,537777777.8,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,5.254898279,0.607930897,2.047356934,1.680944019,1.431325265,1.974719115,2.641783027,1.490817886,4.978087155,0.683294802,0.375310954,0.473103034,-1.753160254,7.687213049,3.250144236,-0.088242377,4.8828125,6.052141527,7.462686567,-1.14379085,1.074380165,-0.081766149,-1.391162029,-0.912863071,2.42881072,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,2344.944441,2546.783072,2701.671727,2814.669124,3018.820482,3139.224475,3323.369413,3473.648555,3676.516625,3830.229979,4819.899954,4925.629692,4837.631934,4997.16258,5329.135796,5250.352561,5627.072822,6058.180506,6615.156232,7027.098935,6926.847597,7121.908609,7181.625372,7175.427632,7433.927894,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Dominica,DMA,5.720864302,0.720113518,1.861889479,1.356787369,1.193990858,1.981863504,2.960618015,2.050225131,5.6665415,1.249352066,0.696551132,0.500507412,-1.958644577,7.299860032,2.858138712,-0.395589084,4.663224775,5.8948497,7.332301964,-1.302528899,0.830098498,-0.410619472,-1.780452692,-1.353219765,1.953062799,..
Internet users (per 100 people),IT.NET.USER.P2,Dominica,DMA,0,..,..,..,..,0.548762737,1.165518146,..,2.925345191,2.932164377,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,51.3135,55.17701416,59,62.86,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Dominica,DMA,94.57066667,94.46533333,94.63733333,94.94,95.16266667,95.156,94.86133333,94.34133333,93.72666667,93.20266667,92.90533333,92.88,93.07466667,93.41066667,93.76666667,94.056,94.25333333,94.39333333,94.508,94.66,94.88933333,95.20266667,95.58,96.00666667,96.45466667,..
Population growth (annual %),SP.POP.GROW,Dominica,DMA,-0.441725414,-0.111442629,0.181911816,0.31930708,0.23425949,-0.007005794,-0.310147393,-0.549676512,-0.653666605,-0.56064114,-0.319528001,-0.027271618,0.209370102,0.360350444,0.380388397,0.308092274,0.209584307,0.148425655,0.121403781,0.160703748,0.24197758,0.329665233,0.395564054,0.445404035,0.465548899,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Dominica,DMA,70928,70849,70978,71205,71372,71367,71146,70756,70295,69902,69679,69660,69806,70058,70325,70542,70690,70795,70881,70995,71167,71402,71685,72005,72341,..
Rural population,SP.RUR.TOTL,Dominica,DMA,26187,25164,25148,25167,25163,25099,24959,24761,24539,24341,24203,24115,23951,23824,23700,23560,23396,23219,23035,22861,22707,22571,22451,22343,22241,..
Surface area (sq. km),AG.SRF.TOTL.K2,Dominica,DMA,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
