Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Dominican Republic,DOM,18.62582781,18.62582781,18.62582781,18.62582781,18.62582781,19.24668874,19.35016556,17.79801325,18.00496689,17.5910596,18.58443709,18.58443709,18.58443709,16.97019868,16.97019868,16.97019868,16.97019868,16.97019868,16.55629139,16.55629139,16.55629139,16.55629139,16.55629139,16.55629139,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Dominican Republic,DOM,0.741616816,0.721800046,0.741385022,0.725201408,0.708455448,1.242636983,1.218352898,1.192422592,1.168945815,1.144785516,1.122008321,1.092162174,1.064500368,1.038403855,1.000293163,1.002410798,1.592644238,1.556745654,0.93938192,0.910252765,0.896786666,0.880849987,1.337447409,1.315913231,..,..
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,7073674721,9724379020,11277694537,12976408000,14511134921,16358496124,18131813001,19593449903,21171235998,21709041189,23996656676,24894907435,26570402719,21268012747,22163928098,33431028341,35779542420,43685737619,47523573518,47889071494,53042973603,58026114991,60441438857,61198258779,63968961563,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,-5.454312395,0.944138889,10.51318199,7.222621361,2.303256396,5.493629299,7.131367357,8.004274432,7.010597728,6.715354091,5.656604877,1.809229488,5.788207316,-0.25335881,1.31195822,9.262750074,10.67115484,8.47462478,3.143711459,0.935781292,8.302152802,2.820884489,2.629506212,4.777741911,7.340878365,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,984.6914396,1327.447556,1510.024439,1704.850697,1871.667431,2072.68444,2258.258259,2400.136254,2551.865845,2575.482552,2802.488989,2862.428873,3008.326804,2371.608419,2434.794617,3619.030377,3817.977914,4596.400803,4931.62641,4902.780603,5358.967944,5786.905837,5951.868497,5952.322754,6147.348834,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Dominican Republic,DOM,-7.306177801,-1.012233561,8.39824181,5.209421105,0.434957851,3.630774037,5.307478055,6.226666723,5.296377307,5.034809795,4.009224589,0.234715444,4.169348018,-1.760198671,-0.193175376,7.671067661,9.091415967,6.956638619,1.729196861,-0.420460953,6.877021824,1.496475237,1.336955075,3.489885929,6.05625704,..
Internet users (per 100 people),IT.NET.USER.P2,Dominican Republic,DOM,0,..,..,..,..,0.017233601,0.074987053,0.142687565,0.233914189,1.104743874,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,41.2,45.9,49.58,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Dominican Republic,DOM,34.22727589,34.26828208,34.52778324,34.7625295,34.86721452,35.0510771,35.4204798,35.73696546,36.11222827,36.51286159,36.83658417,37.08169843,37.40530326,37.56966178,37.80949135,38.18235356,38.62689074,38.99013191,39.2390161,39.4112946,39.70712537,39.8000805,39.89498188,39.99116397,..,..
"Labor force, total",SL.TLF.TOTL.IN,Dominican Republic,DOM,2831651,2909393,2967419,3033640,3105347,3178724,3242082,3312584,3379113,3450428,3520473,3616679,3710661,3803915,3898857,3990380,4081263,4175377,4258119,4339454,4404615,4484305,4560927,4635564,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Dominican Republic,DOM,148.6681705,151.6064156,154.5643833,157.5219992,160.4522351,163.3365066,166.1654387,168.9460679,171.6965025,174.4436258,177.2066018,179.9902111,182.7873758,185.5910389,188.3898386,191.1747724,193.9431498,196.6956954,199.4306912,202.146875,204.8423634,207.5153146,210.1621689,212.7774834,215.3547806,..
