Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Ecuador,ECU,5.79396041,5.938448201,5.898714059,5.667533593,5.855367721,5.685594567,5.804796995,5.812021384,6.45031406,6.482525366,6.506683846,6.039619907,5.475922049,5.230310839,5.141729747,5.218231599,4.964567563,4.811563859,4.976646803,4.829280077,4.776936705,4.653325817,4.621919794,4.807537446,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Ecuador,ECU,1.362919837,1.315944002,1.362192375,1.311562923,1.267537606,1.230538624,1.191246538,1.153448917,1.116371351,1.075983328,1.049881734,0.991590714,0.985476905,0.981137549,0.721053789,0.731438453,0.853139091,0.874353723,0.868924521,0.86219435,0.838465558,0.818785067,0.792938537,0.780772838,..,..
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,15239278100,16988184456,18093864475,18938326276,22708204405,24432379906,25225872274,28161471483,27981319125,19644866963,18327386416,24468324000,28548945000,32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87623411000,94472680000,1.01E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,3.679914053,4.291342398,2.114310675,1.973218079,4.258250468,2.252548774,1.731747514,4.327864764,3.266529404,-4.739385791,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.220345768,4.641572214,3.802080137,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,1491.402557,1623.956022,1690.119766,1729.337997,2028.156395,2135.590018,2159.106043,2361.550754,2300.360002,1584.430724,1451.260807,1903.741868,2183.967465,2440.469164,2708.558293,3021.942767,3350.784142,3590.711513,4274.940821,4255.555563,4657.301737,5223.377575,5682.638917,6032.232804,6322.310512,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ecuador,ECU,1.237550957,1.869708806,-0.219549211,-0.313059611,1.974313394,0.070853801,-0.383294271,2.214963635,1.238398034,-6.543412785,-0.748585969,2.20155695,2.350399852,1.041356025,6.448480592,3.562007272,2.66745544,0.478040665,4.574738035,-1.101777586,1.838207014,6.144016664,3.567519984,3.025850597,2.225073897,..
Internet users (per 100 people),IT.NET.USER.P2,Ecuador,ECU,0,..,0.005118035,0.016400751,0.034833586,0.043833641,0.086161276,0.110217959,0.125272771,0.823371634,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.35368423,43,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Ecuador,ECU,31.96036732,32.4101862,33.07003987,33.79741185,34.30508251,34.85502797,35.4311171,35.84656656,36.27837168,37.14336835,37.55565009,39.88091626,39.49999077,39.3067164,40.76088862,39.82783731,40.08600355,39.56455089,39.10258547,39.43452692,39.80423436,39.99227066,40.10500133,40.21649261,..,..
"Labor force, total",SL.TLF.TOTL.IN,Ecuador,ECU,3888710,4027527,4184431,4345960,4496908,4664624,4818482,4973779,5138971,5331867,5505382,6030714,6068128,6094966,6416997,6462608,6728094,6679219,6720952,6841033,7034636,7203722,7377621,7554438,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ecuador,ECU,36.90971319,37.78712614,38.67096518,39.55786736,40.44385204,41.32558879,42.20300535,43.07539012,48.97683604,49.92225399,50.84794653,51.75049525,52.63349976,53.50942181,54.39541392,55.30372041,56.2388871,57.19712917,58.17200837,59.15328555,60.13324207,61.11000161,62.08525125,63.05891448,64.03171203,..
