Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Egypt, Arab Rep.",EGY,2.294439701,2.277361997,2.627233914,2.860013059,2.859008489,2.829875936,2.722848963,2.79162188,2.80638907,3.007684967,2.813802803,2.874077051,2.94941986,2.919282736,2.978552413,2.574714953,2.616906927,2.575719524,2.654076046,2.897182179,2.8861319,2.820834798,2.841930785,2.750514843,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Egypt, Arab Rep.",EGY,2.607927017,2.68387513,2.62475868,2.530281774,2.452238241,3.468196327,3.752018594,3.733181605,3.672072083,3.461867907,3.383150663,3.760949726,3.724655717,3.578565877,3.483890369,3.340206327,3.614110489,3.452415351,3.356797971,3.272394207,3.078782904,3.003684664,2.93804729,2.88366538,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,43130415172,36970555162,41855483493,46578631173,51897983700,60159244528,67629717779,78436575857,84828807306,90710704004,99838541029,97632008178,87850680624,82923680691,78845185716,89685724897,1.07E+11,1.30E+11,1.63E+11,1.89E+11,2.19E+11,2.36E+11,2.63E+11,2.72E+11,2.87E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,5.701753295,1.078837988,4.431996098,2.900790819,3.973172159,4.642458795,4.988730544,5.49113151,4.036367064,6.105460406,5.368005967,3.535225678,2.3704891,3.193454737,4.092071611,4.471744472,6.843838194,7.087827427,7.152202939,4.685040602,5.138985832,1.821844376,2.191846905,2.109135828,2.200000008,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,764.7606503,640.8505007,710.3538696,774.9108626,846.9980789,963.5573042,1063.433428,1211.290272,1286.79351,1351.613998,1461.018217,1402.759847,1238.92651,1147.770318,1071.323345,1196.733304,1409.177872,1681.314481,2061.612772,2349.286865,2668.035988,2816.666943,3068.193883,3104.219707,3198.695058,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Egypt, Arab Rep.",EGY,3.150289468,-1.185858614,2.248091581,0.869844686,1.997189948,2.695442339,3.071890866,3.603116764,2.19298299,4.223673542,3.483717789,1.653382209,0.481032739,1.28104079,2.184875683,2.595311197,4.977755071,5.251118511,5.292353401,2.776820666,3.090375464,-0.300737415,-0.042926629,-0.166985159,-0.042704997,..
Internet users (per 100 people),IT.NET.USER.P2,"Egypt, Arab Rep.",EGY,0,..,..,0.000975791,0.00638327,0.031319638,0.061466899,0.090480245,0.147987377,0.290445278,0.641265038,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,31.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Egypt, Arab Rep.",EGY,26.13503413,23.335076,24.02348144,22.98188097,23.26196046,22.38318759,21.85118121,21.20361508,20.65584287,20.68034868,21.0703471,21.61478041,20.43135561,20.66756678,20.84990946,21.21890107,21.87511738,23.55925445,23.6092943,23.8129045,23.96715125,23.96444601,24.06710141,24.11820757,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Egypt, Arab Rep.",EGY,16641570,16170648,16153866,16757027,17535001,17588393,17910359,18215026,18518155,19642575,20055270,20420374,20753596,21796441,22905428,23920678,23961636,25083888,25798395,26448525,27137347,27815836,28437255,28973542,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Egypt, Arab Rep.",EGY,56.65505349,57.9535165,59.19133859,60.38311618,61.55291275,62.71990256,63.88631172,65.05054598,66.22394495,67.41963635,68.64724999,69.91807223,71.23281933,72.57785524,73.9324607,75.2846602,76.62291928,77.96004521,79.33710583,80.81012909,82.41598674,84.17061028,86.0524406,88.0143744,89.9891205,..
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,2.443443441,2.266006054,2.113397403,1.99343088,1.918764248,1.878164754,1.842630191,1.80594739,1.78775055,1.789421219,1.804475704,1.83430869,1.862949797,1.870619325,1.849213207,1.812441515,1.761984104,1.730021516,1.750948187,1.839638129,1.967711427,2.106638179,2.211107117,2.254326174,2.218863304,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,"Egypt, Arab Rep.",EGY,49.82920007,49.80932687,49.78174033,49.75220174,49.72789986,49.71328445,49.71032993,49.71641691,49.72584527,49.73095998,49.72680653,49.71219733,49.68966436,49.66257853,49.63556477,49.61175302,49.59189064,49.57491513,49.55990749,49.54545699,49.53072972,49.5156851,49.50105825,49.48769949,49.47664018,..
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,56397273,57689828,58922018,60108373,61272847,62434527,63595629,64754566,65922626,67112877,68334905,69599945,70908710,72247626,73596068,74942115,76274285,77605327,78976122,80442443,82040994,83787634,85660902,87613909,89579670,..
Rural population,SP.RUR.TOTL,"Egypt, Arab Rep.",EGY,31876867,32684172,33460636,34214287,34958610,35703809,36452379,37131563,37771028,38422122,39089616,39781241,40496673,41228108,41963742,42696771,43420662,44174504,44970583,45820820,46747779,47758951,48825001,49918025,50998602,..
Surface area (sq. km),AG.SRF.TOTL.K2,"Egypt, Arab Rep.",EGY,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,"Egypt, Arab Rep.",EGY,..,23.89999962,21.10000038,26.20000076,26.20000076,27.10000038,22,20.79999924,20.60000038,19.89999962,22.29999924,23.29999924,25.60000038,25.70000076,26.10000038,27.10000038,25.20000076,19.5,20.89999962,23.39999962,22.20000076,27.5,29.20000076,29.29999924,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,"Egypt, Arab Rep.",EGY,..,9.600000381,9,10.89999962,11,11.30000019,9,8.399999619,8.199999809,8.100000381,9,9.399999619,10.19999981,10.39999962,10.69999981,11.19999981,10.60000038,8.899999619,8.699999809,9.399999619,9,12,12.69999981,12.69999981,..,..
