Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,El Salvador,SLV,26.54440154,27.26833977,28.37837838,28.28185328,28.18532819,28.08880309,27.26833977,27.26833977,28.95752896,30.45366795,31.37065637,33.78378378,33.3011583,32.86679537,33.49420849,33.88030888,29.15057915,30.40540541,32.96332046,32.72200772,32.48069498,33.34942085,34.74903475,35.23166023,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,El Salvador,SLV,2.870692526,3.063188994,2.448374279,2.363905384,1.402190877,1.795140438,1.902344734,1.88298989,1.635625533,1.630060816,1.281088641,1.279099514,1.277669531,1.178745378,0.650866238,0.680749965,1.163442477,1.346741986,1.318842057,1.276161808,1.251726902,1.227599632,1.209107462,1.191165461,..,..
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,4800900000,5311000000,5954700000,6938000000,8085600000,9500500000,10315500000,11134700000,12008400000,12464700000,13134100000,13812700000,14306700000,15046700000,15798300000,17093800000,18550700000,20104900000,21431000000,20661000000,21418300000,23139000000,23813600000,24259100000,25220000000,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,El Salvador,SLV,4.831560385,3.576412756,7.543337489,7.369523346,6.050367481,6.396570978,1.705589084,4.2463425,3.748726161,3.449098435,2.152652497,1.708936396,2.340822748,2.30003827,1.850535583,3.562814501,3.911948645,3.839765177,1.274227301,-3.133046282,1.364783667,2.21683561,1.880955461,1.675888994,2,..
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,914.094639,998.0126188,1104.329226,1270.26929,1462.659632,1699.93503,1827.899428,1956.098589,2093.487271,2158.142965,2259.888269,2363.271031,2435.472748,2549.886636,2666.339695,2874.257256,3108.592529,3358.421252,3569.335393,3431.280068,3547.070983,3821.33859,3921.720395,3983.664727,4129.209887,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,El Salvador,SLV,3.477054778,2.223817354,6.135937025,5.999507923,4.780796933,5.240395045,0.721218723,3.350131256,2.956965159,2.740082918,1.516799324,1.136382515,1.825782449,1.838408344,1.435232296,3.177675872,3.557597859,3.512656111,0.974243551,-3.409247425,1.080446188,1.931516104,1.595307122,1.385185809,1.698360727,..
Internet users (per 100 people),IT.NET.USER.P2,El Salvador,SLV,0,..,..,..,..,..,0.086389581,0.256960679,0.425253672,0.845428741,1.177397269,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32138772,23.1093,29.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,El Salvador,SLV,35.0253717,35.15570955,35.29091683,36.53758296,37.31655254,36.56584505,36.49102154,36.867637,38.6330282,39.21886239,39.53034757,39.73984537,40.04997107,40.18985945,39.87072061,40.34724205,40.63243902,40.6720569,40.66757387,41.05985827,41.46809464,41.6775396,41.81793612,41.95812113,..,..
"Labor force, total",SL.TLF.TOTL.IN,El Salvador,SLV,1915914,1958743,2001328,2072841,2139509,2144679,2123695,2145524,2237676,2245315,2248088,2251584,2254104,2332989,2304621,2350349,2406651,2450358,2502195,2546699,2596413,2631151,2671392,2711630,..,..
Population density (people per sq. km of land area),EN.POP.DNST,El Salvador,SLV,253.478861,256.8328185,260.2385135,263.602027,266.7959459,269.7269788,272.3630792,274.7249035,276.8375965,278.7480695,280.4940154,282.0819498,283.5087355,284.7938707,285.9598938,287.0273166,288.0094595,288.9195946,289.777944,290.6065637,291.4240347,292.2397683,293.0614382,293.9017375,294.7734556,..
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,1.30049801,1.314493067,1.317320849,1.284192222,1.204362644,1.092613882,0.972576835,0.863421999,0.766079414,0.687735707,0.624399224,0.564524145,0.504530495,0.452272192,0.408591186,0.372582143,0.341593391,0.315510506,0.296648938,0.285541824,0.2809033,0.279521916,0.280768403,0.286321131,0.296162908,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,El Salvador,SLV,51.19221292,51.23690801,51.28407227,51.33477143,51.39030089,51.45153391,51.51885498,51.59202783,51.67048897,51.75327149,51.83950476,51.92894874,52.02127028,52.11523474,52.20932546,52.30230801,52.39355944,52.48275512,52.56934355,52.65281909,52.73273663,52.80868964,52.8803819,52.94772568,53.01073758,..
"Population, total",SP.POP.TOTL,El Salvador,SLV,5252082,5321576,5392142,5461834,5528012,5588743,5643363,5692300,5736075,5775660,5811836,5844738,5874301,5900929,5925089,5947206,5967556,5986414,6004199,6021368,6038306,6055208,6072233,6089644,6107706,..
Rural population,SP.RUR.TOTL,El Salvador,SLV,2666324,2673879,2681243,2655434,2616021,2572666,2525179,2474443,2420624,2405158,2387967,2369223,2348898,2327267,2304445,2280872,2256512,2231556,2206423,2181361,2156521,2132039,2107854,2084181,2061045,..
Surface area (sq. km),AG.SRF.TOTL.K2,El Salvador,SLV,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,El Salvador,SLV,..,4,5.099999905,6.599999905,5.099999905,5.900000095,6.5,5.400000095,5.900000095,4.699999809,4.5,4.400000095,3.5,3.5,3.900000095,4.199999809,3.900000095,3.700000048,3.599999905,4.900000095,5.199999809,4.5,4.400000095,4.300000191,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,El Salvador,SLV,..,6.599999905,8.100000381,9.899999619,7.699999809,7.599999905,7.699999809,8,7.300000191,7,7,7,6.199999809,6.900000095,6.800000191,7.199999809,6.599999905,6.300000191,5.900000095,7.300000191,7,6.599999905,6.099999905,6.300000191,..,..
