Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Equatorial Guinea,GNQ,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.634581105,4.278074866,4.278074866,4.278074866,4.278074866,4.278074866,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Equatorial Guinea,GNQ,0.49554505,0.48551467,0.474833808,0.464185749,0.453023707,0.707701562,0.688388182,0.677651311,0.650012797,0.628728162,0.607088517,0.585600094,0.810578401,0.440476392,0.325823111,0.313673334,..,0.292531952,0.282755852,0.360797691,0.348730305,0.337805849,0.327034614,0.316200231,..,..
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,112119411.5,110906028.6,134707184,136047906,100807002.6,141853360.9,232463022.7,442337870.4,370687634.7,621117853.4,1045998534,1461139008,1806742733,2484745876,4410764261,8217368425,8081982587,10193491379,15436035471,9338605785,11564374628,15711269412,16485813032,15580315664,14308094225,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Equatorial Guinea,GNQ,-1.758564084,-1.022238918,34.74532004,11.03321304,16.66883555,17.48626375,66.57999726,149.9729635,23.77448233,25.66401544,18.21377995,63.37987543,19.46283403,13.95525032,37.99872686,16.74870061,-4.811545183,13.12195049,12.26127602,-8.06195188,-1.300129418,4.995987885,3.220213278,-4.844898604,-3.107357222,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,297.11289,284.0968915,333.3667853,325.155305,232.704757,316.4024894,501.1663893,921.8521962,746.8572012,1209.937632,1970.2513,2661.421454,3182.767857,4234.601985,7276.075528,13129.59711,12516.27272,15310.18624,22494.19718,13205.88242,15869.65271,20922.74977,21306.96023,19546.69114,17430.08366,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Equatorial Guinea,GNQ,-4.859694785,-4.322841391,30.17690211,7.230991105,12.6861239,13.52010786,61.00918268,141.6418511,19.66121835,21.49836423,14.30617164,57.99019383,15.53653592,10.24434229,33.57580894,13.08040228,-7.73802579,9.710271919,8.91988909,-10.78334567,-4.21963884,1.890787452,0.177085406,-7.632763695,-5.916929301,..
Internet users (per 100 people),IT.NET.USER.P2,Equatorial Guinea,GNQ,0,..,..,..,..,..,..,0.041462292,0.094423774,0.097415945,0.132354665,0.165260423,0.321197997,0.520524272,0.843930285,1.149789671,1.279193596,1.557123059,1.82,2.13,6,11.5,13.94318219,16.4,18.86,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Equatorial Guinea,GNQ,45.02522324,44.96302806,44.831434,44.68855457,44.54763318,44.51531289,44.37952561,44.35185999,44.32152883,44.29782853,44.32656809,44.30467309,44.33476183,44.3681705,44.40740922,44.45378494,44.46806385,44.48679657,44.50803309,44.58584798,44.66389796,44.69171378,44.77475491,44.80557279,..,..
"Labor force, total",SL.TLF.TOTL.IN,Equatorial Guinea,GNQ,201798,205967,210600,215431,220739,226084,232427,239061,246149,254482,263553,273224,283748,295135,306915,318803,330237,341843,353662,365856,378516,390757,403627,417457,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Equatorial Guinea,GNQ,13.45322638,13.9173262,14.40573975,14.91654189,15.44374332,15.98331551,16.53632799,17.10645276,17.69447415,18.30114082,18.92677362,19.57244207,20.23757576,20.91878788,21.61144385,22.31251337,23.02024955,23.73611408,24.46427807,25.21051693,25.97896613,26.77069519,27.58392157,28.41647059,29.26506239,..
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.207538164,3.391559641,3.449216759,3.484407012,3.473316686,3.434143949,3.401425941,3.389609005,3.379664922,3.371100169,3.361411542,3.35450467,3.341850251,3.310663431,3.257528554,3.192467644,3.122658529,3.062344526,3.021632656,3.004723029,3.002596957,3.00206104,2.992522503,2.973587624,2.942546724,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Equatorial Guinea,GNQ,48.93829019,48.93911333,48.9315261,48.91768581,48.90176986,48.88653944,48.8711722,48.85377504,48.83404187,48.81181735,48.78733311,48.76039832,48.73217255,48.70580055,48.68451223,48.67048218,48.66412273,48.6641594,48.6691644,48.67688131,48.68603422,48.69626244,48.70775168,48.72033241,48.73398832,..
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,377363,390381,404081,418409,433197,448332,463844,479836,496330,513347,530896,549007,567664,586772,606201,625866,645718,665798,686223,707155,728710,750918,773729,797082,820885,..
Rural population,SP.RUR.TOTL,Equatorial Guinea,GNQ,246248,250828,255517,260284,264982,274227,283738,293549,303670,314112,324876,335992,347444,359093,370862,382680,394514,406383,418342,430495,442888,455529,468392,481414,494534,..
Surface area (sq. km),AG.SRF.TOTL.K2,Equatorial Guinea,GNQ,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Equatorial Guinea,GNQ,..,7.099999905,6.300000191,6.699999809,6.599999905,6.5,5.599999905,4.300000191,6.400000095,6.300000191,6.5,5.699999809,6.599999905,6.699999809,6.199999809,6.900000095,7.199999809,6.900000095,6.900000095,7.5,7.300000191,7.099999905,7.099999905,8.100000381,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Equatorial Guinea,GNQ,..,6.900000095,6.5,6.599999905,6.5,6.5,6.199999809,6.099999905,6.400000095,6.400000095,6.5,6.300000191,6.599999905,6.699999809,6.599999905,6.800000191,6.900000095,6.800000191,6.800000191,7,7,6.900000095,6.900000095,8,..,..
