Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Eritrea,ERI,..,..,..,4.930693069,4.326732673,4.336633663,3.653465347,3.871287129,4.930693069,4.930693069,5.544554455,5.564356436,5.564356436,5.910891089,5.920792079,6.138613861,6.633663366,6.633663366,6.633663366,6.831683168,6.831683168,6.831683168,6.831683168,6.831683168,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Eritrea,ERI,..,..,..,4.106441962,4.189531351,4.215043875,4.122784004,3.346963722,3.299407578,13.39777664,12.73183883,10.38224666,9.842125899,10.92529102,10.3399636,9.937697524,..,9.407188769,9.189177878,9.001287619,8.830411456,8.656457696,8.484105811,8.30921225,..,..
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..,..,477101651.6,467876293.7,531688311.7,578015625,693535954.2,686494476.1,745526149.5,688921325.7,706370812.3,752368494.5,729321364.1,870247701.7,1109054002,1098424709,1211161880,1317974493,1380188800,1856695550,2117039511,2607739837,3091967480,3444097561,3857821138,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eritrea,ERI,..,..,..,13.4547618,21.221411,2.85837881,9.258839895,7.908684452,1.772582592,0.013480723,-3.141986746,8.755436313,3.005428651,-2.655515364,1.451734363,2.574449601,-0.969216373,1.42682175,-9.783029746,3.87650192,2.194189769,8.679800386,7.017108852,1.332252085,1.70344118,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..,..,150.9520615,148.4939254,168.9040979,182.6796051,216.5541708,210.5416027,223.3968949,200.8718442,199.8131942,205.8460354,192.5076426,221.5268123,272.8328318,262.0742454,281.3750173,299.1114524,306.6651439,404.1963089,451.426693,544.4624311,632.0155805,688.9815607,754.8896218,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Eritrea,ERI,..,..,..,13.80785736,21.3346275,2.330969128,7.945283491,5.988733713,-0.56388011,-2.681875899,-6.032529737,5.189275535,-0.62497565,-6.12159046,-1.956230573,-0.516900354,-3.572810961,-0.91782954,-11.67409025,1.775453326,0.099712521,6.41288471,4.771322218,-0.828477335,-0.517919255,..
Internet users (per 100 people),IT.NET.USER.P2,Eritrea,ERI,0,..,..,0,0,0,0,0.009017718,0.008774236,0.025495028,0.136711941,0.157815289,0.227090138,..,..,..,..,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Eritrea,ERI,46.23085074,46.1944417,46.20766633,45.77114874,45.30742019,45.31685634,45.1657734,45.20343719,45.50149244,45.80807015,46.43696307,46.52901382,46.86938093,47.21202258,47.36665305,47.52354546,47.6349999,47.62789818,47.86692797,47.85584198,47.84205315,47.88091632,47.85683287,47.83050278,..,..
"Labor force, total",SL.TLF.TOTL.IN,Eritrea,ERI,1392025,1384199,1365373,1339359,1312796,1304850,1334050,1374380,1427529,1492785,1570865,1655711,1749622,1848921,1943914,2032664,2093446,2147294,2198238,2241346,2284718,2330630,2377976,2428028,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Eritrea,ERI,31.0800297,31.29350495,31.29323762,31.19614851,31.1670396,31.32767327,31.70889109,32.28328713,33.04185149,33.9569901,35.00154455,36.18817822,37.51021782,38.89512871,40.24710891,41.49775248,42.61821782,43.62672277,44.56077228,45.48068317,46.43231683,47.42146535,48.4379505,49.49330693,50.59845545,..
