Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Estonia,EST,..,..,26.30337344,25.14744043,22.38735551,20.6180703,20.85397499,20.94833687,20.9247464,20.26421326,19.88676575,15.97074782,14.46095777,12.85680585,12.21986318,13.94196745,13.16348195,14.10710073,14.10710073,14.05991979,15.2158528,14.90917669,14.64968153,14.90917669,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Estonia,EST,..,..,0.376865484,0.656185202,0.547818382,0.784163882,0.789971101,0.911223672,1.049373462,1.140297047,1.130289681,1.083614999,1.227295042,1.19387322,0.881799223,1.183663082,1.005778918,1.006072365,0.997345636,0.779977617,0.828760736,0.820692293,0.831703676,0.833690975,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,..,..,..,..,..,4362234461,4739237872,5059174932,5607965291,5715289608,5685524740,6233551159,7308655929,9822154472,12057639752,14003482154,16958976289,22229811114,24184854255,19641844957,19482251656,22802057270,22660728507,24880264958,25904874312,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,..,..,..,..,..,..,5.890099988,11.73534514,6.810492552,-0.271504381,9.696269714,6.15810782,6.122039342,7.48005652,6.478126747,9.471125802,10.4127813,7.900134323,-5.327658052,-14.73756319,2.475873851,8.263792513,4.650562696,1.629773391,2.08261591,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,..,..,..,..,..,3036.427135,3347.879316,3614.897042,4045.695644,4139.654364,4069.853821,4490.65903,5298.623213,7165.689909,8849.319109,10336.38955,12591.95899,16580.99704,18087.67866,14718.33959,14632.08221,17177.4803,17132.22729,18877.33049,19719.84388,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Estonia,EST,..,..,..,..,..,..,7.463946517,13.0174552,7.841413733,0.128386213,8.411231253,6.836453934,6.796385718,8.156746791,7.116581332,10.09937625,11.06575967,8.393486818,-5.073468949,-14.57304591,2.709844941,8.59296219,5.02582475,1.992109804,2.420807388,..
Internet users (per 100 people),IT.NET.USER.P2,Estonia,EST,0,..,0.065484797,0.300711282,1.159750913,2.778968489,3.525111129,5.706276548,10.79603483,14.50089724,28.57695381,31.52748977,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38992593,79.4,84.24,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Estonia,EST,49.55585694,49.30119234,49.05105271,48.71230216,48.48466588,48.10332143,48.31290899,48.55477033,47.89669697,48.17289904,48.20239324,48.25753224,48.20739165,48.10351028,48.50468897,49.31273562,49.20428519,48.49268801,48.6267263,49.03382956,49.6976825,49.72881472,49.12143163,49.09221927,..,..
"Labor force, total",SL.TLF.TOTL.IN,Estonia,EST,844998,826193,796040,761980,730169,701384,696228,691378,680406,666493,672394,673671,659988,678464,680427,675868,695978,695775,701863,698738,693807,700628,691352,689704,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Estonia,EST,37.01755131,36.83213022,36.1663364,35.24718094,34.50139184,33.89087049,33.39452701,33.01568766,32.70007077,32.56947393,32.95553197,32.7462845,32.53951404,32.33592828,32.14319415,31.95977825,31.77188016,31.62727058,31.5425808,31.48183534,31.41012031,31.31490918,31.20301958,31.09216796,30.98950224,..
