Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Ethiopia,ETH,9.763851045,9.673024523,9.673024523,10,9.932,9.94,9.927,9.9,9.95,10,10,9.9084,9.853,10.928,12.364,12.823,13.396,14.038,13.606,13.948,14.565,15.1932,15.346,15.119,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Ethiopia,ETH,1.197320817,0.555262629,0.5356217,0.518786199,0.501185282,0.484902147,0.471695109,0.458313328,0.444200447,1.168819347,1.216620884,0.840328332,0.810169543,0.501988666,0.541823279,0.524573773,..,0.372164591,0.360963663,0.349719845,0.338106814,0.326613327,0.315071385,0.304278956,..,..
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,12175166751,13463868381,10492993087,8830712722,6927950563,7663984566,8547939731,8589211395,7818224903,7700833477,8242392101,8231326022,7850809494,8623691299,10131187259,12401139454,15280861839,19707616771,27066912637,32437389114,29933790334,31952763089,43310721414,47524728957,54797679658,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ethiopia,ETH,2.726451776,-7.137479708,-8.67248012,13.14283394,3.18996458,6.127511379,12.4261738,3.133906877,-3.458139178,5.162145832,6.073217519,8.301306334,1.51472568,-2.161359716,13.57260313,11.81876596,10.83472707,11.45616699,10.78852169,8.802553193,12.55053833,11.17829624,8.647811053,10.49043607,9.936059663,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,253.3479605,270.4403314,203.3416397,165.1281269,125.1288854,133.8986024,144.692935,141.0535555,124.6775751,119.2999887,124.0509504,120.3531153,111.5311692,119.0586588,135.9763619,161.8769539,194.0779937,243.6288455,325.7949007,380.264841,341.8589562,355.5889915,469.7923039,502.5967236,565.1649782,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ethiopia,ETH,-0.743907193,-10.36046938,-11.88963574,9.175556861,-0.329884447,2.658900047,8.926082043,0.056738297,-6.251331788,2.160244068,3.050451202,5.214211031,-1.366753425,-4.918422974,10.41011713,8.751449145,7.840245751,8.485140834,7.871254652,5.967773064,9.645937247,8.336463024,5.898930262,7.72443174,7.214428564,..
Internet users (per 100 people),IT.NET.USER.P2,Ethiopia,ETH,0,..,..,..,..,1.75E-05,0.001703448,0.00496672,0.009663517,0.012541599,0.015263767,0.037162381,0.072402262,0.105811659,0.155334521,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1,1.482810139,1.9,2.9,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Ethiopia,ETH,44.99218413,45.13750269,45.36266767,45.13648746,45.10917298,45.00307327,44.79697889,44.78618748,44.85304017,44.78716446,45.20727475,45.56744776,45.97031616,46.36324666,46.69009983,46.95401939,47.0135103,47.07079498,47.11851209,47.21979945,47.19950046,47.24063452,47.22486266,47.26566331,..,..
"Labor force, total",SL.TLF.TOTL.IN,Ethiopia,ETH,20879951,21611395,22403872,23130916,23943241,24747261,25440162,26182961,27014831,27848615,28973693,30047779,31166316,32351328,33590288,34885465,35954569,37080368,38230995,39460157,40815504,42251797,43799598,45353120,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ethiopia,ETH,43.64858674,45.21797184,46.86900636,53.477944,55.366517,57.237226,59.076414,60.893264,62.707547,64.550161,66.443603,68.393128,70.39117,72.43229,74.506974,76.608431,78.735675,80.891968,83.079608,85.302099,87.561814,89.858696,92.191211,94.558374,96.958732,..
