Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Faeroe Islands,FRO,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,1105688873,1125684470,1062339944,1154899793,1268445919,1486861879,1683997930,1730891409,1970142378,2278229533,2413237402,2257097732,2301178416,2468748768,2356505419,2613458941,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,24502.25752,24550.38973,22850.44296,24566.06384,26731.13714,31098.09,35008.16852,35808.82986,40617.30498,46878.11546,49625.47867,46429.92063,47381.52276,50910.43405,48695.17118,54117.84438,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Faeroe Islands,FRO,0,..,..,..,..,0,2.318786811,4.601297566,11.33786848,22.29753835,32.91639236,43.24698352,53.29922183,58.91264097,66.53359947,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728,85.33518924,90,94.66,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Faeroe Islands,FRO,34.40616046,34.02148997,33.36246418,32.59383954,31.94842407,31.58954155,31.57664756,31.85315186,32.3252149,32.84527221,33.3030086,33.67621777,33.99140401,34.24928367,34.45773639,34.62535817,34.74570201,34.81303725,34.83452722,34.8230659,34.79011461,34.73638968,34.66547278,34.59312321,34.54226361,..
Population growth (annual %),SP.POP.GROW,Faeroe Islands,FRO,-0.153948603,-1.124324851,-1.956094176,-2.330814177,-2.000044471,-1.129675257,-0.040825585,0.871849042,1.471123604,1.596024118,1.383992722,1.11441428,0.931578553,0.755798022,0.606789121,0.485276771,0.346957247,0.193606915,0.06171062,-0.032907592,-0.094669692,-0.154545204,-0.204366072,-0.208925969,-0.147130465,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Faeroe Islands,FRO,48031,47494,46574,45501,44600,44099,44081,44467,45126,45852,46491,47012,47452,47812,48103,48337,48505,48599,48629,48613,48567,48492,48393,48292,48221,..
Rural population,SP.RUR.TOTL,Faeroe Islands,FRO,33336,32859,32210,31455,30819,30461,29519,28746,29037,29409,29598,29535,29410,29302,29224,29108,29032,28994,28917,28812,28690,28551,28396,28236,28092,..
Surface area (sq. km),AG.SRF.TOTL.K2,Faeroe Islands,FRO,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
