Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Fiji,FJI,8.757525999,9.359605911,9.852216749,9.852216749,9.852216749,9.852216749,9.852216749,9.852216749,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.250136836,9.250136836,9.173508484,9.031198686,9.031198686,9.031198686,9.031198686,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Fiji,FJI,1.972915812,1.927971003,1.878879887,1.826770963,1.421549987,1.346015793,1.216220325,1.20755122,1.166312885,1.161197427,1.156848876,1.140146851,1.12639069,1.114894674,0.94521532,1.246645744,1.246334996,1.241811803,1.227769695,1.05770858,1.042209484,1.032893222,1.023969667,1.015732241,..,..
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,1337024782,1383843860,1531803061,1635426125,1825285158,1970347721,2129266728,2093994597,1656784780,1942170999,1684109743,1660102346,1842691481,2315935753,2727507213,3006784285,3102771322,3405085854,3523167497,2870612404,3140495193,3646434943,3849837085,3855042259,4029989729,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Fiji,FJI,5.80000042,-2.700001239,6.100000707,2.130031135,5.099999897,2.499999369,4.80000002,-2.200000103,1.300002337,8.799998672,-1.699999246,1.999998847,3.200000591,0.999998968,5.300000995,0.699999968,1.85248247,-0.850653611,1.032794285,-1.386037503,2.954673156,2.705141495,1.830396564,3.470455989,3.799808139,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,1834.994609,1881.580135,2057.3984,2166.058463,2383.91826,2540.751518,2714.24312,2641.06808,2070.168433,2408.165466,2076.013308,2038.899241,2259.055796,2835.980917,3332.91446,3658.689598,3750.071094,4079.271062,4178.299843,3369.840846,3651.942426,4204.22164,4404.051768,4378.306845,4546.212114,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Fiji,FJI,5.218890768,-3.605306414,4.808190653,0.71107753,3.639213863,1.200473137,3.600211625,-3.233682005,0.356383311,7.966286342,-2.273036134,1.625178933,3.013259287,0.884358517,5.077525783,0.275423419,1.166810263,-1.722382104,0.017081639,-2.387163926,1.98516911,1.831825642,1.034655474,2.726703366,3.101564294,..
Internet users (per 100 people),IT.NET.USER.P2,Fiji,FJI,0,..,..,0.006678447,0.007907399,0.009115343,0.064437142,0.223454842,0.633167865,0.942462063,1.496854734,1.857978594,6.1526497,6.725434738,7.412943485,8.453636634,9.6000384,10.89783105,13,17,20,28,33.74235675,37.1,41.8,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Fiji,FJI,25.52440102,26.68273309,27.82358069,29.11909451,30.36288617,31.6223977,32.92342204,32.96279401,32.99965677,33.11602353,33.25345567,33.30662132,33.29675245,33.3726201,33.3661008,33.42724731,33.51924497,33.62143367,33.5515694,33.54809854,33.46385766,33.48757872,33.60902498,33.64482455,..,..
"Labor force, total",SL.TLF.TOTL.IN,Fiji,FJI,253432,259340,266116,273707,281383,289744,295999,298124,300091,301413,302546,306978,310727,313931,317388,320861,320941,322110,325794,330904,335825,338854,341807,344579,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Fiji,FJI,39.88100712,40.25555556,40.75172414,41.32588944,41.90837438,42.44652436,42.93809524,43.39677066,43.80481664,44.14307608,44.40191571,44.56568144,44.64646962,44.69764641,44.79228243,44.9819376,45.28680898,45.68850575,46.15249042,46.6258347,47.06907499,47.4727422,47.84663383,48.19304871,48.51943076,..
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.550766918,0.934782214,1.225012836,1.399101751,1.39965065,1.275936031,1.151439954,1.062559685,0.935875064,0.769230732,0.584652751,0.36814734,0.181114789,0.114561093,0.211501008,0.422516519,0.675477493,0.883095337,1.010417224,1.020385713,0.946142309,0.853949457,0.784506905,0.721402614,0.674955886,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Fiji,FJI,49.20837302,49.19174024,49.18042695,49.17472822,49.17444421,49.17859234,49.18869721,49.20332619,49.2165575,49.22045297,49.21001993,49.18332381,49.14324174,49.0955468,49.04876246,49.00975883,48.98004569,48.95888366,48.94770673,48.94782439,48.95959309,48.98383193,49.01974243,49.06318889,49.1090304,..
"Population, total",SP.POP.TOTL,Fiji,FJI,728626,735469,744534,755024,765666,775498,784479,792859,800314,806494,811223,814215,815691,816626,818355,821820,827390,834729,843206,851854,859952,867327,874158,880487,886450,..
Rural population,SP.RUR.TOTL,Fiji,FJI,425437,423770,423223,423319,423314,422677,421406,422340,423182,423288,422582,420949,418515,415785,413441,411970,411511,411880,412741,413660,414256,414461,414386,414040,413493,..
Surface area (sq. km),AG.SRF.TOTL.K2,Fiji,FJI,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Fiji,FJI,..,8.600000381,7.699999809,8.399999619,8,7.5,7.800000191,9.199999809,11.60000038,11.19999981,10.69999981,8.5,8,11.80000019,6.599999905,6.400000095,9.100000381,12.19999981,12.60000038,12.19999981,11.89999962,11.89999962,12,11.39999962,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Fiji,FJI,..,5.900000095,5.400000095,5.900000095,5.699999809,5.400000095,5.800000191,6.699999809,8.399999619,8.100000381,7.699999809,6.099999905,5.800000191,8.5,4.699999809,4.599999905,6.5,8.600000381,9,8.699999809,8.399999619,8.399999619,8.5,8.100000381,..,..
