Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Finland,FIN,7.449029843,7.550149381,7.499917922,7.471026626,7.550149381,7.037328868,6.971338521,6.978561345,7.115138383,7.147641091,7.183755212,7.200827342,7.239567944,7.26813093,7.290784333,7.342657343,7.433165631,7.42115821,7.433695295,7.43106285,7.419545903,7.405640199,7.401033269,7.318766659,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Finland,FIN,1.185413147,1.242930831,1.302873982,1.235495876,1.406191179,1.371984864,1.428321472,1.371351666,1.386721999,1.35936182,1.342776893,1.344801374,1.322276225,1.145615319,1.182480371,1.172199955,1.193584483,1.182096411,1.169933584,0.924360724,0.924910249,0.920818792,0.918784925,0.918691739,..,..
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,1.42E+11,1.28E+11,1.13E+11,89255751015,1.03E+11,1.34E+11,1.32E+11,1.27E+11,1.34E+11,1.35E+11,1.26E+11,1.29E+11,1.40E+11,1.71E+11,1.97E+11,2.04E+11,2.17E+11,2.55E+11,2.84E+11,2.51E+11,2.48E+11,2.74E+11,2.57E+11,2.68E+11,2.71E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,0.675734,-5.914427823,-3.324588534,-0.734496683,3.939266917,4.207099134,3.658833584,6.251772747,5.428579929,4.444127515,5.634840543,2.580758439,1.680365346,1.993970438,3.926026618,2.779967826,4.055186846,5.184819694,0.720645613,-8.269018743,2.992355336,2.570792586,-1.426177315,-1.321569361,-0.114098647,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,28380.54891,25503.21521,22337.48712,17617.03044,20305.58355,26273.4659,25777.6413,24676.49708,25989.4075,26178.79178,24253.25042,24913.24452,26834.02625,32816.16088,37636.11173,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46205.16601,50787.56498,47415.55987,49310.22922,49541.28822,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Finland,FIN,0.230343962,-6.426896138,-3.866293821,-1.213636776,3.492202074,3.810145162,3.31935043,5.936273406,5.149066734,4.201976868,5.41576322,2.347460732,1.434209846,1.751048179,3.624714665,2.428806096,3.656612138,4.738282616,0.252831166,-8.706671489,2.522247118,2.0964171,-1.894086853,-1.775158651,-0.564276595,..
Internet users (per 100 people),IT.NET.USER.P2,Finland,FIN,0.40108767,1.397439332,1.88687977,2.568461349,4.915098554,13.90030389,16.78007526,19.4586828,25.45252493,32.29509229,37.24846174,43.10536335,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,92.38,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Finland,FIN,47.13137666,47.06563452,46.99648066,46.96621995,46.94508984,46.93043241,46.97142286,47.06032432,47.12796441,47.4164767,47.41831058,47.4735019,47.76702023,47.61736753,47.72719644,47.95938894,47.95542708,48.01694092,47.7456111,48.15934134,47.84069101,47.54843046,47.7578524,47.70876443,..,..
"Labor force, total",SL.TLF.TOTL.IN,Finland,FIN,2615122,2574560,2532862,2509114,2488993,2514605,2520441,2508474,2531149,2582094,2613986,2632359,2639388,2627409,2621608,2644600,2681000,2707055,2735198,2709981,2700262,2714975,2720985,2721261,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Finland,FIN,16.37096096,16.46061919,16.55337339,16.63366164,16.70551561,16.76939492,16.82449522,16.87460192,16.91945894,16.95877737,16.99402147,17.03275879,17.07409304,17.11485604,17.16462129,17.22346761,17.31698399,17.39195633,17.48403751,17.56785456,17.64841066,17.73099477,17.81556155,17.89783145,17.97886077,..
